measurement,own_rate_2534,interpretation
production_whole_nodes,0.4911064953198945,unchanged model age_to_index aggregation
cells_start_at_node,0.48306369168389224,diagnostic uniform density within each four-year cell
cells_centered_at_node,0.49149784671130753,diagnostic uniform density within each four-year cell
