age_node,mass,owner_rate,mean_rooms,mean_liquid_wealth,childless_rate,pre_fertility_mass
18.0,0.061733456180854594,0.21206278156356212,4.76619813734335,-0.8212210468013802,0.7312406218814543,0.06173345618085492
22.0,0.06173345618084626,0.31962644861533906,5.379854920261845,-1.0954532311411957,0.5214354714739489,0.061733456180854886
26.0,0.06173345618083076,0.4133003453850837,5.9319685148387675,-1.453867715474833,0.36868187474957076,0.06173345618084753
30.0,0.0617334561808182,0.5038621780284164,6.323219881305166,-1.3821213810661062,0.275367009286767,0.061733456180834784
34.0,0.06173345618080715,0.5552324303563579,6.636889951735246,-1.2801156208212465,0.2248310773189245,0.061733456180822655
38.0,0.06173345618078732,0.6130241637340171,6.857025053238458,-0.7849783882551671,0.19738034694666115,0.06173345618080429
42.0,0.061733456180777205,0.6698671765886965,6.997884352105178,-0.3060876237726703,0.17948514035573615,0.06173345618078895
46.0,0.06173345618076092,0.6993638782253754,7.040238442426877,0.23206088887057183,0.17953996115771723,0.061733456180774963
50.0,0.06173345618073859,0.7287890001896552,7.082662379922752,0.7141206606048336,0.17953996115766963,0.06173345618075953
54.0,0.06173345618072603,0.7617657458232444,7.127239415188051,1.1603432836537435,0.17953996115770876,0.061733456180741636
58.0,0.06173345618070401,0.7972887704748464,7.166254791261904,1.5701923404537963,0.17953996115767515,0.06173345618072389
62.0,0.06173345618067711,0.825966956699627,7.194297019463181,1.8172434824653307,0.17953996115765755,0.06173345618069994
66.0,0.06173345618064892,0.8721715889925518,7.365709833854484,2.000686785474897,0.17953996115762533,0.06173345618067827
70.0,0.05797551268242139,0.8859254022163622,7.421441144952423,0.8674916085731547,0.1795399611576549,0.057975512682445954
74.0,0.05325037124755685,0.9017732527799251,7.420766276662469,-0.3133664709293253,0.1795399611576266,0.053250371247580926
78.0,0.04712403280192175,0.9207681673253549,7.38024552204414,-1.5113555443537543,0.17953996115755988,0.04712403280194536
82.0,0.03911515291785553,0.9645948298362943,7.233776316810188,-2.7439284824026657,0.1795399611575737,0.039115152917863646
