case,annual_property_tax_rate,purchase_grant,tfr,childless_rate,price,population_scale,retention_rate,outside_inflow,mature_cityborn_flow,outside_origin_entrant_share,population_identity_residual,normalized_births,total_births,lump_sum_transfer_period_units,scaled_property_tax_revenue,scaled_grant_outlays,scaled_transfer_outlays,scaled_fiscal_residual,market_residual,joint_model_evaluations,tfr_change_percent,price_change_percent,population_change_percent,total_births_change_percent
rebated_tax1_baseline,0.01,False,1.9801532180066586,0.10208370692159521,0.776082707252744,0.9999999999999999,0.9692247023019599,0.010432954094546565,0.05292942076730084,0.16900000000000004,0.0,0.1119450891663667,0.11194508916636668,0.2091064453125,0.2091275363739293,0.0,0.20910644531249958,2.109106142972328e-05,7.754405129926098e-06,0,0.0,0.0,-1.1102230246251565e-14,0.0
rebated_tax2,0.02,False,1.9876357870882129,0.1010914394805275,0.6400032111858145,1.0169480808500984,0.9692247023019599,0.010432954094546565,0.05310881338543489,0.1661835084626225,0.0,0.11231857204034908,0.1142221562802565,0.3533782439296068,0.3593719830989118,0.0,0.35936732697839086,4.656120520933338e-06,2.3802233030924296e-05,5,0.37787828807949175,-17.534148718328936,1.6948080850098357,2.0340929029104338
rebated_tax2_grant0p4_Hge6,0.02,True,1.9950003778807894,0.09964070569408844,0.6419009677550251,1.0346353138882505,0.9692247023019599,0.010432954094546565,0.05328976257462792,0.1633425785215886,1.3877787807814457e-17,0.11270029325776806,0.11660370329004874,0.2994521256372335,0.36229814179030434,0.05248039524714224,0.30982374400318297,-5.997460020872686e-06,-9.061590322593366e-06,6,0.7497985377655336,-17.289618521807924,3.4635313888250474,4.161517185232366
