calibration,policy,year,births_per_household_percent,total_births_percent,household_mass_percent,rooms_percent,ownership_pp,dependent_child_ownership_pp,house_price_percent,housing_user_cost_percent
Current benchmark,baseline,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current benchmark,baseline,2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current benchmark,baseline,2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current benchmark,baseline,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current benchmark,baseline,2039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current benchmark,baseline,2043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current benchmark,baseline,2047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current benchmark,baseline,2051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current benchmark,baseline,2055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current benchmark,baseline,2059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current benchmark,baseline,2063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current benchmark,supply-plus-20,2023,1.2912022620290786,1.2912022620290564,-2.220446049250313e-14,5.754225625600373,1.7836423602706541,2.768706651531627,-18.17887485199141,-18.17887485199141
Current benchmark,supply-plus-20,2027,1.3779283317176372,1.377928331717615,0.0,6.826964685976811,2.510550023883995,3.693622517202777,-16.848773046738096,-16.848773046738096
Current benchmark,supply-plus-20,2031,1.461227918089425,1.4612279180893362,-9.992007221626409e-14,7.613416904680648,2.8183491581854514,3.936803689730739,-15.885012608611081,-15.885012608611081
Current benchmark,supply-plus-20,2035,1.5353767297414223,1.535376729741289,-1.3322676295501878e-13,8.153354132462587,2.7899885532266633,3.748073033262822,-15.211619552877876,-15.211619552877863
Current benchmark,supply-plus-20,2039,1.5967888322103274,1.5967888322103718,4.440892098500626e-14,8.571483678368086,2.651910776887334,3.5696756701967924,-14.690237054911147,-14.690237054911147
Current benchmark,supply-plus-20,2043,1.7041104207923263,1.7608782479214158,0.05581664978357992,8.841860872385055,2.6798386270940777,3.3984472612600736,-14.281797204177026,-14.281797204177016
Current benchmark,supply-plus-20,2047,1.7427235608598046,1.8607371475782397,0.11599216394855283,9.015661275566412,2.535072369667435,3.5050207162529046,-13.975512802141289,-13.975512802141276
Current benchmark,supply-plus-20,2051,1.6589449863922523,1.8417571204589311,0.17982887201040132,9.10857389190296,2.3118287933073134,3.706045529026125,-13.774986059527883,-13.774986059527883
Current benchmark,supply-plus-20,2055,1.7516024730723334,2.002453564884088,0.24653281689408502,9.113099427340332,2.4869310659579646,4.031534264101144,-13.667905648266288,-13.667905648266288
Current benchmark,supply-plus-20,2059,1.875653535543953,2.1997918657390647,0.3181705529692769,8.925938545576884,2.385481702166903,3.73423239745464,-13.816221987085942,-13.816221987085942
Current benchmark,supply-plus-20,2063,2.050296153112896,2.459079136521569,0.400570109855769,8.602728625836441,2.6714400239547076,3.4825678947114858,-14.10590906826018,-14.10590906826018
Current benchmark,dependent-child-ltv95,2023,0.018358661690287548,0.01835866169024314,-2.220446049250313e-14,0.043824486811394614,0.744837071002058,2.020626972611139,0.06044499026163219,0.06044499026163219
Current benchmark,dependent-child-ltv95,2027,0.01975189098186725,0.01975189098197827,1.1102230246251565e-13,0.07335211997290259,1.0936262399851349,3.0444444354890687,0.13040645739277323,0.13040645739277323
Current benchmark,dependent-child-ltv95,2031,0.025315040039108894,0.025315040039131098,2.220446049250313e-14,0.062348552535951285,1.221231170547632,3.509789687496856,0.10030512603740327,0.10030512603740327
Current benchmark,dependent-child-ltv95,2035,0.03009050038755845,0.03009050038735861,-1.9984014443252818e-13,0.05127408962672941,1.2925805938977297,3.8332345524053846,0.0774089684121293,0.0774089684121293
Current benchmark,dependent-child-ltv95,2039,0.03777280300978347,0.03777280300980568,4.440892098500626e-14,0.0396003209589324,1.3700170395739342,4.269033769530273,0.06971649197800023,0.06971649197802243
Current benchmark,dependent-child-ltv95,2043,0.04516923557875696,0.04596321021625993,0.0007936161671606712,0.03659660465817893,1.4794154923150282,4.809975038681746,0.05426144429931945,0.05426144429931945
Current benchmark,dependent-child-ltv95,2047,0.04793423516402662,0.049590953294753604,0.0016559243760427833,0.021704642706188437,1.5639980305486412,5.236302823888128,0.0387175591753941,0.0387175591753941
Current benchmark,dependent-child-ltv95,2051,0.04853952504448866,0.05128623604295779,0.002745378404833687,0.023940431637869963,1.61334259998831,5.370461284463845,0.038717559175416305,0.038717559175416305
Current benchmark,dependent-child-ltv95,2055,0.05611646098211409,0.060134127144029215,0.004015412854307954,0.021831490325063818,1.621187164415594,5.447213136286999,0.04648226292029989,0.04648226292029989
Current benchmark,dependent-child-ltv95,2059,0.06340376528068958,0.0690164388360337,0.005609117163851707,0.016466528175618222,1.6604552293257524,5.600924761165171,0.030857053112809396,0.030857053112809396
Current benchmark,dependent-child-ltv95,2063,0.07565611491067159,0.08326766606061575,0.007605796899490258,0.01977525677263614,1.6771478914264448,5.742946889695888,0.046495698415771614,0.046495698415771614
Current benchmark,combined,2023,1.3142095978065926,1.3142095978065482,-2.220446049250313e-14,5.896687877512008,2.9628686514826197,5.955604575344397,-18.00312373121178,-18.00312373121178
Current benchmark,combined,2027,1.4045232271420849,1.4045232271419517,-1.1102230246251565e-13,7.020688323116242,4.091001947506578,8.061279155930844,-16.61283331436414,-16.61283331436414
Current benchmark,combined,2031,1.4946715382399,1.494671538239789,-1.2212453270876722e-13,7.743367284401259,4.475693343005993,8.61348721682682,-15.727683748560551,-15.727683748560562
Current benchmark,combined,2035,1.577980433290782,1.5779804332905822,-1.9984014443252818e-13,8.250740478254514,4.453366333188891,8.57919654837367,-15.091582752474142,-15.091582752474142
Current benchmark,combined,2039,1.6469091179801332,1.6469091179801332,0.0,8.650401624961713,4.318322186576262,8.587151724282549,-14.582515137451546,-14.582515137451535
Current benchmark,combined,2043,1.7658113652324614,1.823625765071446,0.056811220844577015,8.916937369966792,4.429264335850036,8.90797822788636,-14.180155601556121,-14.180155601556132
Current benchmark,combined,2047,1.8064275130006857,1.9267063420311814,0.11814463189483426,9.085242455801335,4.327960410965359,9.295504377147468,-13.886840521964693,-13.886840521964693
Current benchmark,combined,2051,1.7245965079305092,1.9111787197761965,0.183418974614602,9.167614368985987,4.101906109055175,9.649922638154207,-13.69948930992212,-13.69948930992213
Current benchmark,combined,2055,1.828372379374943,2.0848850803998342,0.2519069047565825,9.186661276325792,4.192434582888316,9.849539633059646,-13.565521599241903,-13.565521599241892
Current benchmark,combined,2059,1.969211290193762,2.3012861291275666,0.325661868648508,9.036386193805136,4.041422971479191,9.536731669756925,-13.673515949792936,-13.673515949792947
Current benchmark,combined,2063,2.155039451564078,2.574669607278457,0.41077773349922353,8.720481101523902,4.229633354964735,9.026293195936663,-13.943438512506923,-13.943438512506912
Current benchmark,property-tax-2pct-no-rebate,2023,-1.099905363712106,-1.0999053637121392,-2.220446049250313e-14,-4.950732446430206,-2.301019750066502,-2.389721951315671,-7.7461791757332925,14.522362930886157
Current benchmark,property-tax-2pct-no-rebate,2027,-1.095481435612844,-1.095481435612844,0.0,-5.7411050021777825,-2.0685103864909626,-2.6200697281940744,-8.952333185513217,13.02506334996487
Current benchmark,property-tax-2pct-no-rebate,2031,-1.116165020199833,-1.116165020199933,-9.992007221626409e-14,-6.231335044177333,-1.696437477545376,-2.5164335644040636,-9.71187473093772,12.082181074206488
Current benchmark,property-tax-2pct-no-rebate,2035,-1.1530316239772853,-1.1530316239773852,-9.992007221626409e-14,-6.51429040623257,-1.4282977992391754,-2.2350789113058656,-10.145562460962287,11.543808319855685
Current benchmark,property-tax-2pct-no-rebate,2039,-1.1976198197885424,-1.1976198197885313,2.220446049250313e-14,-6.650201613449336,-1.1991440430306866,-1.7574766712037282,-10.33894964205546,11.303740681014784
Current benchmark,property-tax-2pct-no-rebate,2043,-1.296184016058577,-1.3431149017837596,-0.04754718473378716,-6.648275555870575,-0.9986348797464184,-1.181138218642952,-10.415110914539206,11.20919534066216
Current benchmark,property-tax-2pct-no-rebate,2047,-1.3496578040706697,-1.443891828264643,-0.09552326134542044,-6.525168392111813,-0.28307446258567515,-0.48683255274508674,-10.28985413044884,11.364687034762033
Current benchmark,property-tax-2pct-no-rebate,2051,-1.302504943874383,-1.4452293438694475,-0.1446079253722643,-6.396280266160781,0.19070082746944772,0.01687225826089156,-10.164383228500517,11.520444531219166
Current benchmark,property-tax-2pct-no-rebate,2055,-1.391768231638335,-1.5842101540829434,-0.19515807047090217,-6.279676534253742,0.5858408485034827,0.3004267439068897,-10.052818911486039,11.658938623811888
Current benchmark,property-tax-2pct-no-rebate,2059,-1.4940460892896024,-1.7397764327290677,-0.24945735124010104,-6.22405860375398,0.6093156676093336,0.25869297960854354,-10.059842864474222,11.650219205080647
