arm,label,baseline,observations,clusters,never_treated_rows,weights,headline,headline_window,headline_effect,headline_se,reference_mean_rooms,dropped_cohorts,runtime_seconds,Wm1_estimate,Wm1_se,Wp1_estimate,Wp1_se,Wp2_estimate,Wp2_se,Wp3_estimate,Wp3_se,Wp4_estimate,Wp4_se
S0,"S0 original spec, corrected dates (=window_aligned)",-3/-2,315737,34191,102392,none,Wp3,+3/+4,.6020209064756872,.1259454434227076,5.98586914440573,1968 1969 1970 1971 1978,710.34,0.1338286987573979,0.1566423192670978,0.1990166273745637,0.11562730523900443,0.5758678560263571,0.1244948434921961,0.6020209064756872,0.12594544342270744,1.066596285509017,0.13493589473598158
B21,"B21 same, baseline −2/−1",-2/-1,321789,34574,102392,none,Wp2,+2/+3,.428453911844845,.121902112607364,6.117767617846445,1968 1969 1970 1977,412.956,-0.1558177966650621,0.1415956163162165,0.0711458430675472,0.11264077528877808,0.428453911844845,0.1219021126073642,0.6449714803330707,0.1264649448532869,0.9507763201081942,0.13171733014434356
S1,S1 + confirmed-childless controls only,-3/-2,289064,29252,75719,none,Wp3,+3/+4,.618013920308942,.1264477287035382,5.98586914440573,1968 1969 1970 1971 1978,378.678,0.1302221247692578,0.1566731051227689,0.2012478567825323,0.11569082310829196,0.583779668567059,0.124672774400756,0.618013920308942,0.1264477287035382,1.092310292961206,0.1357222730796891
S2,"S2 + women, current ref/spouse",-3/-2,120556,11846,23054,none,Wp3,+3/+4,.8691766568014609,.2115891180999542,5.362519201228879,1968 1969 1970 1971 1978,138.167,-0.097819467848388,0.29878669861378804,0.328428353899297,0.18451960692663855,0.858473654254592,0.2055641903623805,0.869176656801461,0.2115891180999543,1.276435148125947,0.22487135235742658
S3,S3 + one woman per single-FU household-year,-3/-2,102586,11170,20259,none,Wp3,+3/+4,1.033072924999915,.1961789299016256,5.220765414599574,1968 1969 1970 1971 1978 1985 1986,93.349,-0.3070769654150718,0.2873494115110438,0.5439708476403423,0.17604555659540033,0.9717365107889707,0.1898933994260306,1.033072924999915,0.19617892990162578,1.507464751713676,0.19614532114937205
S4,S4 + biological first-birth history,-3/-2,60622,5983,20259,none,Wp3,+3/+4,1.340331193374245,.2363859794932036,5.214388489208633,1970 1971 1978 1985 1986,71.102,-0.3374324444663378,0.29656015907522104,0.6026125390685947,0.18032424355905502,0.9433203998775156,0.201889774128702,1.340331193374245,0.23638597949320367,1.637680868459639,0.23845705741427198
S5,S5 + non-room codes to missing,-3/-2,60178,5972,20049,none,Wp3,+3/+4,.8752549942846685,.065945787273758,4.694706308919507,1970 1971 1978 1985 1986,51.536,-0.3033435277486,0.051873495134995486,0.3933018212278329,0.04199755954742132,0.7066271367925535,0.055308122119561244,0.8752549942846685,0.06594578727375768,1.046645158943465,0.06250291791333346
S6,S6 + PSID weights [pw=IW],-3/-2,41419,3715,14796,pw=iw,Wp3,+3/+4,.9318383345783593,.0808674952219892,4.548231511254019,1970 1971 1978 1985 1986,98.40300000000001,-0.3458065943748068,0.067047787998632,0.3889861528489983,0.05470936593402267,0.7557734345642286,0.06741166268340738,0.9318383345783593,0.08086749522198891,1.095963065730755,0.08263088174963402
S0c,"S0c original spec, corrected dates, codes cleaned",-3/-2,311453,34078,100889,none,Wp3,+3/+4,.7258652621080713,.0325231550466585,5.131023652959073,1968 1969 1970 1971 1978,394.864,-0.1449881000313373,0.027632427895309886,0.1780006948284693,0.02305936962806876,0.485239732909844,0.0284407655850014,0.7258652621080713,0.03252315504665868,0.9677325536708808,0.03648270958857497
B21c,"B21c same, baseline −2/−1, codes cleaned",-2/-1,317403,34461,100889,none,Wp2,+2/+3,.5534148486186257,.0249347220407406,5.091309571485783,1968 1969 1970 1977,451.68,-0.13744794226115,0.025069976301147556,0.276205582265646,0.020221440231590827,0.5534148486186257,0.0249347220407407,0.8050274897776477,0.028849075442375964,0.9949395622162226,0.03309570509202667
S4a,"S4a S3 + biological history, no entry rule",-3/-2,101890,11113,20259,none,Wp3,+3/+4,1.058029657790339,.1981828980393651,5.214388489208633,1968 1969 1970 1971 1978 1985 1986,115.811,-0.2958907409524354,0.29470282540653236,0.5525181496303201,0.17830725810832465,0.969911039893786,0.19112234687423288,1.058029657790339,0.19818289803936515,1.537729914843907,0.1981039321597075
S1c,"S1c confirmed-childless controls, codes cleaned",-3/-2,285205,29180,74641,none,Wp3,+3/+4,.7335325620115439,.0331084121046115,5.131023652959073,1968 1969 1970 1971 1978,447.116,-0.1456309287712055,0.027664998197146157,0.1779165873410976,0.023124268809426172,0.4895630545825778,0.028660487917151724,0.7335325620115439,0.03310841210461172,0.9758557273437893,0.03740892617509222
S2c,"S2c + women, current ref/spouse, codes cleaned",-3/-2,118928,11816,22693,none,Wp3,+3/+4,.8928321431886437,.0558489469274539,4.646766169154229,1968 1969 1970 1971 1978,154.994,-0.3489407983197382,0.04687282935257696,0.3701293768469557,0.037441256204555955,0.7179260011894028,0.04787470880139116,0.8928321431886437,0.055848946927454235,1.019068156464952,0.06129530980719732
S3c,"S3c + one woman per single-FU household-year, codes cleaned",-3/-2,101852,11145,20049,none,Wp3,+3/+4,.9019969912340837,.0613649875128828,4.707395498392283,1968 1969 1970 1971 1978 1985 1986,100.583,-0.3316609038979823,0.0515859490089753,0.4059534854250914,0.040706491752831024,0.7378572005455096,0.052833400179202926,0.9019969912340837,0.061364987512883114,1.069648682273496,0.06122557550527476
S4ac,"S4ac + biological history (no entry rule), codes cleaned",-3/-2,101160,11088,20049,none,Wp3,+3/+4,.9326670286117139,.0622257673607066,4.694706308919507,1968 1969 1970 1971 1978 1985 1986,102.259,-0.3200220713065443,0.05141253388132217,0.411574229861028,0.04149361704546978,0.7461204751744712,0.054578759606263495,0.9326670286117139,0.06222576736070677,1.095419018362215,0.060933725677229024
S4c,"S4c + first-birth-after-entry rule, codes cleaned",-3/-2,60178,5972,20049,none,Wp3,+3/+4,.8752549942846685,.065945787273758,4.694706308919507,1970 1971 1978 1985 1986,49.877,-0.3033435277486,0.051873495134995486,0.3933018212278329,0.04199755954742132,0.7066271367925535,0.055308122119561244,0.8752549942846685,0.06594578727375768,1.046645158943465,0.06250291791333346
