moment,target,model,gap,weight,loss_contribution
initial_normalization,2.1,2.1000005259789205,5.259789204181686e-07,,
cps_childlessness,0.19827875100684264,0.16881436490642213,-0.029464386100420514,35532.3042455214,30.847371646059084
cps_exactly_one,0.21365532522014702,0.23916918228708695,0.025513857066939927,26952.820824310795,17.54512475560454
nchs_mean_age,25.976263860992496,26.078905884911375,0.10264202391887878,139.82806784479274,1.4731425389211763
nchs_share30,0.2492780130410667,0.2283897635040105,-0.020888249537056203,13866.065434728798,6.050027370717197
wealth_earnings,6.92658379107299,7.26789385756744,0.34131006649444995,7.595098472533724,0.8847724758376262
bequest_wealth,0.007291023472616158,0.006727385932076448,-0.0005636375405397099,5165289.256198346,1.6409466792647365
old_dispersion,3.51593508651872,2.8674270252675322,-0.6485080612511878,10.616361531535473,4.464845728351217
mean_rooms,5.607885960068579,6.473767461646465,0.8658815015778858,128.02070205233477,95.98362055094853
ownership_30_55,0.6762604168538028,0.40575669234977646,-0.2705037245040263,2339.3623724673616,171.17644338031667
first_birth_rooms,1.465,0.9786043315988904,-0.4863956684011097,137.5652749002964,32.54529539253513
family_rooms,0.38509964969278165,0.2822720069963802,-0.10282764269640143,280.52808370152104,2.966170454445833
recent_parent_ownership,0.12760836356692162,0.15152093038410322,0.023912566817181596,27055.822957508266,15.470813171108734
