iteration,annual_births_per_head,household_heads,resident_persons,renewal_ratio,distribution_mapping_relative_l1,annual_birth_rate_relative_gap,housing_market_relative_residual
1.0,0.021246021149870772,0.9999999999997599,2.43233258658029,0.6962080457078615,0.21056215226931763,,0.16528216423624487
2.0,0.016848978902557668,0.9717064387923593,1.594795066529977,0.5521219522081674,0.47429199971878083,0.2609678766139137,0.1548917541501188
3.0,0.016536919368678977,0.6591003946149044,1.5553771757890917,0.5418961147822495,0.022831745106361177,0.018870475626175803,0.425607506332107
4.0,0.016514772400966077,0.6443878944589865,1.5526464472307433,0.5411703837382584,0.001584206262835321,0.0013410398384663487,0.43834848054029657
5.0,0.01651320062338659,0.6433686657893308,1.552452974779913,0.5411188783674795,0.0001122538061045924,9.518309716771233e-05,0.4392311290401992
6.0,0.016513089073815154,0.6432964533139932,1.552439245627011,0.5411152230143862,7.965795324919017e-06,6.755221324059178e-06,0.4392936647938878
7.0,0.016513081157105425,0.6432913289869328,1.5524382712728322,0.5411149635927764,5.653306075380547e-07,4.794205062898398e-07,0.4392981024433922
8.0,0.016513080595253922,0.64329096531486,1.5524382021226364,0.5411149451815391,4.012167720756426e-08,3.402463274988275e-08,0.4392984173821552
9.0,0.01651308055537909,0.6432909395049486,1.5524381972150185,0.541114943874886,2.8474519695318423e-09,2.414742208078985e-09,0.43929843973345645
10.0,0.016513080552549093,0.643290937673209,1.552438196866715,0.5411149437821502,2.0208951915034492e-10,1.7137908609360803e-10,0.4392984413197444
11.0,0.016513080552348142,0.6432909375432069,1.5524381968419831,0.5411149437755653,1.434969801346699e-11,1.2169162914219443e-11,0.43929844143233343
