age_node,mass,owner_rate,mean_rooms,mean_liquid_wealth,childless_rate,pre_fertility_mass
18.0,0.014337122049139225,0.14271593949186784,2.8494163293114116,-0.17116026300227966,0.8571013206240923,0.014337122049139226
22.0,0.04474122812786899,0.4130501601665386,3.41817016241331,-0.11684481716959078,0.7038292560467442,0.04474122812786898
26.0,0.06510271539527175,0.4758506434363416,3.9425029517412318,-0.020365287293254274,0.5585647268030477,0.06510271539527175
30.0,0.07781168019051299,0.49503883662717635,4.373356352223196,0.608077498903017,0.43054207757615476,0.07781168019051297
34.0,0.08156435185026396,0.5002074228795967,4.673589251323117,1.1794113937139044,0.3236963666104288,0.08156435185026395
38.0,0.08281187458056488,0.5026383539533621,4.921545056815968,2.1547475962207954,0.24730513763064838,0.08281187458056487
42.0,0.08147983007378343,0.5034018839558017,5.087424392637034,3.0503764254685066,0.19336258491528424,0.08147983007378447
46.0,0.07516298442006566,0.5034435507551503,5.171276058834667,3.881471473653873,0.17228471863460873,0.07516298442006604
50.0,0.08066019718385488,0.5033213882852378,5.243222328469887,4.626506730932316,0.1612582625426033,0.08066019718385632
54.0,0.0785864028969206,0.5032153475056605,5.314446031439642,5.329475914558532,0.15648716344722963,0.07858640289692333
58.0,0.08646102535793014,0.5031330313354615,5.39045405423824,5.980957449709219,0.1549681698535923,0.0864610253579312
62.0,0.0880697779565615,0.5036270214535902,5.461628899947993,6.425805640476918,0.15496816985359899,0.08806977795656346
66.0,0.08000900833913681,0.5028828782436703,5.560715760647985,6.8397404283218695,0.15496816985358344,0.08000900833913686
70.0,0.06962757948607502,0.5030753866261166,5.606175653377803,5.719517381782842,0.15496816985358625,0.06962757948607573
74.0,0.05717549494547414,0.5031720065723435,5.695890437694728,4.460827169105934,0.1549681698536066,0.05717549494547944
78.0,0.039527688325377223,0.5033060968041103,5.716475819651768,3.152253405972124,0.15496816985348733,0.03952768832538079
82.0,0.026118710068940915,0.5051533878911816,5.789872936324438,1.7171325519970415,0.15496816985356032,0.02611871006894534
