rung,rooms,mass,share
1,2.0,7.0030589142905795e-06,3.846905326917885e-05
2,4.0,0.04397883146757081,0.24158357528448765
3,6.0,0.08011692950392531,0.44009660158081976
4,8.0,0.046279372574085285,0.25422085842855013
5,10.0,0.01166182650757246,0.06406049565287325
