age,z_index,z,threshold_prob_0p10,threshold_prob_0p50,threshold_prob_0p90,min_owner_probability,max_owner_probability,owner_probability_lowest_wealth,owner_probability_highest_wealth
18.0,0,0.6134533968572546,2.8139534883720927,3.0930232558139537,18.794733192202056,0.0,0.9773813486099243,nan,0.9767372608184814
18.0,1,0.7728751856900854,1.558139534883721,1.837209302325581,17.464751508773247,0.0,0.9777927398681641,nan,0.9772061109542847
18.0,2,0.9737268645273782,0.720930232558139,1.0,14.428571428571427,0.0,0.9777446985244751,nan,0.977262556552887
18.0,3,1.2267750656993077,0.720930232558139,3.7906976744186043,12.142857142857142,0.0,0.9772781133651733,nan,0.9769511222839355
18.0,4,1.5455844104209013,2.2558139534883717,3.3720930232558146,9.285714285714285,0.0,0.9774148464202881,0.0,0.9756901264190674
22.0,0,0.6134533968572546,2.2558139534883717,2.674418604651163,18.794733192202056,0.0,0.9785969853401184,nan,0.9774079918861389
22.0,1,0.7728751856900854,1.1395348837209305,1.6976744186046506,16.341640786499873,0.0,0.9786454439163208,nan,0.9775617122650146
22.0,2,0.9737268645273782,0.720930232558139,4.348837209302326,13.857142857142858,0.0,0.9782437086105347,nan,0.9773401021957397
22.0,3,1.2267750656993077,0.720930232558139,3.232558139534884,11.0,0.0,0.9775845408439636,nan,0.9767870306968689
22.0,4,1.5455844104209013,1.4186046511627906,2.5348837209302326,8.142857142857142,0.0,0.9771535396575928,0.0,0.9757614135742188
26.0,0,0.6134533968572546,1.837209302325581,2.2558139534883717,17.464751508773247,0.0,0.9781217575073242,nan,0.9774753451347351
26.0,1,0.7728751856900854,0.720930232558139,5.186046511627907,15.474341649025257,0.0,0.9779060482978821,nan,0.9774088859558105
26.0,2,0.9737268645273782,2.8139534883720927,3.5116279069767433,12.714285714285714,0.0,0.9772993326187134,nan,0.9769986271858215
26.0,3,1.2267750656993077,1.558139534883721,3.5116279069767433,9.857142857142858,0.0,0.9782123565673828,nan,0.9756609201431274
26.0,4,1.5455844104209013,1.0,1.27906976744186,6.162790697674419,0.0,0.9789049625396729,0.0,0.978861927986145
30.0,0,0.6134533968572546,1.558139534883721,2.674418604651163,16.341640786499873,0.0,0.9788548946380615,nan,0.9778167009353638
30.0,1,0.7728751856900854,0.720930232558139,5.046511627906977,14.428571428571427,0.0,0.9783845543861389,nan,0.9775363206863403
30.0,2,0.9737268645273782,2.674418604651163,3.232558139534884,12.142857142857142,0.0,0.9775767922401428,nan,0.9769507646560669
30.0,3,1.2267750656993077,1.27906976744186,3.3720930232558146,9.285714285714285,0.0,0.9780839085578918,nan,0.9754056930541992
30.0,4,1.5455844104209013,1.0,1.27906976744186,5.604651162790697,0.0,0.9786304235458374,0.0,0.976047933101654
34.0,0,0.6134533968572546,1.4186046511627906,1.837209302325581,16.341640786499873,0.0,0.9786922335624695,nan,0.9778938293457031
34.0,1,0.7728751856900854,0.720930232558139,4.767441860465116,13.857142857142858,0.0,0.9779890775680542,nan,0.9774552583694458
34.0,2,0.9737268645273782,2.2558139534883717,2.953488372093023,11.571428571428571,0.0,0.9776914119720459,nan,0.9763688445091248
34.0,3,1.2267750656993077,1.0,2.953488372093023,8.714285714285714,0.0,0.9793561697006226,nan,0.9765572547912598
