wealth_measure,group,parent_status,tenure_status,wealth,liquid_wealth,total_wealth,ergodic_mass,population_share,within_group_share,group_population_share,total_population_mass,liquidated_housing_discount_1_minus_psi
total_wealth_net_liquidation,all,all,all,-3.433778125776,nan,-3.433778125776,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-3.325581395349,nan,-3.325581395349,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-3.294243242055,nan,-3.294243242055,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-3.186046511628,nan,-3.186046511628,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-3.154708358334,nan,-3.154708358334,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-3.046511627907,nan,-3.046511627907,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-3.015173474613,nan,-3.015173474613,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-2.906976744186,nan,-2.906976744186,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-2.875638590892,nan,-2.875638590892,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-2.846626018994,nan,-2.846626018994,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-2.819939028491,nan,-2.819939028491,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-2.793252037988,nan,-2.793252037988,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-2.767441860465,nan,-2.767441860465,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-2.766565047485,nan,-2.766565047485,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-2.736103707171,nan,-2.736103707171,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-2.627906976744,nan,-2.627906976744,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-2.596568823451,nan,-2.596568823451,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-2.488372093023,nan,-2.488372093023,0.0006967058467390667,0.0006967058467390973,0.0006967058467390971,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-2.45703393973,nan,-2.45703393973,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-2.348837209302,nan,-2.348837209302,7.274675101289559e-05,7.274675101289877e-05,7.274675101289876e-05,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-2.317499056009,nan,-2.317499056009,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-2.209302325581,nan,-2.209302325581,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-2.177964172288,nan,-2.177964172288,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-2.146626018994,nan,-2.146626018994,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-2.119939028491,nan,-2.119939028491,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-2.093252037988,nan,-2.093252037988,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-2.06976744186,nan,-2.06976744186,0.000758549124552907,0.0007585491245529403,0.0007585491245529401,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-2.066565047485,nan,-2.066565047485,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-2.038429288567,nan,-2.038429288567,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-2.007091135273,nan,-2.007091135273,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-1.93023255814,nan,-1.93023255814,0.002319261266454942,0.0023192612664550438,0.002319261266455043,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-1.898894404846,nan,-1.898894404846,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-1.867556251552,nan,-1.867556251552,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-1.790697674419,nan,-1.790697674419,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-1.759359521125,nan,-1.759359521125,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-1.728021367831,nan,-1.728021367831,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-1.651162790698,nan,-1.651162790698,0.0015805858961074855,0.001580585896107555,0.0015805858961075545,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-1.619824637404,nan,-1.619824637404,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-1.58848648411,nan,-1.58848648411,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-1.511627906977,nan,-1.511627906977,0.007665651813105181,0.007665651813105518,0.007665651813105516,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-1.480289753683,nan,-1.480289753683,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-1.448951600389,nan,-1.448951600389,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-1.419939028491,nan,-1.419939028491,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-1.393252037988,nan,-1.393252037988,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-1.372093023256,nan,-1.372093023256,0.008977436547068342,0.008977436547068736,0.008977436547068734,1.0000000000000002,0.9999999999999561,0.94
