source,tenure,bin,share,data_source
data,renter,S_<=4,0.719075271037314,"ACS/IPUMS extract27 household heads, 2012-2023, matched MMS metro sample; prime age 30-55 childless heads; see output/model/intergen_room_distribution_current_best_20260623/room_bin_shares_prime30_55_childless.csv"
model,renter,S_<=4,0.606991749484265,current model solve
data,renter,M_4to6,0.22056262451180755,"ACS/IPUMS extract27 household heads, 2012-2023, matched MMS metro sample; prime age 30-55 childless heads; see output/model/intergen_room_distribution_current_best_20260623/room_bin_shares_prime30_55_childless.csv"
model,renter,M_4to6,0.39300825051573507,current model solve
data,renter,L_>6,0.0603621044508785,"ACS/IPUMS extract27 household heads, 2012-2023, matched MMS metro sample; prime age 30-55 childless heads; see output/model/intergen_room_distribution_current_best_20260623/room_bin_shares_prime30_55_childless.csv"
model,renter,L_>6,0.0,current model solve
data,owner,S_<=4,0.20064321188507736,"ACS/IPUMS extract27 household heads, 2012-2023, matched MMS metro sample; prime age 30-55 childless heads; see output/model/intergen_room_distribution_current_best_20260623/room_bin_shares_prime30_55_childless.csv"
model,owner,S_<=4,0.2416220443377568,current model solve
data,owner,M_4to6,0.41890838244888606,"ACS/IPUMS extract27 household heads, 2012-2023, matched MMS metro sample; prime age 30-55 childless heads; see output/model/intergen_room_distribution_current_best_20260623/room_bin_shares_prime30_55_childless.csv"
model,owner,M_4to6,0.44009660158081976,current model solve
data,owner,L_>6,0.3804484056660366,"ACS/IPUMS extract27 household heads, 2012-2023, matched MMS metro sample; prime age 30-55 childless heads; see output/model/intergen_room_distribution_current_best_20260623/room_bin_shares_prime30_55_childless.csv"
model,owner,L_>6,0.3182813540814234,current model solve
