rung,rooms,mass,share,population_share
1,2.0,0.0006035176366367349,0.0009032985082792999,0.0006035176366367613
2,4.0,0.13201757659773772,0.19759369530929483,0.13201757659774352
3,6.0,0.28343993506119336,0.4242309668932938,0.2834399350612058
4,8.0,0.1910853025650867,0.28600169785102064,0.1910853025650951
5,10.0,0.0609801303277755,0.09127034143811151,0.06098013032777817
