tenure,bin,data_share,model_share,gap_model_minus_data
renter,S_<=4,0.719075271037314,0.606991749484265,-0.1120835215530489
renter,M_4to6,0.22056262451180755,0.39300825051573507,0.17244562600392752
renter,L_>6,0.0603621044508785,0.0,-0.0603621044508785
owner,S_<=4,0.20064321188507736,0.2416220443377568,0.04097883245267944
owner,M_4to6,0.41890838244888606,0.44009660158081976,0.021188219131933694
owner,L_>6,0.3804484056660366,0.3182813540814234,-0.06216705158461322
