gap,loss_contribution,model,moment,target,weight
0.05764745788663328,4.738057732773633,1.9756474578866332,tfr,1.918,1425.7389910084596
-0.08001880907870537,110.00847117353175,0.10798119092129463,childless_rate,0.188,17180.743822072007
0.39081171223112676,2.4437407106724005,25.701372511593128,mean_age_first_birth,25.310560799362,16.0
0.0653954706351152,66.82136843106584,0.3354578474864572,share_first_births_age30plus,0.270062376851342,15625.0
0.02348533634500527,0.4997451144334151,0.6879203363450053,housing_increment_0to1,0.664435,906.0558911497827
-0.02590349037255718,1.9851363784994567,0.3417960684374428,prime30_55_parent_3plus_minus_1to2_mean_rooms,0.36769955881,2958.514988007638
0.005134055510195218,0.3750710429229856,0.17279572551019523,own_family_gap,0.16766167,14229.590955975675
0.022575444002310707,0.6155795690864506,0.5980474440023107,own_rate,0.575472,1207.8460856134493
0.16848711011323836,0.33989291587334786,5.948457592055206,aggregate_mean_occupied_rooms_18_85,5.779970481941968,11.973159013172177
-1.0854544359757785,7.408203375041722,5.7876455640242215,aggregate_wealth_to_annual_gross_labor_earnings,6.8731,6.287669427540395
5.4230457048363295e-05,0.015190818552037062,0.008854230457048364,annual_bequest_flow_to_aggregate_wealth,0.0088,5165289.256198346
-1.3513668881042311,104.01950680039947,2.096743866341289,old_total_wealth_to_annual_income_p90_p50_7684,3.44811075444552,56.95977216091135
