parameter,estimate,lower_bound,upper_bound,transform,distance_to_nearest_bound,distance_as_share_of_range,near_bound_2pct,near_bound_side,external_restriction,external_restriction_satisfied
beta_annual,0.993727877211755,0.94,0.9995,discount,0.0057721227882450155,0.09701046702932782,False,,>= 0.94,True
delta_alpha,0.016919064055173332,0.0,0.25,softzero,0.016919064055173332,0.06767625622069333,False,,,
delta_alpha_jump,0.020343726107523653,0.0,0.25,softzero,0.020343726107523653,0.08137490443009461,False,,,
psi_child,0.00025791307213917665,0.0,3.0,asinh,0.00025791307213917665,8.597102404639222e-05,True,lower,,
kappa_fert,3.566256232941394,0.02,50.0,log,3.546256232941394,0.07095350606125238,False,,,
kappa_fert_continuation,1.7744899468159896,0.02,50.0,log,1.7544899468159896,0.0351038404725088,False,,,
chi,1.0420421718957937,0.1,5.0,log,0.9420421718957938,0.19225350446852932,False,,,
H0,7.43944475444815,0.2,80.0,log,7.23944475444815,0.09071985907829762,False,,,
theta0,0.1645103243301698,0.0,8.0,softzero,0.1645103243301698,0.020563790541271224,False,,,
theta1,0.08602194808620833,0.02,16.0,log,0.06602194808620833,0.00413153617560753,True,lower,,
