parameter,value,lower_bound,upper_bound,transform,is_free_parameter,status,near_bound
beta_annual,0.9951571403379382,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
tenure_choice_kappa,0.01,0.005,10.0,log,True,estimated_free_transition_parameter,True
joint_nest_lambda,0.5,0.02,1.0,log,True,estimated_free_transition_parameter,False
chi,1.2450213589124055,0.1,5.0,log,True,estimated_free_transition_parameter,False
H0,8.52201451984706,0.2,80.0,log,True,estimated_free_transition_parameter,False
theta0,0.4278961797672178,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
theta1,0.1344480703695023,0.02,16.0,log,True,estimated_free_transition_parameter,True
hbar_child_rooms,0.3219675286563003,0.1,1.8,log,True,estimated_free_transition_parameter,False
first_birth_fixed_cost,5.882668972658445,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
hbar_first_child_jump,0.27706100578462517,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
psi_child_change_2023,-0.0007894513287788341,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
psi_child_2007,0.6177371753064674,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
psi_child_2023,0.6169477239776886,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
