arm,window,estimate,se
H,≤-8,-0.4981260098672046,0.12379801635892838
H,-7/-6,-0.500797197208742,0.09512802757819905
H,-5/-4,-0.3369780977872914,0.06268442390879411
H,-3/-2 ref.,0,0
H,-1/+0,0.4126000821078242,0.051693900947284877
H,+1/+2,0.8199051578768689,0.0617393858001673
H,+3/+4,1.025023667069253,0.07300878457334227
H,+5/+6,1.168884141347655,0.07906187697484862
H,+7/+8,1.203781675281692,0.09172661103451496
H,+9/+10,1.250461541482617,0.10307238366116746
H,≥11,1.15589287308189,0.12655499583512655
H21,≤-7,-0.638216630439016,0.1042614207458569
H21,-6/-5,-0.6122387872363314,0.08163370031060763
H21,-4/-3,-0.3592903032944187,0.05737388841971319
H21,-2/-1 ref.,0,0
H21,+0/+1,0.4908394123476539,0.046016759022952713
H21,+2/+3,0.7632853177408143,0.058914027205887905
H21,+4/+5,0.9115182801099424,0.06763299176792048
H21,+6/+7,1.020589528276553,0.07587949364352532
H21,+8/+9,1.042137845040459,0.0864150742536619
H21,+10/+11,1.053258136929273,0.0954585215314814
H21,≥12,0.8634084505743013,0.11950701349147295
Hb4,≤-10,-0.1230575773924677,0.14091924333949463
Hb4,-9/-8,-0.2815662033244798,0.132179213688897
Hb4,-7/-6,-0.1917247448778923,0.08530022340161132
Hb4,-5/-4 ref.,0,0
Hb4,-3/-2,0.2974150013948321,0.06980456285604904
Hb4,-1/+0,0.6980253909666156,0.08171460566436883
Hb4,+1/+2,1.058368617286102,0.0906513513048912
Hb4,+3/+4,1.296085472188483,0.09723679674290696
Hb4,+5/+6,1.451363518002465,0.10219749140763534
Hb4,+7/+8,1.468992552243458,0.1222888650305493
Hb4,≥9,1.345867315984466,0.14881159827570029
Hb6,≤-12,0.2207847153623836,0.16564041640829422
Hb6,-11/-10,0.1406031900255093,0.14721254713273696
Hb6,-9/-8,0.0429678079362453,0.11140064948059683
Hb6,-7/-6 ref.,0,0
Hb6,-5/-4,0.1411464963901557,0.08025397799717719
Hb6,-3/-2,0.4917347311168457,0.08935632353384733
Hb6,-1/+0,0.8311643476445906,0.09755703426239597
Hb6,+1/+2,1.208160628849693,0.10935854107079475
Hb6,+3/+4,1.430894157389953,0.12968258164753932
Hb6,+5/+6,1.569099671521639,0.13476777132733997
Hb6,≥7,1.416819737144648,0.17116870281502458
A,≤-8,-0.0815740263189471,0.05454146988397544
A,-7/-6,-0.1583831896496607,0.04064900942552721
A,-5/-4,-0.144860656659651,0.027558221588711053
A,-3/-2 ref.,0,0
A,-1/+0,0.1844655627840668,0.02273860038644639
A,+1/+2,0.5418299545139109,0.027353181952867935
A,+3/+4,0.8200832220112569,0.031809686955671226
A,+5/+6,1.005857469321581,0.03602020024518326
A,+7/+8,1.103646772383134,0.04008719368801588
A,+9/+10,1.223957871675889,0.045744398611806014
A,≥11,1.290466166122524,0.05706696876960349
Hentry,≤-8,-0.4708201495496485,0.12470180784130558
Hentry,-7/-6,-0.4813384671662405,0.09542548544948462
Hentry,-5/-4,-0.3239223006251474,0.06294400803428472
Hentry,-3/-2 ref.,0,0
Hentry,-1/+0,0.3996728673951453,0.051803597549923114
Hentry,+1/+2,0.7940417303773342,0.06191803260520961
Hentry,+3/+4,0.9723041938539217,0.07369398027375573
Hentry,+5/+6,1.094154303671392,0.07952468362512044
Hentry,+7/+8,1.118653640603004,0.09443097639932883
Hentry,+9/+10,1.182222246871088,0.10578281707738313
Hentry,≥11,1.082960307275623,0.1260667357268911
Hctrl,≤-8,-0.5078793432497172,0.12510461112396817
Hctrl,-7/-6,-0.5014445329539972,0.09559733872865395
Hctrl,-5/-4,-0.3370429797564061,0.06287534544147412
Hctrl,-3/-2 ref.,0,0
Hctrl,-1/+0,0.4108410003847257,0.05190468656842945
Hctrl,+1/+2,0.819616106200146,0.061724478619341126
Hctrl,+3/+4,1.02472287114143,0.07298011745084479
Hctrl,+5/+6,1.168559940557077,0.07901748489264765
Hctrl,+7/+8,1.20331969736044,0.09166920853648841
Hctrl,+9/+10,1.249863792980297,0.10301190961644532
Hctrl,≥11,1.155237142781786,0.12649594373041692
Hshift,≤-8,-0.5085398506831614,0.12430409471747984
Hshift,-7/-6,-0.5008825722911248,0.09506030439401507
Hshift,-5/-4,-0.3540098422613282,0.06452237483519728
Hshift,-3/-2 ref.,0,0
Hshift,-1/+0,0.4069671021299153,0.05267944349532558
Hshift,+1/+2,0.8215433249339631,0.06351011561394924
Hshift,+3/+4,1.003025630641719,0.07411289165966
Hshift,+5/+6,1.133502566577813,0.07988237965045608
Hshift,+7/+8,1.175624534354442,0.09321310027420288
Hshift,+9/+10,1.243699975653999,0.10536939177960031
Hshift,≥11,1.157873217319761,0.12867965308114918
Ashift,≤-8,-0.0950285956665315,0.05533473393956277
Ashift,-7/-6,-0.1616351261140938,0.041266715556530546
Ashift,-5/-4,-0.1494857848989346,0.028254476457871238
Ashift,-3/-2 ref.,0,0
Ashift,-1/+0,0.1947444650259381,0.022941306160576387
Ashift,+1/+2,0.5614421415944152,0.027441508051419112
Ashift,+3/+4,0.8299595556573508,0.03214464939041178
Ashift,+5/+6,1.028459408039693,0.03683925915744642
Ashift,+7/+8,1.128839251014956,0.04107572574955067
Ashift,+9/+10,1.25251788837591,0.04695573517776609
Ashift,≥11,1.340251325656204,0.05804222042525079
