arm,baseline,observations,clusters,treated_individuals,control_individuals,weights,headline_window,headline_effect,headline_se,reference_mean_rooms,dropped_cohorts,runtime_seconds
H,-3/-2,63338,5309,3655,1654,pw=IW,+3/+4,1.025023667069253,.073008784573342,4.698221560152792,1968 1969 1970 1985 1986,177.326
H21,-2/-1,65053,5381,3727,1654,pw=IW,+2/+3,.7632853177408143,.0589140272058877,4.843461411711627,1968 1969 1984 1985,174.001
Hb4,-5/-4,59623,5125,3471,1654,pw=IW,+3/+4,1.296085472188483,.097236796742907,4.333559924805827,1968 1969 1970 1971 1972 1987 1988,176.545
Hb6,-7/-6,56749,4989,3335,1654,pw=IW,+3/+4,1.430894157389953,.1296825816475392,4.22497599030177,1968 1969 1970 1971 1972 1973 1974 1989 1990,122.403
A,-3/-2,300684,28663,12564,59,none,+3/+4,.8200832220112569,.0318096869556705,5.039893363800819,1968 1969,424.692
Hentry,-3/-2,48225,3999,2345,1654,pw=IW,+3/+4,.9723041938539217,.0736939802737557,4.698221560152792,1969 1970 1985 1986,167.371
Hctrl,-3/-2,63338,5309,3643,12,pw=IW,+3/+4,1.02472287114143,.0729801174508448,4.698221560152792,1968 1969 1970 1985 1986,177.614
Hshift,-3/-2,60614,5231,3577,1654,pw=IW,+3/+4,1.003025630641719,.0741128916596598,4.716637914248751,1968 1969 1970 1971 1985 1986,169.403
Ashift,-3/-2,279816,27721,12209,59,none,+3/+4,.8299595556573508,.0321446493904122,5.059040223018718,1968 1969 1970 1971,440.258
