coefficient,estimate,standard_error
L0event,.1650372686024731,.1368767
L1event,.5685724509900507,.1499323
L2event,.5798187347369408,.14881703
L3event,.7968585550031888,.15646067
L4event,.7960963579846165,.15310043
L5event,.9564253514332014,.15755987
L6event,1.055847866937439,.16204388
L7event,.9381926561755125,.15679358
L8event,1.057048990278252,.1569131
L9event,1.015384712362749,.15407534
L10event,1.06904549117459,.16486134
L11event,1.039568034663582,.12770285
F1event,.056121097837442,.15028398
F3event,-.0625840302872364,.17261273
F4event,-.1642174490360011,.1737473
F5event,.1393735309595708,.22687048
F7event,.1860009272447057,.13797395
