price,rent,entry_rate_E,mature_entrants_B,births_per_household,housing_demand_D,housing_supply_HS,B_over_E,lifetime_births_nu,clearing_scale_S,status,seconds
0.02,0.0033142293871800004,0.06173345618074803,0.04930684197936094,0.10405267685968855,9.722316802674007,0.008710890957175949,0.798705354111335,1.6855151695222605,0.0008959686393658888,ok,1.2
0.026505,0.004392182495360296,0.06173345618074801,0.04930425920053495,0.10404730227250034,9.721622345642048,0.014258825359371908,0.7986635165246234,1.6854281083479687,0.0014667125354610973,ok,0.9
0.035127,0.005820946784173594,0.06173345618074803,0.049300764266219925,0.10404003080654803,9.720710987818556,0.02334167087787217,0.798606903230451,1.6853103202570014,0.002401230826337973,ok,0.9
0.046553,0.007714366033069527,0.06173345618074802,0.049295871843988676,0.10402987411849471,9.719213497300744,0.038209250005643555,0.7985276524880833,1.685145795399952,0.003931310904555721,ok,0.9
0.061695,0.010223569102103506,0.06173345618074801,0.04928974902527471,0.10401713744098365,9.717220304814704,0.06254571043109879,0.7984284709568236,1.6849394781402516,0.0064365845858314575,ok,1.0
0.081762,0.01354890115773056,0.061733456180748006,0.04928195970412592,0.10400088779970859,9.715358674089467,0.10238237997067334,0.7983022942994537,1.684676255533251,0.010538198681611589,ok,1.0
0.108357,0.017955997685333163,0.06173345618074801,0.04926971315058662,0.10397547748349682,9.709785526874274,0.1675945095150439,0.7981039163971465,1.6842646421588536,0.017260371925948717,ok,1.0
0.143603,0.023796664134360483,0.06173345618074812,0.04925442693829396,0.10394359030489951,9.703059909666036,0.2743444837780735,0.7978563000600993,1.6837481122159306,0.02827401730301344,ok,0.9
0.190313,0.031537046868119374,0.06173345618074803,0.04921653325771786,0.1038652854309579,9.583165853491,0.4490863777200402,0.7972424727625465,1.6824796772572237,0.046862006208151445,ok,1.0
0.252216,0.04179508395584955,0.06173345618074838,0.049176413753746005,0.10378209106052137,9.514565056559563,0.7351266952611955,0.796592590082162,1.6811320389491797,0.07726330009739982,ok,1.0
0.334255,0.055389887190592554,0.06173345618074801,0.04912774118117494,0.10368070950538184,9.444005177117267,1.2033623837541936,0.7958041590500768,1.679489792403934,0.12742076705653752,ok,1.0
0.442978,0.0734065352737111,0.06173345618074803,0.049039568128378064,0.10349720296967282,9.141158413093262,1.9698305172530932,0.7943758727001481,1.6765172302461997,0.2154902506045211,ok,1.1
0.587067,0.09728373518218007,0.061733456180748006,0.048907057767056505,0.1032204233588587,8.356963400887818,3.2245083434745765,0.7922293808378819,1.6720337681506432,0.385846890645951,ok,1.1
0.776083,0.1286058542745408,0.06173345618074934,0.04870233862865231,0.10279275733651291,6.7437130301537405,5.2553226303461695,0.7889132026895881,1.665106146585185,0.7792921506071798,ok,1.2
0.778022,0.12892716881362792,0.0617334561807496,0.048700188316636375,0.10278826974489107,6.728288735104791,5.278321881353445,0.7888783704908231,1.6650334535610145,0.784496933642851,ok,1.2
1.031091,0.1708636046528407,0.06173345618074898,0.04844127908839285,0.10224788940748047,5.216739542477553,8.640320016934309,0.7846843848587053,1.656280009790956,1.6562682393054295,ok,1.2
1.366475,0.22644058009233958,0.061733456180752266,0.04813615280647765,0.10161122669432349,3.9449724756729823,14.143700239943739,0.779741744339367,1.645966919409327,3.5852468748925634,ok,1.2
1.81095,0.3000951854356811,0.0617334561807559,0.04783010073356792,0.10097297343888845,3.2345863989387533,23.152419844912426,0.7747841072354854,1.6356280643552343,7.157768255165045,ok,1.2
2.4,0.39770752646160007,0.061733456180754764,0.04749422459749798,0.10027668002333257,2.830551986487088,37.89917514297931,0.7693433599187368,1.6243490357922572,13.389323115741401,ok,1.2
