statistic,estimate,bootstrap_se,bootstrap_reps,seed
legacy.mean,0.258855836903437,0.125965630995927,499,20260715
legacy.median,0.0985177806342346,0.013211900214633,499,20260715
legacy.ratio_sums,0.368911040425729,0.0661808268066571,499,20260715
common_family.mean,0.28589453721326,0.126999590761056,499,20260715
common_family.median,0.108484315727883,0.0130102008178793,499,20260715
common_family.ratio_sums,0.372220300730246,0.0669048149545257,499,20260715
gross.mean,0.912034868930348,0.458237613227359,499,20260715
gross.median,0.13479769875,0.0147972191257347,499,20260715
gross.ratio_sums,0.483212189610856,0.0889334991008717,499,20260715
fixed_original_bin_node1,-2.22252859121604,0.224627750568353,499,20260715
fixed_original_bin_node2,-0.0526403178090525,0.00551354043005427,499,20260715
fixed_original_bin_node3,0.104244689233362,0.00326235418632873,499,20260715
fixed_original_bin_node4,0.351572998737395,0.00730799068336339,499,20260715
fixed_original_bin_node5,3.1034542945567,0.513800167779503,499,20260715
