group,group_id,family_years,persons,weight_share,mean_nonhousing_nw,mean_family_income,ratio_of_group_weighted_means,ratio_to_full_sample_mean_income
wealth_q,1,355,315,0.200014370580823,-37908.7565616098,34220.9108289216,-1.10776585553566,-0.966008317701212
wealth_q,2,468,377,0.200210182390911,-1443.5538911069,27439.7019735711,-0.0526082204718285,-0.0367853021924599
wealth_q,3,352,313,0.199763813932136,3397.73591614219,35766.50962244,0.0949976934291191,0.0865826646413781
wealth_q,4,340,306,0.199680082958837,11420.1835584225,40593.3618395869,0.281331307408135,0.291014354142199
wealth_q,5,320,281,0.200331550137293,96785.757240718,58172.3617651062,1.66377561962378,2.46633904695854
income_q,1,408,338,0.200640420355825,266.985422045288,8791.29869882758,0.030369281171267,0.00680344495028631
income_q,2,364,333,0.199221714475327,13581.5100192031,20248.6446157703,0.670736746924057,0.346090266088522
income_q,3,374,352,0.199914509504064,4060.61493216281,30857.0055287865,0.131594588087125,0.103474451689703
income_q,4,370,340,0.200685707010402,18139.3347110142,46086.5042214058,0.393593200817974,0.462234844868304
income_q,5,319,297,0.199537648654382,36412.5648007296,90344.6345496824,0.403040700559872,0.92788167317418
