sample,measure,family_years,persons,weighted_mean_row_ratio,weighted_median_row_ratio,ratio_of_weighted_sums
all July rows,family income,1835,1346,0.258855836903437,0.0985177806342346,0.368911040425729
common gross-denominator support,family income,1742,1296,0.28589453721326,0.108484315727883,0.372220300730246
common gross-denominator support,RP+spouse gross labor earnings,1742,1296,0.912034868930348,0.13479769875,0.483212189610856
