earnings_tercile,wealth_q,weighted_mass,family_years,persons,share_of_common_sample
1,1,2808.32399845123,124,116,0.0719636403057429
1,2,4149.82001680136,242,211,0.106339637159872
1,3,2564.08799701929,109,103,0.0657050633871059
1,4,2042.38499885798,84,80,0.0523363612975986
1,5,1440.51100254059,65,59,0.0369132677356552
2,1,2968.33399671316,120,116,0.0760639157606385
2,2,2368.87600439787,124,118,0.0607027325918975
2,3,3145.67000746727,146,136,0.0806081723699906
2,4,2680.23899310827,110,106,0.0686814466350185
2,5,1872.20000970364,79,78,0.0479753504770188
3,1,2022.00301146507,92,89,0.051814070418673
3,2,1286.5479965806,75,71,0.0329679471859587
3,3,2098.53899753094,86,84,0.0537753142690003
3,4,3092.7340092063,132,124,0.0792516810462761
3,5,4483.93599748612,154,145,0.114901399359553
