quintile,node,weight_share,family_years,persons,sample,measure
1,-2.22252859121604,0.199425762696792,355,316,July legacy wealth/family-income ratio,weighted quintile-bin mean row ratio
2,-0.0526403178090525,0.200377472937802,451,375,July legacy wealth/family-income ratio,weighted quintile-bin mean row ratio
3,0.104244689233362,0.199863308508567,371,335,July legacy wealth/family-income ratio,weighted quintile-bin mean row ratio
4,0.351572998737395,0.200087860612093,340,311,July legacy wealth/family-income ratio,weighted quintile-bin mean row ratio
5,3.1034542945567,0.200245595244747,318,288,July legacy wealth/family-income ratio,weighted quintile-bin mean row ratio
