arm,age_index,age_years,surviving_mass,explicit_birth_flow,exact_first_birth_flow,childless_share,mean_rooms,ownership
cap10s005,0,18.0,0.9999999999999999,0.2650735102395269,0.26507351023952685,0.7349264897604735,4.478234028494669,0.05682446564100284
cap10s005,1,22.0,0.9999999999999891,0.29636994504834846,0.21133555312640417,0.5235909366340745,5.182648247215326,0.1693931721135495
cap10s005,2,26.0,0.9999999999999868,0.3138131857266276,0.15359027176956824,0.3700006648645086,5.719791137335174,0.24837847733880186
cap10s005,3,30.0,0.9999999999999889,0.30847303358828365,0.09390109686228043,0.27609956800223084,6.168135741803279,0.359744832336282
cap10s005,4,34.0,0.9999999999999941,0.28642438222355504,0.05089116601595253,0.22520840198627887,6.50113226681148,0.4390021764505215
cap10s005,5,38.0,0.9999999999999891,0.24124102712567974,0.0276674096431547,0.19754099234312394,6.757547345812436,0.5179653873353288
cap10s005,6,42.0,0.9999999999999899,0.16102041669703984,0.018001768625262315,0.17953922371786069,6.927732752796884,0.5805212350110204
cap10s005,7,46.0,0.9999999999999866,0.0,0.0,0.17953922371786066,6.982252080707154,0.619656064009772
cap10s005,8,50.0,0.9999999999999833,0.0,0.0,0.17953922371786168,7.024809659328518,0.64953190786258
cap10s005,9,54.0,0.9999999999999821,0.0,0.0,0.1795392237178601,7.062622766122203,0.6772645077006093
cap10s005,10,58.0,0.9999999999999859,0.0,0.0,0.1795392237178572,7.091812351137931,0.7067879858376931
cap10s005,11,62.0,0.9999999999999903,0.0,0.0,0.17953922371785458,7.120926580620748,0.7347125663934876
cap10s005,12,66.0,0.9999999999999902,0.0,0.0,0.17953922371785225,7.3146843641785715,0.7587642210846856
cap10s005,13,70.0,0.9391263063709994,0.0,0.0,0.17953922371785316,7.335954329537002,0.7700455206250798
cap10s005,14,74.0,0.8625852907341045,0.0,0.0,0.1795392237178567,7.3089927881964165,0.7924439265003758
cap10s005,15,78.0,0.7633467444960325,0.0,0.0,0.17953922371785644,7.237066915514343,0.8634283545804531
cap10s005,16,82.0,0.6336135272169441,0.0,0.0,0.17953922371784825,7.132979094209052,0.9211849785543755
