State,Abbreviation,FIPS,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base
Alabama,AL,1,1975,,100,48.59,35.21
Alabama,AL,1,1976,8.72,108.72,52.83,38.29
Alabama,AL,1,1977,10.03,119.62,58.13,42.12
Alabama,AL,1,1978,7.95,129.14,62.75,45.48
Alabama,AL,1,1979,11.18,143.57,69.77,50.56
Alabama,AL,1,1980,5.01,150.76,73.26,53.09
Alabama,AL,1,1981,3.25,155.66,75.64,54.81
Alabama,AL,1,1982,-0.34,155.12,75.38,54.63
Alabama,AL,1,1983,5.19,163.17,79.29,57.46
Alabama,AL,1,1984,6.3,173.45,84.29,61.08
Alabama,AL,1,1985,2.4,177.6,86.31,62.54
Alabama,AL,1,1986,4.94,186.38,90.57,65.63
Alabama,AL,1,1987,4.13,194.08,94.31,68.34
Alabama,AL,1,1988,2.54,199.01,96.71,70.08
Alabama,AL,1,1989,1.77,202.52,98.41,71.32
Alabama,AL,1,1990,1.61,205.78,100,72.47
Alabama,AL,1,1991,2.45,210.83,102.45,74.24
Alabama,AL,1,1992,2.73,216.58,105.25,76.27
Alabama,AL,1,1993,3.29,223.71,108.71,78.78
Alabama,AL,1,1994,3.38,231.28,112.39,81.44
Alabama,AL,1,1995,4.21,241.03,117.13,84.88
Alabama,AL,1,1996,3.36,249.12,121.06,87.73
Alabama,AL,1,1997,3.76,258.48,125.61,91.02
Alabama,AL,1,1998,3.81,268.32,130.39,94.49
Alabama,AL,1,1999,2.51,275.06,133.67,96.86
Alabama,AL,1,2000,3.24,283.97,138,100
Alabama,AL,1,2001,4.19,295.87,143.78,104.19
Alabama,AL,1,2002,2.17,302.28,146.89,106.45
Alabama,AL,1,2003,2.33,309.31,150.31,108.92
Alabama,AL,1,2004,3.32,319.59,155.3,112.54
Alabama,AL,1,2005,6.88,341.58,165.99,120.28
Alabama,AL,1,2006,7.9,368.55,179.1,129.78
Alabama,AL,1,2007,4.11,383.71,186.46,135.12
Alabama,AL,1,2008,0.86,387.01,188.07,136.28
Alabama,AL,1,2009,-2.3,378.09,183.73,133.14
Alabama,AL,1,2010,-4.39,361.49,175.66,127.3
Alabama,AL,1,2011,-3.4,349.19,169.69,122.97
Alabama,AL,1,2012,-1.51,343.93,167.13,121.11
Alabama,AL,1,2013,-0.56,342,166.19,120.43
Alabama,AL,1,2014,1.3,346.43,168.35,121.99
Alabama,AL,1,2015,2.34,354.53,172.28,124.84
Alabama,AL,1,2016,2.67,364.01,176.89,128.18
Alabama,AL,1,2017,3.18,375.57,182.51,132.26
Alabama,AL,1,2018,4.37,391.99,190.48,138.04
Alabama,AL,1,2019,4.62,410.1,199.29,144.41
Alabama,AL,1,2020,4.12,427,207.5,150.37
Alabama,AL,1,2021,10.76,472.94,229.83,166.54
Alabama,AL,1,2022,15.9,548.13,266.36,193.02
Alabama,AL,1,2023,7.09,587,285.25,206.71
Alabama,AL,1,2024,4.46,613.18,297.97,215.93
Alabama,AL,1,2025,2.47,628.36,305.35,221.27
Alaska,AK,2,1975,,100,57.52,38.22
Alaska,AK,2,1976,9.16,109.16,62.79,41.72
Alaska,AK,2,1977,7.87,117.76,67.73,45.01
Alaska,AK,2,1978,10.23,129.8,74.66,49.61
Alaska,AK,2,1979,10.84,143.87,82.75,54.98
Alaska,AK,2,1980,-4.09,137.98,79.37,52.73
Alaska,AK,2,1981,19.67,165.13,94.98,63.11
Alaska,AK,2,1982,24.69,205.9,118.43,78.69
Alaska,AK,2,1983,6.09,218.45,125.65,83.49
Alaska,AK,2,1984,6.54,232.73,133.86,88.95
Alaska,AK,2,1985,-5.21,220.6,126.89,84.31
Alaska,AK,2,1986,-3.99,211.79,121.82,80.94
Alaska,AK,2,1987,-14.97,180.08,103.58,68.82
Alaska,AK,2,1988,5.54,190.06,109.32,72.64
Alaska,AK,2,1989,-9.78,171.48,98.63,65.53
Alaska,AK,2,1990,1.39,173.86,100,66.45
Alaska,AK,2,1991,12.61,195.79,112.61,74.83
Alaska,AK,2,1992,4.01,203.64,117.13,77.83
Alaska,AK,2,1993,1.36,206.41,118.72,78.88
Alaska,AK,2,1994,3.96,214.57,123.42,82
Alaska,AK,2,1995,4.87,225.03,129.43,86
Alaska,AK,2,1996,4.01,234.04,134.62,89.45
Alaska,AK,2,1997,2.98,241.01,138.62,92.11
Alaska,AK,2,1998,2.39,246.76,141.93,94.31
Alaska,AK,2,1999,3.66,255.8,147.13,97.76
Alaska,AK,2,2000,2.29,261.66,150.5,100
Alaska,AK,2,2001,4.82,274.27,157.76,104.82
Alaska,AK,2,2002,4.5,286.63,164.86,109.54
Alaska,AK,2,2003,3.3,296.08,170.3,113.15
Alaska,AK,2,2004,10.29,326.55,187.82,124.8
Alaska,AK,2,2005,12.63,367.78,211.54,140.56
Alaska,AK,2,2006,9.98,404.5,232.66,154.59
Alaska,AK,2,2007,3.41,418.31,240.61,159.87
Alaska,AK,2,2008,-0.36,416.81,239.74,159.3
Alaska,AK,2,2009,-1.34,411.24,236.54,157.17
Alaska,AK,2,2010,-0.42,409.5,235.54,156.5
Alaska,AK,2,2011,0.41,411.2,236.51,157.15
Alaska,AK,2,2012,0.23,412.16,237.06,157.52
Alaska,AK,2,2013,2.55,422.66,243.11,161.53
Alaska,AK,2,2014,2.59,433.62,249.41,165.72
Alaska,AK,2,2015,2.99,446.58,256.86,170.67
Alaska,AK,2,2016,1.87,454.94,261.67,173.87
Alaska,AK,2,2017,1.31,460.89,265.09,176.14
Alaska,AK,2,2018,1.5,467.8,269.07,178.78
Alaska,AK,2,2019,2.08,477.51,274.66,182.5
Alaska,AK,2,2020,2.36,488.79,281.14,186.81
Alaska,AK,2,2021,6.64,521.25,299.81,199.21
Alaska,AK,2,2022,12.19,584.81,336.37,223.5
Alaska,AK,2,2023,6.79,624.53,359.22,238.68
