group,risk_mass,expected_births,risk_share_negative_interior,risk_share_positive_interior,risk_share_tied_interior,risk_share_zero_try,risk_share_zero_wait,risk_share_unavailable,birth_share_negative_interior,birth_share_positive_interior,birth_share_boundary,gap_over_kappa_p10,gap_over_kappa_median,gap_over_kappa_p90,age,birth_number,conception_probability,shock_scale
birth_1_age_18,0.0617334561808148,0.01538604392154411,0.7267255950343795,0.21133824205447083,0.0,0.06193616291114979,0.0,0.0,0.5121069095317008,0.48789309046829926,0.0,-25.026269231708895,-1.031282979142851,0.4204379330096305,18.0,1,0.98,0.2092758576051789
birth_2_age_18,0.0,0.0,,,,,,,,,,,,,18.0,2,0.98,0.48206876668272913
birth_3_age_18,0.0,0.0,,,,,,,,,,,,,18.0,3,0.98,0.48206876668272913
birth_1_age_22,0.046347412259270616,0.01290187598203938,0.6216393024017236,0.30664445600483264,0.0,0.07171624159344386,0.0,0.0,0.3618258826411503,0.6381741173588495,0.0,-13.10968291713678,-0.5937138940075846,0.5595948800122318,22.0,1,0.9658168691098954,0.2092758576051789
birth_2_age_22,0.015386043921544105,0.005734512062685163,0.9999999997172241,0.0,0.0,2.827762099423647e-10,0.0,2.1349878355483206e-72,1.0,0.0,0.0,-0.709008251473259,-0.41395518141914367,-0.29299237837027386,22.0,2,0.9658168691098954,0.48206876668272913
birth_3_age_22,0.0,0.0,,,,,,,,,,,,,22.0,3,0.9658168691098954,0.48206876668272913
birth_1_age_26,0.03344553627722773,0.010394319101262298,0.6240617266828331,0.3324477464336051,0.0,0.04349052688356183,0.0,0.0,0.3632964322369905,0.6367035677630096,0.0,-7.809914433085965,-0.6276191244461653,0.7557745410981577,26.0,1,0.9415756781274986,0.2092758576051789
birth_2_age_26,0.022553407840891722,0.008792977429096733,0.9999989368966395,0.0,0.0,1.0631033600831972e-06,0.0,3.401047703799198e-16,1.0,0.0,0.0,-0.6128479806238459,-0.27367138976574845,-0.157316119633394,26.0,2,0.9415756781274986,0.48206876668272913
birth_3_age_26,0.0057345120626783735,0.0014442005381049088,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.1811160159637706,-0.9653958594387102,-0.8941542054994074,26.0,3,0.9415756781274986,0.48206876668272913
birth_1_age_30,0.02305121717596287,0.006501305935240275,0.6720278960078949,0.3006717950236189,0.0,0.027300308968486234,0.0,0.0,0.38690320213898205,0.6130967978610179,0.0,-7.35993846114935,-0.8287951852017992,0.784503317573945,30.0,1,0.9001436879133341,0.2092758576051789
birth_2_age_30,0.02415474951305405,0.009805570406816459,0.8245284769372586,0.17547080644022398,0.0,7.166224960747222e-07,0.0,2.1305269916246353e-14,0.8014615931099802,0.19853840689001997,0.0,-0.5273473926143697,-0.11941058607304887,0.031291734284123685,30.0,2,0.9001436879133341,0.48206876668272913
birth_3_age_30,0.013083288953661563,0.0034796782791163407,0.9999999656636444,0.0,0.0,3.433635563045978e-08,0.0,0.0,0.9999999999999999,0.0,0.0,-1.0474766624568745,-0.8231395701659734,-0.7425455715986421,30.0,3,0.9001436879133341,0.48206876668272913
birth_1_age_34,0.016549911240718775,0.003567367885992828,0.775861909059607,0.2016709693816877,0.0,0.02246712155870528,0.0,0.0,0.5406183595036093,0.4593816404963907,0.0,-8.56045859482513,-1.1410570152392487,0.3155853735942464,34.0,1,0.829329930686918,0.2092758576051789
birth_2_age_34,0.020850485041474517,0.008547425780462404,0.36204052394837644,0.6378884739279811,0.0,7.100212364257457e-05,0.0,0.0,0.3062946441067948,0.693705355893205,0.0,-0.37974475403375,0.06317175927873482,0.2508008684758504,34.0,2,0.829329930686918,0.48206876668272913
birth_3_age_34,0.019409181081359934,0.005561849873218699,0.9999905685175742,0.0,0.0,9.43148242563744e-06,0.0,0.0,0.9999999999999999,0.0,0.0,-0.8529153025228414,-0.5866629737144763,-0.48998309798901263,34.0,3,0.829329930686918,0.48206876668272913
birth_1_age_38,0.012982543354723533,0.0016657974670297707,0.9704480373394299,0.011650676729143713,0.0,0.017901285931108183,0.0,3.1830051455779843e-13,0.9664834297040314,0.03351657029596853,0.0,-6.085681574689062,-1.609881741521413,-0.41789626075664804,38.0,1,0.7082981340823842,0.2092758576051789
birth_2_age_38,0.015870427147002424,0.005819796270317347,0.27201411108512863,0.7278345771837345,0.0,0.00015131173113704574,0.0,0.0,0.215474773240414,0.784525226759586,0.0,-0.28781417442244794,0.1694900807259613,0.36935450183791163,38.0,2,0.7082981340823842,0.48206876668272913
birth_3_age_38,0.022394756988601706,0.006787815552776328,0.9999752075923216,0.0,0.0,2.4792407678186276e-05,0.0,0.0,0.9999999999999999,0.0,0.0,-0.543630474143536,-0.2304824272849435,-0.10977094004229267,38.0,3,0.7082981340823842,0.48206876668272913
birth_1_age_42,0.011316745887687805,0.000885802200007665,0.9846511387009397,0.0,0.0,0.015348861299034944,0.0,2.5504556935787658e-14,1.0,0.0,0.0,-4.266074687884509,-1.7044779054716237,-0.8667462719881766,42.0,1,0.501435846822519,0.2092758576051789
birth_2_age_42,0.011716428343713564,0.0029528609664010424,0.3269052340661963,0.6728377214781573,0.0,0.0002570444556462827,0.0,3.962194390380373e-199,0.2763198827138573,0.7236801172861427,0.0,-0.32096168192803415,0.09807706720630821,0.2557150183147608,42.0,2,0.501435846822519,0.48206876668272913
birth_3_age_42,0.021426737706141865,0.005620578258158522,0.2095621236551496,0.7903861123950828,0.0,5.176394976783686e-05,0.0,0.0,0.1758255754353313,0.8241744245646685,0.0,-0.15443434187952293,0.15724195089848078,0.2803492373792967,42.0,3,0.501435846822519,0.48206876668272913
