age_node,mass,owner_rate,mean_rooms,mean_liquid_wealth,childless_rate,pre_fertility_mass
18.0,0.0617334561808547,0.1268136313263731,5.084509701619671,-0.280980445184444,0.7280000584779527,0.06173345618085492
22.0,0.06173345618084714,0.16777632930299943,5.654898372430331,-0.1903392003335768,0.519461885151619,0.061733456180854886
26.0,0.06173345618083056,0.24817974143848068,6.268927216767782,-0.5240362935025779,0.3673428747076038,0.06173345618084753
30.0,0.061733456180815646,0.316299388069982,6.626400989557555,-0.3302926174612348,0.27457726127476445,0.061733456180834784
34.0,0.06173345618080803,0.3937290486984977,6.925637732550484,-0.3771332347458966,0.22437719722553098,0.061733456180822655
38.0,0.061733456180788716,0.46513181806546794,7.100267643069947,0.04521419532286344,0.19715625227769412,0.06173345618080429
42.0,0.06173345618077384,0.554339138283256,7.199432630285392,0.3452443601834733,0.17940401165323286,0.06173345618078895
46.0,0.06173345618075882,0.6143743866710359,7.179449769420358,0.715780259883111,0.179539961157714,0.061733456180774963
50.0,0.061733456180738076,0.6575992964583379,7.185917539230516,1.1243920815485482,0.1795399611576732,0.06173345618075953
54.0,0.061733456180726676,0.6995748122964578,7.204094339097629,1.5227461586840387,0.17953996115770898,0.061733456180741636
58.0,0.06173345618070458,0.7436421170878441,7.222459765720867,1.8852078710819202,0.17953996115767515,0.06173345618072389
62.0,0.0617334561806791,0.7821304043456845,7.235709666475611,2.0768709763497064,0.1795399611576543,0.06173345618069994
66.0,0.06173345618064883,0.8366693702516238,7.397414077825989,2.213490008853585,0.17953996115762857,0.06173345618067827
70.0,0.057975512682419926,0.8468364270088088,7.4541105104915735,1.1077844609887175,0.17953996115766022,0.057975512682445954
74.0,0.05325037124755721,0.8644208008828212,7.453064976732384,-0.08167498859624651,0.17953996115762666,0.053250371247580926
78.0,0.04712403280192178,0.8891633433416133,7.4093830608655695,-1.3146297246556322,0.1795399611575596,0.04712403280194536
82.0,0.03911515291785453,0.9456526806963904,7.25472218091431,-2.628102346253166,0.1795399611575529,0.039115152917863646
