case,annual_property_tax_rate,purchase_grant,lump_sum_transfer_period_units,property_tax_revenue,grant_outlays,transfer_outlays,government_budget_residual,price,tfr,childless_rate,fixed_theta_loss,market_residual,strict_converged,fiscal_root_evaluations
rebated_tax1_baseline,0.01,False,0.21685791015625,0.21687250525179588,0.0,0.2168579101562493,1.4595095546576786e-05,0.8716488186271888,1.982599081715538,0.10707357283178165,348.63743173381096,1.7744089799821392e-05,True,15
rebated_tax2,0.02,False,0.366943359375,0.36691956484839566,0.0,0.36694335937500017,-2.3794526604503652e-05,0.7147639042607051,1.9867389184232513,0.10654088314913264,431.6698618796991,1.7482631202262312e-06,True,13
rebated_tax2_grant0p4_Hge6,0.02,True,0.3221435546875,0.36780274899109766,0.045677291812038896,0.32214355468749967,-1.8097508440895194e-05,0.7153953138490876,1.99264901933111,0.1054020017941273,705.5390996916195,2.2348095363427987e-05,True,14
