design,specification,outcome,N,instrument_ones,instrument_share,treatment_share,outcome_mean
same_sex,mother_secondbirth_post5,moved_for_size_post5,1835,916,.50908351,.32591346,.24878901
same_sex,mother_secondbirth_post5,moved_to_own_post5,912,446,.48166773,.36263812,.11285104
same_sex,mother_secondbirth_post5,own_post5,961,465,.47901043,.36457846,.50117946
same_sex,mother_secondbirth_post5,rooms_change_post5,1836,917,.50892287,.32588151,.46897003
twins,mother_firstbirth_post5,moved_for_size_post5,1974,34,.018978182,.64465445,.2737909
twins,mother_firstbirth_post5,moved_to_own_post5,923,16,.014874943,.61822951,.12223915
twins,mother_firstbirth_post5,own_post5,974,17,.01423321,.6035707,.56350231
twins,mother_firstbirth_post5,rooms_change_post5,1974,34,.018978182,.64465445,.55120587
