calendar_year,years_since_start,status,period_tfr_topcode_adjusted,adult_population,asset_price,renter_price
2007.0,0.0,complete,1.6483261854055653,0.9999999999997677,0.6805230186323783,0.11836195495636007
2011.0,4.0,complete,1.6473325964800203,1.0000000000000286,0.6749315330262118,0.1244476019900556
2015.0,8.0,complete,1.648797560356345,1.000000000000272,0.6623278270906522,0.12110426708134679
2019.0,12.0,complete,1.642419314192701,1.000000000000478,0.6509788774338511,0.12240510871453256
2023.0,16.0,complete,1.63296748962731,1.0000000000006684,0.6364484350205544,0.12900059095884236
2027.0,20.0,complete,1.6272081697495073,0.9867221973144789,0.6129146494002041,0.13203654743077514
2031.0,24.0,complete,1.6193324652050776,0.9734151862099854,0.5824450891131931,0.14019704825484813
2035.0,28.0,complete,1.6178171173052571,0.9601512404784653,0.538765872396226,0.14913569826569434
2039.0,32.0,complete,1.6234746319288147,0.9466997941850085,0.47890985848579376,0.1691732092735564
2043.0,36.0,complete,1.6801674493623833,0.9329704937021939,0.389097505552429,0.2324916745267594
