moment,target,weight,current_model,current_gap,current_contribution,proposal_model,proposal_gap,proposal_contribution,model_change
initial_normalization,2.1,,2.100454012873796,0.0004540128737957616,,2.2520930474710092,0.15209304747100916,,0.1516390345972134
cps_childlessness,0.19827875100684264,35532.3042455214,0.16908877785586945,-0.029189973150973186,30.275460884503275,0.12538105737707375,-0.07289769362976889,188.8212847898615,-0.0437077204787957
cps_exactly_one,0.21365532522014702,26952.820824310795,0.24628758412719876,0.03263225890705174,28.701097256271744,0.22390445933564782,0.010249134115500796,2.8312523284520785,-0.02238312479155094
nchs_mean_age,25.976263860992496,139.82806784479274,26.657849922214723,0.6815860612222266,64.95846551316441,25.94241186790377,-0.033851993088727994,0.1602370141193394,-0.7154380543109546
nchs_share30,0.2492780130410667,13866.065434728798,0.2656150544636778,0.01633704142261108,3.70083792306864,0.2212373937844773,-0.028040619256589405,10.902559017889216,-0.04437766067920049
wealth_earnings,6.14586139445743,7.595098472533724,5.241228710183834,-0.9046326842735963,6.215527014810313,7.2629374398270565,1.1170760453696262,9.477611158024736,2.0217087296432226
bequest_wealth,0.0088,5165289.256198346,0.006828978891413569,-0.0019710211085864314,20.066757285605807,0.006586383754859648,-0.0022136162451403523,25.310417772465243,-0.0002425951365539209
old_dispersion,3.51593508651872,10.616361531535473,4.099377682336716,0.5834425958179956,3.613865335156428,2.9829013104757407,-0.5330337760429793,3.0163737881202253,-1.116476371860975
mean_rooms,5.561097376118652,128.02070205233477,6.4766590755736555,0.9155616994550035,107.31376642728786,6.494255223909881,0.9331578477912288,111.47832382549335,0.017596148336225248
ownership_30_55,0.6483340343191493,2339.3623724673616,0.3949339104018528,-0.2534001239172965,150.21425425643136,0.4188072901916647,-0.22952674412748458,123.2435196420087,0.02387337978981191
first_birth_rooms,0.7202462623815278,137.5652749002964,0.9872510006285884,0.2670047382470606,9.807238956406247,1.02272279658433,0.3024765342028022,12.586129524395117,0.03547179595574157
family_rooms,0.3470669317962507,280.52808370152104,0.28295150031248184,-0.06411543148376886,1.153191635653912,0.28757152780042006,-0.05949540399583064,0.9929861265691405,0.004620027487938216
recent_parent_ownership,0.16289550916123285,27055.822957508266,0.1250110668255065,-0.037884442335726354,38.83135505691598,0.12242589349509883,-0.04046961566613402,44.31175065841968,-0.0025851733304076696
