moment,current_179,proposal_087510,difference,percent_change
payroll_tax_rate,0.179,0.08751017424959717,-0.09148982575040282,-51.111634497431744
pension_period,2.0463613896121235,1.0004326356570097,-1.0459287539551139,-51.111634497431744
pension_annual_over_mean_working_gross,0.511590347402549,0.2501081589140539,-0.26148218848849514,-51.111634497424504
payroll_base_period,2.963205896679909,2.963205896679264,-6.448175327022909e-13,-2.1760371282653068e-11
payroll_revenue_period,0.5304138555057036,0.2593106643558362,-0.2711031911498674,-51.11163449744238
pension_outlays_period,0.5304138555036978,0.25931066435497674,-0.27110319114872106,-51.111634497419544
pension_budget_residual,2.0058399385902703e-12,8.594791545135649e-13,-1.1463607840767054e-12,-57.1511595727016
mean_working_annual_gross,1.000000000000942,1.0000000000007936,-1.4832579608992091e-13,-1.483257960899209e-11
mean_working_annual_disposable,0.8210000000007732,0.9124898257511269,0.09148982575035369,11.143705937913229
aggregate_wealth,3.8827099549661925,5.3803947622270325,1.49768480726084,38.5731827674952
aggregate_wealth_over_annual_gross,5.241228710183834,7.2629374398270565,2.0217087296432226,38.573182767525374
ownership_30_55,0.3949339104018528,0.4188072901916647,0.02387337978981191,6.044905023607705
mean_rooms_capped9_18_85,6.4766590755736555,6.494255223909881,0.017596148336225248,0.27168557323926645
first_birth_rooms,0.9872510006285884,1.02272279658433,0.03547179595574157,3.5929865792140525
house_price,0.6238478390943725,0.6283487980311943,0.004500958936821786,0.7214834539389869
childlessness_40_44,0.16908877785586945,0.12538105737707375,-0.0437077204787957,-25.848977698598052
exactly_one_among_mothers_40_44,0.24628758412719876,0.22390445933564782,-0.02238312479155094,-9.08820672827375
first_birth_mean_age,26.657849922214723,25.94241186790377,-0.7154380543109546,-2.6837800362690234
first_birth_share_30plus,0.2656150544636778,0.2212373937844773,-0.04437766067920049,-16.707509583297742
model_tfr,2.100454012873796,2.2520930474710092,0.1516390345972134,7.2193456113682775
mean_completed_fertility_legacy,1.8833438158205407,2.012140964649001,0.1287971488284605,6.8387485995139885
