age_node,mass,owner_rate,mean_rooms,mean_liquid_wealth,childless_rate,pre_fertility_mass
18.0,0.014337122049139197,0.14311147210425032,3.133181037326638,-0.22663294809360515,0.8509706085120554,0.014337122049139197
22.0,0.04474122812786888,0.4136347544197365,3.6530061794641457,-0.19180273704591802,0.6969630700264517,0.04474122812786887
26.0,0.06510271539527156,0.47576140226648345,4.195554858359314,-0.06938916490765212,0.5517979061851288,0.06510271539527154
30.0,0.07781168019051281,0.49507345217025983,4.645947138767386,0.5478370776020915,0.4248399187670823,0.07781168019051282
34.0,0.08156435185026326,0.5000002975190141,4.9437588254615585,1.1192609094704982,0.31950653363282244,0.08156435185026387
38.0,0.08281187458056301,0.50252106124654,5.191214886911899,2.08597413381085,0.2442663179119745,0.08281187458056471
42.0,0.0814798300737829,0.5033634275668842,5.350786799825826,2.9817092267135306,0.19116019885322164,0.08147983007378437
46.0,0.07516298442006587,0.5035577515599204,5.434195006285079,3.812435024384791,0.17072533276853716,0.07516298442006586
50.0,0.0806601971838555,0.503508727274085,5.504372987344934,4.557324423240305,0.1599071305505814,0.08066019718385614
54.0,0.07858640289691973,0.503414803635701,5.577548411495796,5.25609499580563,0.1552213722113856,0.07858640289692319
58.0,0.08646102535792835,0.5033073066023004,5.654260785506469,5.905192093247324,0.15373103414826358,0.08646102535793097
62.0,0.0880697779565586,0.5036009983746502,5.723081731652872,6.351734341442793,0.15373103414826278,0.0880697779565633
66.0,0.08000900833913517,0.5026567949769707,5.825992374408951,6.760821970087099,0.15373103414826336,0.08000900833913668
70.0,0.06962757948607215,0.5029290370885574,5.913353922369222,5.624018495586947,0.15373103414825653,0.06962757948607555
74.0,0.05717549494547327,0.5031270044016648,5.961758855628674,4.402115624951878,0.1537310341482536,0.057175494945479285
78.0,0.039527688325372394,0.5032132566342201,6.027453554324789,3.071722932838537,0.15373103414821232,0.03952768832538074
82.0,0.026118710068940575,0.5049912401044023,6.114607384002084,1.6365347735764415,0.1537310341482655,0.026118710068945283
