moment,model,source
Initial model completed fertility,1.9184330488369687,exact_stationary_key
"Childless women, ages 40–44",0.22252486062000043,approximate_stationary_analogue
"Exactly one child among mothers, ages 40–44",nan,unavailable_in_extract_moments
Period mean first-birth age,27.066861699698155,approximate_stationary_analogue
First births at age 30+,0.28997194660066317,approximate_stationary_analogue
Wealth / annual gross labor earnings,5.115431378781952,exact_stationary_key
Annual bequests / aggregate wealth,0.007876272059614099,exact_stationary_key
"Old wealth/income p90 / median, ages 76–84",4.081855122016509,exact_stationary_key
"Mean occupied rooms, capped at 9",5.8522202680969375,approximate_stationary_analogue
"Ownership, heads 30–55",0.4479749000048639,exact_stationary_key
"First-birth room response, −1 to +3",1.0230823611481807,approximate_stationary_analogue
Rooms: 3+ versus 1–2 resident children (model dependent proxy),0.27283279601528676,approximate_stationary_analogue
Recent-parent ownership gap,0.451556709258845,exact_stationary_key
