metric,component,baseline,reform,contribution_level,contribution_percent_of_baseline,contribution_percentage_points,total_change_level,add_up_gap
births_per_household,tax_rate,0.08767872949312501,0.08812524522598329,-0.0012175682739518194,-1.3886700696858185,,0.0004465157328582825,-5.421010862427522e-20
births_per_household,asset_price,0.08767872949312501,0.08812524522598329,0.0002677379954956228,0.3053625400863233,,0.0004465157328582825,-5.421010862427522e-20
births_per_household,equal_rebate,0.08767872949312501,0.08812524522598329,0.001396346011314479,1.5925709911478223,,0.0004465157328582825,-5.421010862427522e-20
rooms_per_household,tax_rate,6.325248369611199,6.132079177662121,-0.4266374530924687,-6.744991313577356,,-0.1931691919490781,-5.551115123125783e-17
rooms_per_household,asset_price,6.325248369611199,6.132079177662121,0.09912813474531537,1.5671816971103159,,-0.1931691919490781,-5.551115123125783e-17
rooms_per_household,equal_rebate,6.325248369611199,6.132079177662121,0.13434012639807516,2.123871167549628,,-0.1931691919490781,-5.551115123125783e-17
ownership,tax_rate,0.6555015795511123,0.6557178731580205,-0.018252608080116507,-2.784525415272973,-1.8252608080116508,0.0002162936069082244,2.6020852139652106e-18
ownership,asset_price,0.6555015795511123,0.6557178731580205,0.011323440973990037,1.7274467868932266,1.1323440973990038,0.0002162936069082244,2.6020852139652106e-18
ownership,equal_rebate,0.6555015795511123,0.6557178731580205,0.0071454607130346974,1.0900752852385056,0.7145460713034697,0.0002162936069082244,2.6020852139652106e-18
young_ownership_whole_nodes,tax_rate,0.3336578367888509,0.34601742748878717,-0.008741468697667204,-2.6198901191099786,-0.8741468697667204,0.012359590699936251,0.0
young_ownership_whole_nodes,asset_price,0.3336578367888509,0.34601742748878717,0.013893957281985836,4.164133357604415,1.3893957281985836,0.012359590699936251,0.0
young_ownership_whole_nodes,equal_rebate,0.3336578367888509,0.34601742748878717,0.00720710211561762,2.160027825205406,0.720710211561762,0.012359590699936251,0.0
young_mean_rooms_whole_nodes,tax_rate,5.420913952040736,5.18879543186262,-0.5878082738240741,-10.843342636028932,,-0.23211852017811552,2.7755575615628914e-17
young_mean_rooms_whole_nodes,asset_price,5.420913952040736,5.18879543186262,0.15630580020696513,2.883384639376592,,-0.23211852017811552,2.7755575615628914e-17
young_mean_rooms_whole_nodes,equal_rebate,5.420913952040736,5.18879543186262,0.19938395343899346,3.678050513307524,,-0.23211852017811552,2.7755575615628914e-17
all_ages:childless_parity_zero:owner_rate,tax_rate,0.45570950775141306,0.4681733614239862,-0.004571855481665711,-1.003238994118076,-0.45718554816657114,0.012463853672573133,0.0
all_ages:childless_parity_zero:owner_rate,asset_price,0.45570950775141306,0.4681733614239862,0.010342132444626598,2.2694572460551274,1.0342132444626597,0.012463853672573133,0.0
all_ages:childless_parity_zero:owner_rate,equal_rebate,0.45570950775141306,0.4681733614239862,0.006693576709612245,1.46882533626302,0.6693576709612246,0.012463853672573133,0.0
all_ages:childless_parity_zero:mean_rooms,tax_rate,5.1662901117715005,4.959526127582801,-0.5229791575005378,-10.122915016114153,,-0.2067639841886999,2.7755575615628914e-17
all_ages:childless_parity_zero:mean_rooms,asset_price,5.1662901117715005,4.959526127582801,0.129078929098994,2.498483947018092,,-0.2067639841886999,2.7755575615628914e-17
all_ages:childless_parity_zero:mean_rooms,equal_rebate,5.1662901117715005,4.959526127582801,0.18713624421284394,3.6222558192473566,,-0.2067639841886999,2.7755575615628914e-17
all_ages:dependent_children:owner_rate,tax_rate,0.6193737626221466,0.6175966290601805,-0.02248202289030767,-3.629799040102864,-2.248202289030767,-0.001777133561966071,2.6020852139652106e-18
all_ages:dependent_children:owner_rate,asset_price,0.6193737626221466,0.6175966290601805,0.013187874477623578,2.1292271764616117,1.3187874477623578,-0.001777133561966071,2.6020852139652106e-18
all_ages:dependent_children:owner_rate,equal_rebate,0.6193737626221466,0.6175966290601805,0.007517014850718022,1.2136476073662537,0.7517014850718022,-0.001777133561966071,2.6020852139652106e-18
all_ages:dependent_children:mean_rooms,tax_rate,6.607689859759585,6.415638575654729,-0.4299792648192205,-6.507255545357344,,-0.19205128410485628,5.551115123125783e-17
all_ages:dependent_children:mean_rooms,asset_price,6.607689859759585,6.415638575654729,0.10587170807645856,1.602249959115221,,-0.19205128410485628,5.551115123125783e-17
all_ages:dependent_children:mean_rooms,equal_rebate,6.607689859759585,6.415638575654729,0.1320562726379057,1.9985240748377142,,-0.19205128410485628,5.551115123125783e-17
all_ages:no_dependent_children:owner_rate,tax_rate,0.6761918402430224,0.677581683548809,-0.01590778919016918,-2.3525556274757684,-1.5907789190169181,0.00138984330578662,0.0
all_ages:no_dependent_children:owner_rate,asset_price,0.6761918402430224,0.677581683548809,0.010272272278151287,1.51913579354336,1.0272272278151287,0.00138984330578662,0.0
all_ages:no_dependent_children:owner_rate,equal_rebate,0.6761918402430224,0.677581683548809,0.007025360217804514,1.0389596264988363,0.7025360217804514,0.00138984330578662,0.0
all_ages:no_dependent_children:mean_rooms,tax_rate,6.1634952231983755,5.969448364873626,-0.4240866309184244,-6.880619122121367,,-0.19404685832474922,0.0
all_ages:no_dependent_children:mean_rooms,asset_price,6.1634952231983755,5.969448364873626,0.09512095801509327,1.5432957205365185,,-0.19404685832474922,0.0
all_ages:no_dependent_children:mean_rooms,equal_rebate,6.1634952231983755,5.969448364873626,0.13491881457858193,2.188998444758582,,-0.19404685832474922,0.0
young_whole_nodes_25_34:childless_parity_zero:owner_rate,tax_rate,0.26667156346275983,0.29143781550441245,0.010467986967267567,3.925423030239743,1.0467986967267566,0.024766252041652614,0.0
young_whole_nodes_25_34:childless_parity_zero:owner_rate,asset_price,0.26667156346275983,0.29143781550441245,0.010376976406756647,3.891294696746236,1.0376976406756646,0.024766252041652614,0.0
young_whole_nodes_25_34:childless_parity_zero:owner_rate,equal_rebate,0.26667156346275983,0.29143781550441245,0.003921288667628401,1.4704562483941042,0.3921288667628401,0.024766252041652614,0.0
young_whole_nodes_25_34:childless_parity_zero:mean_rooms,tax_rate,4.705712616175566,4.456787043379084,-0.6471970006856756,-13.75343233798384,,-0.2489255727964821,0.0
young_whole_nodes_25_34:childless_parity_zero:mean_rooms,asset_price,4.705712616175566,4.456787043379084,0.1657613812416289,3.522556406692484,,-0.2489255727964821,0.0
young_whole_nodes_25_34:childless_parity_zero:mean_rooms,equal_rebate,4.705712616175566,4.456787043379084,0.23251004664756467,4.941016709102193,,-0.2489255727964821,0.0
young_whole_nodes_25_34:dependent_children:owner_rate,tax_rate,0.38666459882571036,0.3877292979912376,-0.025655489996018892,-6.635075999699456,-2.5655489996018894,0.0010646991655272608,-3.469446951953614e-18
young_whole_nodes_25_34:dependent_children:owner_rate,asset_price,0.38666459882571036,0.3877292979912376,0.017072121515799222,4.41522745233124,1.7072121515799221,0.0010646991655272608,-3.469446951953614e-18
young_whole_nodes_25_34:dependent_children:owner_rate,equal_rebate,0.38666459882571036,0.3877292979912376,0.009648067645746928,2.4952032523918253,0.9648067645746928,0.0010646991655272608,-3.469446951953614e-18
young_whole_nodes_25_34:dependent_children:mean_rooms,tax_rate,6.042318447612305,5.8322426421686195,-0.5179411817620566,-8.571894815751184,,-0.21007580544368576,0.0
young_whole_nodes_25_34:dependent_children:mean_rooms,asset_price,6.042318447612305,5.8322426421686195,0.14555975369518076,2.4090050029173895,,-0.21007580544368576,0.0
young_whole_nodes_25_34:dependent_children:mean_rooms,equal_rebate,6.042318447612305,5.8322426421686195,0.1623056226231901,2.6861481073929014,,-0.21007580544368576,0.0
young_whole_nodes_25_34:no_dependent_children:owner_rate,tax_rate,0.2853925146028811,0.3078920885360026,0.0070762131933717245,2.47946699065256,0.7076213193371724,0.022499573933121464,0.0
young_whole_nodes_25_34:no_dependent_children:owner_rate,asset_price,0.2853925146028811,0.3078920885360026,0.01090452356229026,3.820886324739008,1.090452356229026,0.022499573933121464,0.0
