geography_scope,sample,age_kind,age_lower,age_upper,tenure,current_children,young_child,n_records,hhwt,rooms_sum,rooms_capped9_sum,owner_hhwt
active42,DUE,annual,18,18,owner,0,without_young_child,72,5365.0,29275.0,29275.0,5365.0
active42,DUE,annual,18,18,owner,1,with_young_child,17,1510.0,9367.0,9367.0,1510.0
active42,DUE,annual,18,18,owner,2,with_young_child,5,411.0,1954.0,1954.0,411.0
active42,DUE,annual,18,18,owner,3+,with_young_child,2,114.0,588.0,588.0,114.0
active42,DUE,annual,18,18,renter,0,without_young_child,507,65762.0,235850.0,235850.0,0.0
active42,DUE,annual,18,18,renter,1,with_young_child,131,17370.0,68826.0,68826.0,0.0
active42,DUE,annual,18,18,renter,2,with_young_child,50,6215.0,27637.0,27637.0,0.0
active42,DUE,annual,18,18,renter,3+,with_young_child,10,1164.0,5278.0,5278.0,0.0
active42,DUE,annual,19,19,owner,0,without_young_child,169,20431.0,112497.0,112497.0,20431.0
active42,DUE,annual,19,19,owner,1,with_young_child,34,3021.0,17635.0,17635.0,3021.0
active42,DUE,annual,19,19,owner,2,with_young_child,13,1453.0,9136.0,9136.0,1453.0
active42,DUE,annual,19,19,owner,3+,with_young_child,5,746.0,4728.0,4728.0,746.0
active42,DUE,annual,19,19,renter,0,without_young_child,1505,198517.0,761911.0,761911.0,0.0
active42,DUE,annual,19,19,renter,1,with_young_child,236,32141.0,129355.0,129355.0,0.0
active42,DUE,annual,19,19,renter,2,with_young_child,73,10116.0,43409.0,43409.0,0.0
active42,DUE,annual,19,19,renter,3+,with_young_child,24,2868.0,10774.0,10774.0,0.0
active42,DUE,annual,20,20,owner,0,without_young_child,291,34559.0,192184.0,192184.0,34559.0
active42,DUE,annual,20,20,owner,1,with_young_child,38,4468.0,26095.0,26095.0,4468.0
active42,DUE,annual,20,20,owner,2,with_young_child,13,1175.0,5903.0,5903.0,1175.0
active42,DUE,annual,20,20,owner,3+,with_young_child,1,66.0,528.0,528.0,66.0
active42,DUE,annual,20,20,renter,0,without_young_child,2458,344943.0,1329956.0,1329956.0,0.0
active42,DUE,annual,20,20,renter,1,with_young_child,417,65156.0,264903.0,264903.0,0.0
active42,DUE,annual,20,20,renter,2,with_young_child,131,20147.0,83476.0,83476.0,0.0
active42,DUE,annual,20,20,renter,3+,with_young_child,21,3627.0,17125.0,17125.0,0.0
active42,DUE,annual,21,21,owner,0,without_young_child,463,52942.0,293044.0,293044.0,52942.0
active42,DUE,annual,21,21,owner,1,with_young_child,87,8992.0,50750.0,50750.0,8992.0
active42,DUE,annual,21,21,owner,2,with_young_child,24,2251.0,14217.0,14217.0,2251.0
active42,DUE,annual,21,21,owner,3+,with_young_child,6,2089.0,12944.0,12944.0,2089.0
active42,DUE,annual,21,21,renter,0,without_young_child,3191,426640.0,1632117.0,1632117.0,0.0
active42,DUE,annual,21,21,renter,1,with_young_child,661,96832.0,389216.0,389216.0,0.0
active42,DUE,annual,21,21,renter,2,with_young_child,222,32752.0,135790.0,135790.0,0.0
active42,DUE,annual,21,21,renter,3+,with_young_child,72,12232.0,57636.0,57636.0,0.0
active42,DUE,annual,22,22,owner,0,without_young_child,703,76682.0,409516.0,409516.0,76682.0
active42,DUE,annual,22,22,owner,1,with_young_child,162,15373.0,85365.0,85365.0,15373.0
active42,DUE,annual,22,22,owner,2,with_young_child,72,7155.0,40687.0,40687.0,7155.0
active42,DUE,annual,22,22,owner,3+,with_young_child,29,3159.0,18395.0,18395.0,3159.0
active42,DUE,annual,22,22,renter,0,without_young_child,4179,538840.0,2019571.0,2019571.0,0.0
active42,DUE,annual,22,22,renter,1,with_young_child,762,113565.0,463027.0,463027.0,0.0
active42,DUE,annual,22,22,renter,2,with_young_child,358,51694.0,224716.0,224716.0,0.0
