case_id,complete_12_moment_loss,normalization,normalization_gap,scored_moments,target_restrictions,parameter_rows,recent_parent_model,recent_parent_contribution,numerical_gates_verified,checkpoint_sha256,dominant_restriction,dominant_contribution,dominant_loss_share,second_restriction,second_contribution,third_restriction,third_contribution,calibrated_estimate,inference_claim
baseline,1499.85182523238,2.100032862890971,3.286289097070849e-05,12,13,17,-0.05324358594536549,1263.9427590405123,True,11d668691a3f80ec4c5b97d352c3fce64cf2b354149e6e31e1d395994e5635ee,recent_parent_ownership,1263.9427590405123,0.8427117517723346,bequest_wealth,65.75864521617135,mean_rooms,60.12050312847617,False,False
beta_annual_minus,1501.429851438075,2.0996045062747593,-0.00039549372524083637,12,13,17,-0.05331990468478798,1264.8355132966333,True,832c747afc059f6222907e35e17acc591264e240f5ee82813cf69bfb03a89da2,recent_parent_ownership,1264.8355132966333,0.8424206512779596,bequest_wealth,65.93164260588078,mean_rooms,60.11423421901004,False,False
beta_annual_plus,1497.8628492127948,2.1004616366197633,0.0004616366197631727,12,13,17,-0.05311361379748908,1262.4231083527225,True,94474cc0e55a6f845dd9251909299a43b890945fc070c907738e1469bdd166a1,recent_parent_ownership,1262.4231083527225,0.8428162224706967,bequest_wealth,65.5829652840715,mean_rooms,60.126852168199605,False,False
kappa_fert_minus,1479.8397114302895,2.1000279454616346,2.7945461634537594e-05,12,13,17,-0.052432025905689905,1254.468862975111,True,d809556b285fe29c82851a6f5e2103843c0df9e9032ff79da65310cdf0277e75,recent_parent_ownership,1254.468862975111,0.8477059057718124,bequest_wealth,65.84044652776291,mean_rooms,60.111061428892874,False,False
kappa_fert_plus,1519.962271793818,2.1000257500926116,2.5750092611520614e-05,12,13,17,-0.054004826882233625,1272.8616391713695,True,3c20de91054030b5b887e9590b67f9c9a60cc147776ea0fb0a9f26583d579fcc,recent_parent_ownership,1272.8616391713695,0.8374297591407798,bequest_wealth,65.67940424721463,nchs_mean_age,60.7740929032403,False,False
kappa_fert_continuation_minus,1497.7191610038344,2.1000337970198246,3.379701982453298e-05,12,13,17,-0.05262547081104513,1256.7238427204202,True,a8abc58a859214ce73c9e94ef7d619882426ca8a54a98cab538e9d3f05dc72c0,recent_parent_ownership,1256.7238427204202,0.8390917839884688,bequest_wealth,65.69135258337631,mean_rooms,60.102636499066925,False,False
kappa_fert_continuation_plus,1502.1813636501658,2.100033600317621,3.360031762111859e-05,12,13,17,-0.05379100550218158,1270.3532900698858,True,c1d0036e42cf21f70f56a50ca35c5a2d44a7247cdceccad0d2a01dc5c1d3e348,recent_parent_ownership,1270.3532900698858,0.8456723807190907,bequest_wealth,65.81973428295018,mean_rooms,60.13948312418904,False,False
chi_minus,1541.6258544829539,2.1000000836140513,8.361405123835652e-08,12,13,17,-0.05340356254167894,1265.8144804950732,True,45f47dd70feef413d38303d639adef7f234c1ce5638763011e713e07bab33cf4,recent_parent_ownership,1265.8144804950732,0.8210905887535306,bequest_wealth,65.17635493361162,mean_rooms,61.86110437780358,False,False
chi_plus,1472.8939901699948,2.100000086893969,8.689396890915191e-08,12,13,17,-0.05180213030054415,1247.1402260330829,True,2863ec78990fb147a65518a0656252c35d33907c4c670e65ab5708e35093c7e8,recent_parent_ownership,1247.1402260330829,0.8467277579760805,bequest_wealth,66.23999112566541,mean_rooms,58.294240141576296,False,False
H0_minus,1511.4493163445532,2.1000120442328085,1.2044232808428035e-05,12,13,17,-0.055018214549689304,1284.7833872881079,True,f1c878b0eca8552f5e46e61402d6d6b41a83ae10eba9fc8f79a408fef98a3a17,recent_parent_ownership,1284.7833872881079,0.8500340523461033,bequest_wealth,65.11855764644007,nchs_mean_age,52.065735271938415,False,False
H0_plus,1488.0465598965966,2.1000117650126295,1.1765012629449956e-05,12,13,17,-0.05131455599770718,1241.48219396531,True,af543242386969ff8a08c3ea5d817acbece414abc6b5ad4e6a21f82975117d7f,recent_parent_ownership,1241.48219396531,0.8343033258660802,mean_rooms,71.33533954988155,bequest_wealth,66.26970890604791,False,False
theta0_minus,1496.7361264142917,2.1000474534018934,4.745340189327152e-05,12,13,17,-0.05316302770863257,1263.0007543110735,True,b1ef262a7bbe2a2f2f2c1d8e8828c8e67749f274ebf017a93b7dd40c0b89f4ab,recent_parent_ownership,1263.0007543110735,0.8438366202443617,bequest_wealth,63.25323985673958,mean_rooms,60.25374660577716,False,False
theta0_plus,1502.6308263121944,2.1000187207922156,1.8720792215543014e-05,12,13,17,-0.053262451905609964,1264.1634181907957,True,96a5e5c817aadfc04a686bbd32d40f7af33587134adb331632905835aa631979,recent_parent_ownership,1264.1634181907957,0.8413000692214913,bequest_wealth,68.37651852234022,mean_rooms,59.986307403538376,False,False
theta1_minus,1500.1601918702447,2.100031829425809,3.182942580881587e-05,12,13,17,-0.0532564221228331,1264.0928908370875,True,c6c65a01576ed62dcaffeee4cc557b7e88f67907990cf6f77e63f986c13b0d57,recent_parent_ownership,1264.0928908370875,0.8426386046553782,bequest_wealth,65.95211061130793,mean_rooms,60.101698614385434,False,False
theta1_plus,1499.5432684168884,2.100033910375627,3.3910375627055345e-05,12,13,17,-0.05323083056806521,1263.7935811136745,True,98797979f66cdd5aa5d635fe248f75ab19a7c9006de84211c84ffc26c635cf92,recent_parent_ownership,1263.7935811136745,0.8427856719652366,bequest_wealth,65.56409275778364,mean_rooms,60.1392994334188,False,False
first_birth_fixed_cost_minus,1510.533488039284,2.100033217662955,3.3217662954942995e-05,12,13,17,-0.05362084532409844,1268.3589004545095,True,11a0c6c991355e4ec8cf973d7456c1734751cac01dd0a522b5ff12eb409d8a1c,recent_parent_ownership,1268.3589004545095,0.8396761213820395,bequest_wealth,65.74983420258648,mean_rooms,60.1390884887331,False,False
first_birth_fixed_cost_plus,1489.5864174432081,2.100034329797534,3.432979753403842e-05,12,13,17,-0.0528684942196771,1259.5596270177482,True,9bc7db616236a8b736b2437aba0ebd74e2761cfc4b6adea63d8efd9aa059d3e9,recent_parent_ownership,1259.5596270177482,0.8455767401395294,bequest_wealth,65.7676838825954,mean_rooms,60.10208709018572,False,False
h_P_minus,1506.9435620175861,2.100008328156058,8.328156058112768e-06,12,13,17,-0.05383044043028751,1270.8157170858917,True,e29636f07caa08c7965459bde490874752d710a814c60f658cb3a6e6e0943e2f,recent_parent_ownership,1270.8157170858917,0.8433067761240159,bequest_wealth,65.7915101116203,mean_rooms,59.84607847432791,False,False
h_P_plus,1492.0441689175113,2.1000082327651404,8.232765140281373e-06,12,13,17,-0.05259179538951542,1256.331144071555,True,338d5fd13370e38d25a4afb638a498cbd9c0378b674e52d6764eef730e190ea4,recent_parent_ownership,1256.331144071555,0.8420200757079679,bequest_wealth,65.71876959947842,mean_rooms,60.39705219688218,False,False
