restriction_id,parameter,cps_projection,coordinate,parameter_minus,parameter_base,parameter_plus,coordinate_minus,coordinate_base,coordinate_plus,actual_minus_coordinate_step,actual_plus_coordinate_step,model_minus,model_base,model_plus,target,central_derivative,minus_side_derivative,plus_side_derivative,signed_slope_asymmetry,relative_slope_asymmetry,working_weight,weighted_central_derivative,weighted_minus_side_derivative,weighted_plus_side_derivative
cps_childlessness,beta_annual,uniform_birth_time,log(-log(beta_annual)),0.9951823386077664,0.9952765791045264,0.9953708285255517,-5.3330529768866874,-5.3528556041828725,-5.3730583115004,0.019802627296185094,-0.02020270731752749,0.18075120492570726,0.18058501851824132,0.1804187097081555,0.19827875100684264,0.008311272003154332,0.008392139334862396,0.008232006110465663,-0.00016013322439673364,0.019266993588461446,35532.3042455214,1.5666759684808285,1.581919472143578,1.5517343363036613
cps_exactly_one,beta_annual,uniform_birth_time,log(-log(beta_annual)),0.9951823386077664,0.9952765791045264,0.9953708285255517,-5.3330529768866874,-5.3528556041828725,-5.3730583115004,0.019802627296185094,-0.02020270731752749,0.23328610803033403,0.23323606686283196,0.23318597612415662,0.21365532522014702,0.0025029638458040067,0.002526996380511019,0.002479407234291216,-4.7589146219802984e-05,0.019013117708264905,26952.820824310795,0.41091944093745014,0.4148649376902981,0.4070520779911399
nchs_mean_age,beta_annual,uniform_birth_time,log(-log(beta_annual)),0.9951823386077664,0.9952765791045264,0.9953708285255517,-5.3330529768866874,-5.3528556041828725,-5.3730583115004,0.019802627296185094,-0.02020270731752749,26.587284908815732,26.585140795182383,26.58299610187021,25.976263860992496,0.10720587608960651,0.108274200250306,0.10615870825940746,-0.002115491990898541,0.019732985430111472,139.8280678447927,1.2676978930759755,1.280330710763216,1.2553152467093647
nchs_share30,beta_annual,uniform_birth_time,log(-log(beta_annual)),0.9951823386077664,0.9952765791045264,0.9953708285255517,-5.3330529768866874,-5.3528556041828725,-5.3730583115004,0.019802627296185094,-0.02020270731752749,0.2653009309935261,0.26516756649743256,0.26503412705070667,0.2492780130410667,0.0066692091291235866,0.006734686973541965,0.006605027961283283,-0.00012965901225868177,0.019441437470070832,13866.065434728796,0.7853277769096937,0.793038071938436,0.7777701710701365
wealth_earnings,beta_annual,uniform_birth_time,log(-log(beta_annual)),0.9951823386077664,0.9952765791045264,0.9953708285255517,-5.3330529768866874,-5.3528556041828725,-5.3730583115004,0.019802627296185094,-0.02020270731752749,6.085567925220096,6.096876962747856,6.108265119685916,6.14586139445743,-0.5673541962586041,-0.5710877328857269,-0.56369459593071,0.007393136955016866,0.013030902042799065,7.595098472533724,-1.5635831292176625,-1.5738724597998313,-1.5534975612072226
bequest_wealth,beta_annual,uniform_birth_time,log(-log(beta_annual)),0.9951823386077664,0.9952765791045264,0.9953708285255517,-5.3330529768866874,-5.3528556041828725,-5.3730583115004,0.019802627296185094,-0.02020270731752749,0.012372725291496469,0.012368034993361301,0.012363265648109365,0.0088,0.00023645954916875998,0.0002368523158576573,0.0002360745605515244,-7.777553061328875e-07,0.0032891685231870565,5165289.256198347,0.5374080662926363,0.538300717858312,0.5365330921625554
old_dispersion,beta_annual,uniform_birth_time,log(-log(beta_annual)),0.9951823386077664,0.9952765791045264,0.9953708285255517,-5.3330529768866874,-5.3528556041828725,-5.3730583115004,0.019802627296185094,-0.02020270731752749,3.729959728722574,3.7297557246748427,3.7721439305135678,3.51593508651872,-1.0544644157665533,0.010301867761275944,-2.0981448264584732,-2.108446694219749,1.999542765686401,10.616361531535475,-3.435735943301819,0.03356632696308451,-6.836334623274812
mean_rooms,beta_annual,uniform_birth_time,log(-log(beta_annual)),0.9951823386077664,0.9952765791045264,0.9953708285255517,-5.3330529768866874,-5.3528556041828725,-5.3730583115004,0.019802627296185094,-0.02020270731752749,6.246346607857058,6.246382336944046,6.246418520827649,5.561097376118652,-0.0017975845292939434,-0.0018042599324465528,-0.0017910413210691614,1.3218611377391375e-05,0.007353540911137787,128.02070205233477,-0.02033899192846376,-0.020414521600992427,-0.020264957991755168
ownership_30_55,beta_annual,uniform_birth_time,log(-log(beta_annual)),0.9951823386077664,0.9952765791045264,0.9953708285255517,-5.3330529768866874,-5.3528556041828725,-5.3730583115004,0.019802627296185094,-0.02020270731752749,0.5743379812412717,0.5747683591158299,0.5752085256151395,0.6483340343191493,-0.02176070722251635,-0.02173337245210648,-0.021787500674608967,-5.4128222502485696e-05,0.0024874293812692755,2339.3623724673616,-1.0524991552094054,-1.0511770555887434,-1.0537950729111722
first_birth_rooms,beta_annual,uniform_birth_time,log(-log(beta_annual)),0.9951823386077664,0.9952765791045264,0.9953708285255517,-5.3330529768866874,-5.3528556041828725,-5.3730583115004,0.019802627296185094,-0.02020270731752749,0.43807422030617893,0.43884666342482603,0.4396243713713641,0.7202462623815278,-0.03874860890811913,-0.039007102799733656,-0.03849523404535795,0.0005118687543757064,0.013209990469321151,137.56527490029643,-0.45447555214617014,-0.457507381092507,-0.45150376338011666
