measurement,own_rate_2534,interpretation
production_whole_nodes,0.3606366369961439,unchanged model age_to_index aggregation
cells_start_at_node,0.313425896149099,diagnostic uniform density within each four-year cell
cells_centered_at_node,0.3613113126720964,diagnostic uniform density within each four-year cell
