cohort,event,coefficient,variance,explicit_reference
1970,L0event,.1935164617285738,.11206362,0
1971,L0event,-.0867993685234468,.31910345,0
1972,L0event,.5583861225097122,.17101485,0
1973,L0event,1.347302740701584,.33543819,0
1974,L0event,1.284277448086493,.28080663,0
1975,L0event,-.5051750746910189,.14945209,0
1976,L0event,0,0,0
1977,L0event,.5130715486963238,.094213806,0
1978,L0event,1.431412242062483,.22351766,0
1979,L0event,.0966637135629339,.10068893,0
1980,L0event,1.12111034336107,.12418058,0
1981,L0event,.5513391109246141,.095502615,0
1982,L0event,0,0,0
1983,L0event,0,0,0
1984,L0event,0,0,0
1985,L0event,.4468501326372679,.42052633,0
1986,L0event,.5339935446000575,.50405324,0
1987,L0event,.3130165097800304,.088167064,0
1988,L0event,.2889529815234983,.13408667,0
1989,L0event,.2513369742755071,.057374768,0
1990,L0event,1.002607863169301,.19108425,0
1991,L0event,.6542352613503756,.13598531,0
1992,L0event,.1596734307117628,.11716418,0
1993,L0event,.426178095531382,.13484129,0
1994,L0event,.4557506885084112,.08085978,0
1995,L0event,-.115681415308933,.1860251,0
1996,L0event,.5579690350895175,.15288447,0
1997,L0event,.207634239408146,.13032407,0
1998,L0event,0,0,0
1999,L0event,.2872081921604104,.082843423,0
2000,L0event,0,0,0
2001,L0event,.1184637715510959,.14447258,0
2002,L0event,0,0,0
2003,L0event,.4264583640195795,.14800182,0
2004,L0event,0,0,0
2005,L0event,-.1103285306669799,.063750602,0
2006,L0event,0,0,0
2007,L0event,.0721923333214488,.066224746,0
2008,L0event,0,0,0
2009,L0event,.9969627542266253,.12715206,0
2010,L0event,0,0,0
2011,L0event,-.0180570836685169,.19600944,0
2012,L0event,0,0,0
2013,L0event,.5160647905465875,.10499209,0
2014,L0event,0,0,0
2015,L0event,.8541081852433134,.12976505,0
2016,L0event,0,0,0
2017,L0event,1.225141119077155,.13903023,0
2018,L0event,0,0,0
2019,L0event,.6018681437101214,.29723296,0
1970,L1event,-.4423738972721457,.16875862,0
1971,L1event,.4143871264711901,.35709003,0
1972,L1event,.9370412262149849,.21322581,0
1973,L1event,1.337919074505241,.24895868,0
1974,L1event,1.3588748661801,.13025457,0
1975,L1event,0,0,0
1976,L1event,.2866162145224169,.49326286,0
1977,L1event,.6474716239694543,.10044528,0
1978,L1event,1.601986811717328,.22144185,0
1979,L1event,.4786015348566008,.087446153,0
1980,L1event,1.162246660990337,.13768679,0
1981,L1event,0,0,0
1982,L1event,0,0,0
1983,L1event,0,0,0
1984,L1event,.5683667840719766,1.7598526,0
1985,L1event,.7125157143747485,.36070448,0
1986,L1event,.5870846773042863,.45917979,0
1987,L1event,.7483032196687522,.081179865,0
1988,L1event,.5867982581700963,.12831268,0
1989,L1event,.4425683901072605,.073197491,0
1990,L1event,1.132480238782052,.12508149,0
1991,L1event,.9954202985454713,.11602022,0
1992,L1event,.4930406723390446,.080388568,0
1993,L1event,.6996233567312837,.16148789,0
1994,L1event,.9318248548501635,.056375958,0
1995,L1event,-.1507497570655928,.21119653,0
1996,L1event,1.026310195781866,.2174245,0
1997,L1event,0,0,0
1998,L1event,1.21101915360272,.15642194,0
1999,L1event,0,0,0
2000,L1event,1.200459407345369,.42589176,0
2001,L1event,0,0,0
2002,L1event,1.340113486301963,.37783891,0
2003,L1event,0,0,0
2004,L1event,1.41705152343031,.30124071,0
2005,L1event,0,0,0
2006,L1event,1.302667578854169,.13317016,0
2007,L1event,0,0,0
2008,L1event,1.338950736089057,.35134572,0
2009,L1event,0,0,0
2010,L1event,1.491414834164033,.16275764,0
2011,L1event,0,0,0
2012,L1event,2.102836786358925,.24743479,0
2013,L1event,0,0,0
2014,L1event,1.802241505501102,.13168573,0
2015,L1event,0,0,0
2016,L1event,1.80253200673029,.26388577,0
2017,L1event,0,0,0
2018,L1event,1.250483235957828,.21622525,0
2019,L1event,0,0,0
1970,L2event,-.0800292893708804,.092496715,0
1971,L2event,.4602638492685277,.25726533,0
1972,L2event,.9495862040936269,.14764641,0
1973,L2event,.7652074812506836,.38299376,0
1974,L2event,0,0,0
1975,L2event,-.3214518957641566,.17389286,0
1976,L2event,.6249556577566574,.49241695,0
1977,L2event,.6978182100892476,.15025203,0
1978,L2event,1.675565065135888,.21073873,0
1979,L2event,.6225823574050348,.10490219,0
1980,L2event,0,0,0
1981,L2event,0,0,0
1982,L2event,0,0,0
1983,L2event,.4518843398207262,.088790841,0
1984,L2event,1.121401342498573,2.1368704,0
1985,L2event,.7815007472576874,.42237541,0
1986,L2event,.4892204777644343,.45989457,0
1987,L2event,.6997640606570306,.11165887,0
1988,L2event,.5825513355325607,.096095972,0
1989,L2event,.3198136625640061,.10086068,0
1990,L2event,1.313868861079046,.11550754,0
1991,L2event,1.039394587285074,.10890643,0
1992,L2event,.5709979352362926,.095772088,0
1993,L2event,.7442762390672114,.18584469,0
1994,L2event,.9427886417155019,.054455593,0
1995,L2event,.1215859675386379,.17291412,0
1996,L2event,0,0,0
1997,L2event,.5139616627685188,.1503261,0
1998,L2event,0,0,0
1999,L2event,.7960749384742108,.084517926,0
2000,L2event,0,0,0
2001,L2event,.2787637847378811,.22008736,0
2002,L2event,0,0,0
2003,L2event,1.279446026760852,.22273596,0
2004,L2event,0,0,0
2005,L2event,.5780895003009137,.08896707,0
2006,L2event,0,0,0
2007,L2event,.2824944038528169,.087060846,0
2008,L2event,0,0,0
2009,L2event,.9626829139187805,.11035759,0
2010,L2event,0,0,0
2011,L2event,.2971910915369974,.18999596,0
2012,L2event,0,0,0
2013,L2event,.878370210405599,.13156882,0
2014,L2event,0,0,0
2015,L2event,1.063395282912925,.17978011,0
2016,L2event,0,0,0
2017,L2event,1.786199932840187,.12934193,0
2018,L2event,0,0,0
2019,L2event,0,0,0
1970,L3event,-.0821023061817344,.15861841,0
1971,L3event,.9025207889680705,.26776263,0
1972,L3event,.9181279624360058,.10532959,0
1973,L3event,0,0,0
1974,L3event,.8426149393477289,.22140589,0
1975,L3event,-.0838176533554152,.18345074,0
1976,L3event,1.084486184632941,.65797937,0
1977,L3event,.9300444686135503,.13813557,0
1978,L3event,1.913015741691821,.21321076,0
1979,L3event,0,0,0
1980,L3event,0,0,0
1981,L3event,0,0,0
1982,L3event,1.29085601002967,.18245634,0
1983,L3event,.6797423543082801,.14432,0
1984,L3event,.6544212073355752,2.360908,0
1985,L3event,1.101791926311789,.42959696,0
1986,L3event,.3506681905522911,.46083868,0
1987,L3event,.6828119490775981,.088493548,0
1988,L3event,.6377233921558635,.1606468,0
1989,L3event,.1924143261487563,.076570466,0
1990,L3event,1.510872425772569,.21076512,0
1991,L3event,.8667504695983596,.12686323,0
1992,L3event,.7387896574232994,.093344793,0
1993,L3event,1.005223980867422,.21451576,0
1994,L3event,.9468452775465149,.13275971,0
1995,L3event,0,0,0
1996,L3event,1.431631427226082,.18074265,0
1997,L3event,0,0,0
1998,L3event,1.522414823481593,.16428269,0
1999,L3event,0,0,0
2000,L3event,1.534746340438962,.41878489,0
2001,L3event,0,0,0
2002,L3event,1.896473109503051,.23242036,0
2003,L3event,0,0,0
2004,L3event,1.88286183434238,.29762614,0
2005,L3event,0,0,0
2006,L3event,1.859050634406154,.13904408,0
2007,L3event,0,0,0
2008,L3event,1.691892751084283,.3704814,0
2009,L3event,0,0,0
2010,L3event,1.990386435378075,.25414917,0
2011,L3event,0,0,0
2012,L3event,2.029295815432306,.32186189,0
2013,L3event,0,0,0
2014,L3event,2.075896889761742,.16601735,0
2015,L3event,0,0,0
2016,L3event,1.955064691023033,.34709024,0
2017,L3event,0,0,0
2018,L3event,0,0,0
2019,L3event,0,0,0
1970,L4event,.2303187423218616,.20253429,0
1971,L4event,.5789338966513859,.28439161,0
1972,L4event,0,0,0
1973,L4event,1.482423603826653,.32634032,0
1974,L4event,.6031645866222168,.2528916,0
1975,L4event,.1703338327123054,.18559067,0
1976,L4event,1.268462417730728,.52164853,0
1977,L4event,1.042890299485153,.14742154,0
1978,L4event,0,0,0
1979,L4event,0,0,0
1980,L4event,0,0,0
1981,L4event,1.157430082681527,.16167599,0
1982,L4event,1.341889989351211,.15555114,0
1983,L4event,.4506003370105299,.092389092,0
1984,L4event,.9610243785754771,2.4162421,0
1985,L4event,1.237494480036569,.45702028,0
1986,L4event,.6610537438862545,.50142801,0
1987,L4event,.3533763828986805,.1253456,0
1988,L4event,.8544097490412635,.090641573,0
1989,L4event,.3706388347971428,.077166773,0
1990,L4event,1.284210227436723,.16507924,0
1991,L4event,1.001463383988345,.10768577,0
1992,L4event,.6086320817985551,.090025157,0
1993,L4event,.9588968380916612,.2521981,0
