age_node,mass,owner_rate,mean_rooms,mean_liquid_wealth,childless_rate,pre_fertility_mass
18.0,0.06173345614296292,0.06311612667738146,4.264672882477478,-0.13864074508292096,0.7338656361039757,0.061733456142966
22.0,0.061733456099778365,0.1794319528002558,4.867648926745761,-0.3145661376654669,0.5275728769707168,0.0617334560997899
26.0,0.06173345612382473,0.2570859157774235,5.358251184896927,-0.40873124954994305,0.3776031768958092,0.06173345612384384
30.0,0.061733456117889565,0.3675777160972781,5.7515341947383165,-0.1907250145345253,0.27836511386032803,0.06173345611790011
34.0,0.06173345612343236,0.4578686224859812,6.083482506268594,0.005369937488423521,0.21774077779003342,0.061733456123444524
38.0,0.061733456125496244,0.5475425953820479,6.330283486574923,0.595256676619594,0.18069570658702808,0.06173345612550693
42.0,0.06173345613602286,0.6169934939790054,6.519035983534798,1.1914438250695218,0.15582641805183214,0.06173345613603161
46.0,0.06173345616074435,0.6669683301935251,6.645086919601841,1.8015143766372503,0.1558264180608076,0.061733456160757545
50.0,0.06173345613682745,0.7066964886368993,6.771547127527285,2.3668056052234454,0.1558264180608027,0.06173345613684473
54.0,0.061733456151902,0.7435017229209886,6.903916043641797,2.8968587178830716,0.1558264181716945,0.06173345615191647
58.0,0.061733456186220496,0.7792740890214472,7.030124902532652,3.3849365723129905,0.15582641822324142,0.06173345618623798
62.0,0.061733456153828206,0.8100869856512556,7.1414676314963765,3.684298712927793,0.15582641814470963,0.061733456153843076
66.0,0.06173345617951235,0.8296001428381026,7.325425452571043,3.993060931218377,0.1558264181430831,0.061733456179525616
70.0,0.05797551269063304,0.8968790908351076,7.389174472155701,2.881130901476141,0.15582641814275916,0.05797551269064622
74.0,0.05325037143675388,0.9505791419906648,7.430360573128799,1.6662110920451143,0.15582641844970818,0.053250371436764504
78.0,0.047124032948397725,0.981298387385213,7.451573584310778,0.43086856461058454,0.15582641854665225,0.047124032948411575
82.0,0.03911515308555729,0.9944327827777999,7.449201092912185,-0.8037421061848128,0.15582641877130116,0.039115153085575866
