f_c_y,K,lastcohort,rows,unsupported
1968,2,0,82,1
1968,3,0,84,1
1968,4,0,80,1
1968,5,0,83,1
1968,6,0,82,1
1968,9,0,128,1
1968,10,0,123,1
1968,11,0,122,1
1968,12,0,132,1
1968,13,0,133,1
1968,14,0,143,1
1968,15,0,141,1
1968,16,0,140,1
1968,17,0,145,1
1968,18,0,134,1
1968,19,0,128,1
1968,20,0,121,1
1968,21,0,124,1
1968,22,0,192,1
1968,23,0,187,1
1968,24,0,185,1
1968,25,0,188,1
1968,26,0,196,1
1968,27,0,135,1
1968,28,0,93,1
1968,29,0,96,1
1968,31,0,94,1
1968,33,0,98,1
1968,35,0,95,1
1968,37,0,93,1
1968,39,0,90,1
1968,41,0,89,1
1968,43,0,85,1
1968,45,0,84,1
1968,47,0,80,1
1968,49,0,75,1
1968,51,0,66,1
1969,1,0,97,1
1969,2,0,99,1
1969,3,0,99,1
1969,4,0,98,1
1969,5,0,96,1
1969,8,0,174,1
1969,9,0,180,1
1969,10,0,180,1
1969,11,0,186,1
1969,12,0,189,1
1969,13,0,191,1
1969,14,0,193,1
1969,15,0,192,1
1969,16,0,189,1
1969,17,0,189,1
1969,18,0,186,1
1969,19,0,179,1
1969,20,0,178,1
1969,21,0,233,1
1969,22,0,229,1
1969,23,0,229,1
1969,24,0,233,1
1969,25,0,242,1
1969,26,0,193,1
1969,27,0,151,1
1969,28,0,152,1
1969,30,0,150,1
1969,32,0,141,1
1969,34,0,136,1
1969,36,0,133,1
1969,38,0,124,1
1969,40,0,127,1
1969,42,0,121,1
1969,44,0,107,1
1969,46,0,96,1
1969,48,0,92,1
1969,50,0,81,1
1970,0,0,63,1
1970,1,0,67,1
1970,2,0,69,1
1970,3,0,69,1
1970,4,0,70,1
1970,7,0,185,1
1970,8,0,187,1
1970,9,0,196,1
1970,10,0,185,1
1970,11,0,200,1
1970,12,0,200,1
1970,13,0,202,1
1970,14,0,201,1
1970,15,0,201,1
1970,16,0,195,1
1970,17,0,199,1
1970,18,0,191,1
1970,19,0,191,1
1970,20,0,254,1
1970,21,0,238,1
1970,22,0,234,1
1970,23,0,236,1
1970,24,0,254,1
1970,25,0,197,1
1970,26,0,148,1
1970,27,0,156,1
1970,29,0,155,1
1970,31,0,151,1
1970,33,0,140,1
1970,35,0,140,1
1970,37,0,130,1
1970,39,0,125,1
1970,41,0,116,1
1970,43,0,109,1
1970,45,0,105,1
1970,47,0,100,1
1970,49,0,94,1
1971,-1,0,51,1
1971,0,0,60,1
1971,1,0,64,1
1971,2,0,63,1
1971,3,0,63,1
1971,6,0,189,1
1971,7,0,195,1
1971,8,0,204,1
1971,9,0,208,1
1971,10,0,210,1
1971,11,0,213,1
1971,12,0,220,1
1971,13,0,229,1
1971,14,0,230,1
1971,15,0,218,1
1971,16,0,217,1
1971,17,0,206,1
1971,18,0,201,1
1971,19,0,264,1
1971,20,0,258,1
1971,21,0,269,1
1971,22,0,263,1
1971,23,0,274,1
1971,24,0,211,1
1971,25,0,146,1
1971,26,0,140,1
1971,28,0,139,1
1971,30,0,138,1
1971,32,0,131,1
1971,34,0,126,1
1971,36,0,123,1
1971,38,0,121,1
1971,40,0,116,1
1971,42,0,108,1
1971,44,0,100,1
1971,46,0,100,1
1971,48,0,98,1
1972,-2,0,46,0
1972,-1,0,58,0
1972,0,0,67,0
1972,1,0,69,0
1972,2,0,71,0
1972,5,0,228,0
1972,6,0,232,0
1972,7,0,238,0
1972,8,0,234,0
1972,9,0,239,0
1972,10,0,240,0
1972,11,0,242,0
1972,12,0,241,0
1972,13,0,237,0
1972,14,0,236,0
1972,15,0,221,0
1972,16,0,218,0
1972,17,0,208,0
1972,18,0,275,0
1972,19,0,263,0
1972,20,0,275,0
1972,21,0,272,0
1972,22,0,299,0
1972,23,0,227,0
1972,24,0,146,0
1972,25,0,159,0
1972,27,0,163,0
1972,29,0,156,0
1972,31,0,148,0
1972,33,0,153,0
1972,35,0,141,0
1972,37,0,141,0
1972,39,0,131,0
1972,41,0,125,0
1972,43,0,120,0
1972,45,0,109,0
1972,47,0,96,0
1973,-3,0,47,0
1973,-2,0,57,0
1973,-1,0,73,0
1973,0,0,79,0
1973,1,0,84,0
1973,4,0,230,0
1973,5,0,239,0
1973,6,0,243,0
1973,7,0,236,0
1973,8,0,234,0
1973,9,0,245,0
1973,10,0,243,0
1973,11,0,247,0
1973,12,0,243,0
1973,13,0,240,0
1973,14,0,235,0
1973,15,0,230,0
1973,16,0,228,0
1973,17,0,285,0
1973,18,0,269,0
1973,19,0,272,0
1973,20,0,280,0
1973,21,0,306,0
1973,22,0,245,0
1973,23,0,156,0
1973,24,0,157,0
1973,26,0,156,0
1973,28,0,151,0
1973,30,0,152,0
1973,32,0,144,0
1973,34,0,139,0
1973,36,0,137,0
1973,38,0,125,0
1973,40,0,121,0
1973,42,0,109,0
1973,44,0,100,0
1973,46,0,101,0
1974,-4,0,30,0
1974,-3,0,42,0
1974,-2,0,51,0
1974,-1,0,56,0
1974,0,0,70,0
1974,3,0,255,0
1974,4,0,263,0
1974,5,0,270,0
1974,6,0,268,0
1974,7,0,268,0
1974,8,0,269,0
1974,9,0,275,0
1974,10,0,273,0
1974,11,0,264,0
1974,12,0,252,0
1974,13,0,246,0
1974,14,0,240,0
1974,15,0,244,0
1974,16,0,311,0
1974,17,0,302,0
1974,18,0,294,0
1974,19,0,303,0
1974,20,0,324,0
1974,21,0,261,0
1974,22,0,172,0
1974,23,0,176,0
1974,25,0,176,0
1974,27,0,164,0
1974,29,0,160,0
1974,31,0,156,0
1974,33,0,143,0
1974,35,0,136,0
1974,37,0,138,0
1974,39,0,126,0
1974,41,0,115,0
1974,43,0,117,0
1974,45,0,108,0
1975,-5,0,20,0
1975,-4,0,27,0
1975,-3,0,40,0
1975,-2,0,50,0
1975,-1,0,54,0
1975,2,0,229,0
1975,3,0,238,0
1975,4,0,249,0
