earnings_tercile,wealth_quintile,b_model_units,z_state_1based,annual_gross_income_model_units,joint_probability,R_b_plus_Y,cashflow_positive,within_selected_B_grid_support
1,1,-0.3909154241912421,1,0.0388301798152725,1.233903801781348e-05,-0.4184855754108833,False,True
1,1,-0.3909154241912421,2,0.05684655531872104,0.0001727465322493888,-0.4004691999074348,False,True
1,1,-0.3909154241912421,3,0.0832221449135139,0.001122852459621027,-0.3740936103126419,False,True
1,1,-0.3909154241912421,4,0.1218354457042188,0.004491409838484109,-0.335480309521937,False,True
1,1,-0.3909154241912421,5,0.1783644947552324,0.0123513770558313,-0.2789512604709233,False,True
1,1,-0.3909154241912421,6,0.2611218172626402,0.0247027541116626,-0.1961939379635156,False,True
1,1,-0.3909154241912421,7,0.3822767728751881,0.02471840481449347,-0.07503898235096773,False,True
1,1,-0.3909154241912421,8,0.5596450446455145,0,0.1023292894193586,True,True
1,1,-0.3909154241912421,9,0.8193084126995582,0,0.3619926574734024,True,True
1,1,-0.3909154241912421,10,1.19945004703018,0,0.7421342918040243,True,True
1,1,-0.3909154241912421,11,1.75596929437153,0,1.298653539145374,True,True
1,1,-0.3909154241912421,12,2.570701606465538,0,2.113385851239382,True,True
1,1,-0.3909154241912421,13,3.763452339780069,0,3.306136584553914,True,True
1,1,-0.3909154241912421,14,5.509613981713583,0,5.052298226487427,True,True
1,1,-0.3909154241912421,15,8.065957394127043,0,7.608641638900887,True,True
1,2,-0.03039144317435354,1,0.0388301798152725,9.296362145422779e-06,0.003276489867001436,True,True
1,2,-0.03039144317435354,2,0.05684655531872104,0.0001301490700359189,0.02129286537044997,True,True
1,2,-0.03039144317435354,3,0.0832221449135139,0.0008459689552334729,0.04766845496524284,True,True
1,2,-0.03039144317435354,4,0.1218354457042188,0.003383875820933892,0.08628175575594771,True,True
1,2,-0.03039144317435354,5,0.1783644947552324,0.009305658507568202,0.1428108048069614,True,True
1,2,-0.03039144317435354,6,0.2611218172626402,0.0186113170151364,0.2255681273143691,True,True
1,2,-0.03039144317435354,7,0.3822767728751881,0.01862310842068489,0.346723082926917,True,True
1,2,-0.03039144317435354,8,0.5596450446455145,0,0.5240913546972434,True,True
1,2,-0.03039144317435354,9,0.8193084126995582,0,0.7837547227512872,True,True
1,2,-0.03039144317435354,10,1.19945004703018,0,1.163896357081909,True,True
1,2,-0.03039144317435354,11,1.75596929437153,0,1.720415604423259,True,True
1,2,-0.03039144317435354,12,2.570701606465538,0,2.535147916517267,True,True
1,2,-0.03039144317435354,13,3.763452339780069,0,3.727898649831798,True,True
1,2,-0.03039144317435354,14,5.509613981713583,0,5.474060291765312,True,True
1,2,-0.03039144317435354,15,8.065957394127043,0,8.030403704178772,True,True
1,3,0.003168466251432471,1,0.0388301798152725,1.499274044708888e-05,0.04253683718158189,True,True
1,3,0.003168466251432471,2,0.05684655531872104,0.0002098983662592443,0.06055321268503042,True,True
1,3,0.003168466251432471,3,0.0832221449135139,0.001364339380685088,0.08692880227982329,True,True
1,3,0.003168466251432471,4,0.1218354457042188,0.00545735752274035,0.1255421030705282,True,True
1,3,0.003168466251432471,5,0.1783644947552324,0.01500773318753596,0.1820711521215418,True,True
1,3,0.003168466251432471,6,0.2611218172626402,0.03001546637507193,0.2648284746289496,True,True
1,3,0.003168466251432471,7,0.3822767728751881,0.03003448300546232,0.3859834302414974,True,True
1,3,0.003168466251432471,8,0.5596450446455145,0,0.5633517020118238,True,True
