year,wave_working_rows,wave_working_persons,wave_IW,gross_earnings_IW,Ebar_wave,zero_earnings_rows,positive_earnings_rows,builder_working_rows,builder_Ebar_no_alive,Ebar_alive_minus_builder_no_alive,date_support
1984,4683,4683,100260.099533439,8341542032.69124,83199.0200639007,672,4011,,,,extended earlier to cover July entrant waves
1989,4642,4642,111536.599852622,9118786254.69207,81755.9999743684,574,4068,,,,extended earlier to cover July entrant waves
1994,5120,5120,125617.319001317,9282848505.21199,73897.8397167883,722,4398,,,,extended earlier to cover July entrant waves
1999,4098,4098,131190.943977267,10021271498.1667,76386.9150899866,381,3717,,,,extended earlier to cover July entrant waves
2001,4257,4257,132943.964999914,10824104728.2074,81418.5489970487,364,3893,,,,extended earlier to cover July entrant waves
2003,4496,4496,141949.900025278,11283670245,79490.5120961028,422,4074,,,,extended earlier to cover July entrant waves
2005,4769,4769,144709.367043048,11859832546.242,81956.218789306,443,4326,4769,81956.218789306,0,within aggregate builder 2005-2019
2007,4980,4980,153447.5630261,12852235517.0875,83756.5306586293,489,4491,4981,83754.7941656058,1.73649302346166,within aggregate builder 2005-2019
2009,5259,5259,155880.348022044,13126696510.3038,84210.079569796,543,4716,5260,84204.2476993089,5.83187048707623,within aggregate builder 2005-2019
2011,5424,5424,165907.691070527,12475773660.2828,75197.0784463473,744,4680,5426,75178.8241090025,18.2543373447261,within aggregate builder 2005-2019
2013,5533,5533,160286.735102475,12518262562.3107,78099.1799122214,741,4792,5533,78099.1799122214,0,within aggregate builder 2005-2019
2015,5559,5559,169666.531983644,12445705032.8309,73353.9189333504,762,4797,5559,73353.9189333504,0,within aggregate builder 2005-2019
2017,5489,5489,160495.585984975,11875277729.2537,73991.3042241884,715,4774,5489,73991.3042241884,0,within aggregate builder 2005-2019
2019,5836,5836,187814.172063291,14571975621.6718,77587.1994194413,694,5142,5836,77587.1994194413,0,within aggregate builder 2005-2019
