earn_tercile,family_years,persons,probability,mean_earnings,mean_omega,wealth_sd_omega
1,661,547,0.334244896803097,7931.15686445274,0.135163114351377,1.66859474134362
2,608,536,0.332263905154124,24431.0283413643,0.0868156097589826,1.00700651002255
3,566,500,0.333491198042779,56939.8452692206,0.335099244491458,0.955119275548434
