event_time,cohort_group,estimation_observations,longitudinal_weight
-4,1982,26,664.2000000476837
-3,1982,29,729.999995470047
-2,1982,41,926.399997651577
-1,1982,52,1113.599997103214
3,1982,53,1337.299993336201
4,1982,53,1282.799992978573
5,1982,52,1260.799992024899
6,1982,51,1224.799993932247
7,1982,51,1414.799999117851
8,1982,52,1426.344007194042
9,1982,50,1375.766006112099
10,1982,51,1422.182007014751
11,1982,48,1369.836987376213
12,1982,50,1388.694987893105
13,1982,50,1388.694987893105
14,1982,50,1387.161988854408
15,1982,38,1401.582000494003
17,1982,37,1251.514001369476
19,1982,40,1416.244000911713
21,1982,38,1426.231001615524
23,1982,36,1309.062002897263
25,1982,35,1372.660001277924
27,1982,33,1223.394999623299
29,1982,29,1179.890005111694
31,1982,29,1114.833002924919
33,1982,27,1185.863993525505
35,1982,23,1045.397000670433
37,1982,28,1241.992998242378
-12,1983,1,22.10000038146973
-11,1983,2,26.10000038146973
-10,1983,1,4
-9,1983,3,51.79999923706055
-8,1983,14,268.5999957323074
-6,1983,16,350.9999942779541
-5,1983,24,518.6999946832657
-4,1983,27,594.699994802475
-3,1983,36,773.8999931812286
-2,1983,49,1023.999992847443
2,1983,44,1011.699995994568
3,1983,47,1054.899994492531
4,1983,46,1015.199993729591
5,1983,44,1002.399995446205
6,1983,43,1065.800001144409
7,1983,42,1060.657009243965
8,1983,43,1093.306010365486
9,1983,43,1093.306010365486
10,1983,41,1132.1600086689
11,1983,42,1097.278012037277
12,1983,42,1090.764012098312
13,1983,41,1083.313011884689
14,1983,30,1095.553990840912
16,1983,30,1095.553990840912
18,1983,28,1027.641989707947
20,1983,28,1027.09499669075
22,1983,28,1087.725993394852
24,1983,26,1126.584006786346
26,1983,26,1126.584006786346
28,1983,22,1082.667993068695
30,1983,22,1079.30699300766
32,1983,15,878.7950029373169
34,1983,15,859.3569993972778
36,1983,16,941.517991065979
-13,1984,1,21.70000076293945
-12,1984,3,76.89999961853027
-11,1984,4,101
-10,1984,3,93.89999961853027
-9,1984,7,153.2999992370605
-7,1984,9,181.5999991893768
-6,1984,12,253.8999993801117
-5,1984,16,363.9999971389771
-4,1984,25,597.3999972343445
-3,1984,28,624.5999989509583
1,1984,26,676.6999998092651
2,1984,27,680.6999998092651
3,1984,25,672.7999997138977
4,1984,24,625.0000004768372
5,1984,25,727.0999946594238
6,1984,25,727.332001209259
7,1984,25,727.332001209259
8,1984,25,727.332001209259
9,1984,25,784.2109999656677
10,1984,27,807.659996509552
11,1984,27,840.009997844696
12,1984,27,845.8810000419617
13,1984,16,698.5800013542175
15,1984,15,690.3840012550354
17,1984,15,690.3840012550354
19,1984,14,673.8519983291626
21,1984,12,576.9299974441528
23,1984,13,617.50199842453
25,1984,12,565.360999584198
27,1984,13,668.6669969558716
29,1984,9,429.2939958572388
31,1984,12,682.7879991531372
33,1984,8,469.4959979057312
35,1984,10,658.5070071220398
-10,1985,1,39.59999847412109
-8,1985,4,81.39999830722809
-7,1985,8,140.2999980449677
-6,1985,7,153.8999983668327
-5,1985,14,296.9999999403954
-4,1985,21,422.7000004649162
0,1985,43,1050.599989116192
1,1985,41,961.8999891281128
2,1985,40,987.4999878406525
3,1985,40,985.399987757206
4,1985,41,1089.19998884201
5,1985,40,1084.470017790794
6,1985,37,1039.931016802788
7,1985,38,1075.568017840385
8,1985,36,1141.251004219055
9,1985,41,1160.178004086018
10,1985,34,1064.116002321243
11,1985,37,1080.723002433777
12,1985,31,1198.215993881226
14,1985,28,1099.793992996216
16,1985,26,941.9639949798584
18,1985,25,946.928000330925
20,1985,28,1080.740000605583
22,1985,23,926.1990003585815
24,1985,25,962.3340044021606
26,1985,21,861.651996254921
28,1985,21,847.5069996118546
30,1985,22,1092.116998910904
32,1985,20,920.9430019855499
34,1985,21,1067.464002370834
-16,1986,1,25.10000038146973
-15,1986,2,29.70000028610229
-14,1986,2,29.70000028610229
-13,1986,3,35.40000009536743
-12,1986,2,37.70000076293945
-11,1986,4,92.40000295639038
-9,1986,5,119.5000033378601
-8,1986,8,172.5000038146973
-7,1986,13,264.0999994277954
-6,1986,14,290.7999987602234
-5,1986,15,280.5999987125397
-1,1986,40,913.0999987721443
0,1986,54,1302.199996054173
1,1986,55,1306.399995863438
2,1986,53,1280.59999537468
3,1986,54,1487.499994397163
4,1986,55,1484.934018433094
5,1986,53,1424.522017776966
6,1986,50,1338.154016077518
7,1986,51,1477.140993118286
8,1986,47,1364.577992320061
9,1986,46,1327.055992007256
10,1986,45,1301.595992088318
11,1986,38,1370.603989362717
13,1986,39,1400.057992458344
15,1986,37,1356.717995882034
17,1986,36,1324.44700217247
19,1986,34,1193.986003637314
21,1986,35,1367.452003717422
23,1986,36,1368.699003696442
25,1986,34,1394.868009328842
27,1986,29,1304.946011304855
29,1986,30,1394.754990696907
31,1986,28,1396.521992325783
33,1986,28,1401.871003508568
-17,1987,1,24.89999961853027
-16,1987,1,24.89999961853027
-15,1987,1,24.89999961853027
-14,1987,2,52.29999923706055
-13,1987,2,63.89999961853027
-12,1987,4,122.5999984741211
-10,1987,8,206.7999992370605
-9,1987,9,232.7999992370605
-8,1987,16,420.199999332428
-7,1987,23,514.399998664856
-6,1987,25,572.399998664856
-2,1987,51,1190.899987399578
-1,1987,50,1165.199988305569
0,1987,64,1381.099985659122
1,1987,59,1326.099985897541
2,1987,58,1496.699986696243
3,1987,57,1482.524007320404
4,1987,57,1490.030005931854
5,1987,57,1464.202004909515
6,1987,58,1651.718999147415
7,1987,60,1680.544998168945
8,1987,60,1676.287998437881
9,1987,58,1630.457998037338
10,1987,43,1505.91400206089
12,1987,44,1567.591995358467
14,1987,43,1521.433998227119
16,1987,42,1553.189000248909
18,1987,41,1458.817000508308
20,1987,38,1335.823006153107
22,1987,39,1420.523003101349
24,1987,37,1455.200991988182
26,1987,32,1335.856989741325
28,1987,31,1382.882991790771
30,1987,29,1140.631995201111
32,1987,29,1202.136007666588
-13,1988,3,88.79999923706055
-11,1988,4,109.6999988555908
-10,1988,5,139.0999984741211
-9,1988,4,122.0999984741211
-8,1988,4,122.0999984741211
-7,1988,7,182.3999972343445
-3,1988,31,753.5999984741211
-2,1988,40,1006.399996876717
-1,1988,44,1123.999996185303
0,1988,58,1279.299993515015
1,1988,55,1482.800000548363
2,1988,54,1433.573006570339
3,1988,52,1443.614006698132
4,1988,51,1393.592005312443
5,1988,50,1521.309008598328
6,1988,49,1470.066009044647
7,1988,51,1474.453009009361
8,1988,50,1452.19700551033
9,1988,41,1532.006998181343
11,1988,43,1516.534998059273
13,1988,41,1507.226996898651
15,1988,38,1524.826997756958
17,1988,39,1487.295996427536
19,1988,36,1429.240991353989
21,1988,38,1543.067991018295
23,1988,33,1454.481000900269
25,1988,34,1400.351997256279
27,1988,30,1436.353000640869
29,1988,24,1244.228001832962
31,1988,32,1692.407996296883
-15,1989,1,24.89999961853027
-14,1989,2,28.89999961853027
-12,1989,5,99.79999923706055
-11,1989,8,137.0999990701675
-10,1989,12,265.5000002384186
-9,1989,12,274.0999991893768
-8,1989,14,276.9999994635582
-4,1989,28,730.899994134903
-3,1989,37,973.1999952793121
-2,1989,45,1103.299995958805
-1,1989,49,1172.999996483326
0,1989,54,1404.599998831749
1,1989,54,1420.224010169506
2,1989,54,1398.185008943081
3,1989,51,1322.331011354923
4,1989,51,1482.075003385544
5,1989,49,1438.47100186348
6,1989,51,1504.063002824783
7,1989,49,1467.087002515793
8,1989,38,1397.113001942635
10,1989,37,1350.476000905037
12,1989,37,1359.457000732422
14,1989,35,1302.139004826546
16,1989,34,1264.107003331184
18,1989,36,1418.116990685463
20,1989,36,1337.264991879463
22,1989,32,1259.582993030548
24,1989,31,1247.859996795654
26,1989,29,1310.223993301392
28,1989,27,1213.215994358063
30,1989,24,1264.402996778488
-15,1990,1,32.09999847412109
-13,1990,3,90.29999732971191
-12,1990,4,114.5999984741211
-11,1990,4,123.6999969482422
-10,1990,6,188.7999973297119
-9,1990,7,191.8999972343445
-5,1990,10,313.5999992489815
-4,1990,13,371.09999781847
-3,1990,14,403.3999970555305
-2,1990,23,655.3999963402748
-1,1990,30,894.299991607666
0,1990,39,1014.100004792213
1,1990,35,989.6320053339005
2,1990,33,975.404005408287
3,1990,34,1030.735003471375
4,1990,36,1059.362002372742
5,1990,33,1053.72400188446
6,1990,36,1057.234000682831
7,1990,30,1126.901003837585
9,1990,28,1082.414000511169
11,1990,29,1070.186003684998
13,1990,29,1104.77300131321
15,1990,27,1011.934004426003
17,1990,28,1118.409999728203
19,1990,26,998.843997836113
21,1990,28,1172.713001966476
23,1990,26,1071.763001203537
25,1990,21,885.3809965848923
27,1990,19,828.6919974088669
29,1990,21,952.7409949302673
-14,1991,1,26
-13,1991,2,41.80000019073486
-12,1991,6,154.7999992370605
-11,1991,9,208.4999995231628
-10,1991,8,195.8999996185303
-6,1991,18,496.299991607666
-5,1991,24,661.7999901771545
-4,1991,27,682.39999127388
-3,1991,32,796.5999910831451
-2,1991,42,1129.599997758865
-1,1991,52,1452.787014484406
0,1991,57,1472.730012655258
1,1991,51,1345.446009635925
2,1991,51,1506.850001990795
3,1991,56,1677.181004226208
4,1991,57,1681.643004119396
5,1991,56,1609.196002721786
6,1991,47,1647.710003137589
8,1991,46,1666.960001707077
10,1991,47,1642.432000398636
12,1991,44,1632.321995794773
14,1991,48,1806.109993040562
16,1991,45,1746.684003531933
18,1991,40,1573.962004125118
20,1991,40,1612.050011456013
22,1991,39,1593.982010662556
24,1991,37,1624.806001067162
26,1991,37,1573.019000411034
28,1991,32,1484.165996789932
-17,1992,2,60.79999923706055
-15,1992,2,60.79999923706055
-14,1992,2,60.79999923706055
-13,1992,3,105.9999961853027
-12,1992,3,105.9999961853027
-11,1992,6,185.3999977111816
-7,1992,17,408.6999970674515
-6,1992,20,568.3999931812286
-5,1992,22,556.0999934673309
-4,1992,24,640.5999934673309
-3,1992,27,792.299996137619
-2,1992,39,1169.260012030602
-1,1992,41,1214.328012347221
0,1992,44,1249.318011522293
1,1992,44,1363.778009057045
2,1992,46,1414.763010323048
3,1992,42,1370.637008011341
4,1992,43,1342.216007769108
5,1992,34,1326.688008546829
7,1992,33,1207.59800863266
9,1992,32,1213.668008327484
11,1992,31,1210.234995126724
13,1992,29,1057.093994379044
15,1992,31,1263.423001050949
17,1992,30,1304.829001665115
19,1992,30,1344.795010566711
21,1992,30,1321.173010826111
23,1992,26,1274.341006278992
25,1992,26,1328.089004516602
27,1992,22,1257.37099313736
-15,1993,1,27.10000038146973
-14,1993,1,29
-13,1993,1,29
-12,1993,3,78.69999885559082
-8,1993,10,264.9999966621399
-7,1993,11,276.5999975204468
-6,1993,16,450.099995136261
-5,1993,18,520.099995136261
-4,1993,23,747.3000049591064
-3,1993,27,932.1140172481537
-2,1993,31,1023.441015958786
-1,1993,38,1251.335020303726
0,1993,49,1528.147996783257
1,1993,50,1579.513994574547
2,1993,49,1483.107995867729
3,1993,49,1529.70799767971
4,1993,45,1652.778996109962
6,1993,42,1493.710997223854
8,1993,42,1563.1279951334
10,1993,41,1598.346987009048
12,1993,41,1619.342987060547
14,1993,39,1633.771000385284
16,1993,39,1647.422999382019
18,1993,35,1526.34599840641
20,1993,32,1366.910997033119
22,1993,33,1571.015001177788
24,1993,27,1243.037004351616
26,1993,29,1497.007999897003
-19,1994,2,22.59999966621399
-17,1994,3,48.59999966621399
-16,1994,3,72.89999961853027
-15,1994,4,109.5999984741211
-14,1994,4,109.5999984741211
-13,1994,5,136.7999992370605
-9,1994,10,277.8999977111816
-8,1994,12,319.7999954223633
-7,1994,13,349.7999954223633
-6,1994,20,558.9999942779541
-5,1994,27,812.2999978065491
-4,1994,29,894.0020046234131
-3,1994,31,927.9860038161278
-2,1994,37,1045.595004618168
-1,1994,41,1259.539001822472
0,1994,56,1534.242005109787
1,1994,54,1475.575007200241
2,1994,51,1440.255004882813
3,1994,40,1348.321998357773
5,1994,40,1290.942996144295
7,1994,41,1270.060997128487
9,1994,41,1380.494000077248
11,1994,41,1400.495999455452
13,1994,39,1452.044008731842
15,1994,37,1260.098011851311
17,1994,37,1417.530012488365
19,1994,29,1088.094010233879
21,1994,32,1388.045000314713
23,1994,31,1362.516000032425
25,1994,28,1311.200019717216
-18,1995,1,36.20000076293945
-17,1995,1,36.20000076293945
-16,1995,1,38.70000076293945
-15,1995,1,38.70000076293945
-14,1995,1,38.70000076293945
-10,1995,4,122.2999992370605
-9,1995,6,146.8999989032745
-8,1995,7,179.1999981403351
-7,1995,6,156.2999985218048
-6,1995,9,203.1999989748001
-5,1995,15,358.1510033607483
-4,1995,17,436.9350020885468
-3,1995,19,469.7940025925636
-2,1995,25,580.5080030560493
-1,1995,33,752.9020004868507
0,1995,43,934.4680008292198
1,1995,42,914.5230011343956
2,1995,32,895.110992193222
4,1995,33,946.0879895687103
6,1995,32,944.6419895887375
8,1995,30,908.2319973707199
10,1995,31,868.5789932012558
12,1995,29,844.69899725914
14,1995,30,903.2400014400482
16,1995,29,917.1790030002594
18,1995,28,884.2520053386688
20,1995,25,821.832013130188
22,1995,26,890.9480148553848
24,1995,25,903.9940041303635
-16,1996,1,5.199999809265137
-15,1996,2,7.799999713897705
-11,1996,3,70.99999761581421
-10,1996,3,70.99999761581421
-9,1996,3,70.99999761581421
-8,1996,5,129.8999991416931
-7,1996,6,157.4999971389771
-6,1996,9,296.068998336792
-5,1996,11,341.3889989852905
-4,1996,15,459.9890022277832
-3,1996,25,801.7080019712448
-2,1996,30,852.1710028648376
-1,1996,31,893.7710028886795
0,1996,40,1072.063003540039
1,1996,37,1204.633996009827
3,1996,36,1179.152996063232
5,1996,37,1228.233995437622
7,1996,36,1265.356998562813
9,1996,33,1162.346997618675
11,1996,33,1212.139001965523
13,1996,35,1301.823999524117
15,1996,34,1366.036995887756
17,1996,33,1302.80499458313
19,1996,31,1369.981001615524
21,1996,30,1240.377995610237
23,1996,30,1380.810012936592
-22,1997,1,28.29999923706055
-19,1997,1,28.29999923706055
-18,1997,1,32.29999923706055
-17,1997,2,60.69999885559082
-16,1997,4,91.69999885559082
-12,1997,4,131.5
-11,1997,5,133.9000000953674
-10,1997,5,141.3000016212463
-9,1997,5,147.7000031471252
-8,1997,6,179.4999995231628
-7,1997,11,371.8430030345917
-6,1997,12,412.9740035533905
-5,1997,16,561.9850032329559
-4,1997,17,619.1380047798157
-3,1997,20,669.7230010032654
-2,1997,24,795.6210018992424
-1,1997,30,976.1580006480217
0,1997,45,1606.151008844376
2,1997,42,1466.66800904274
4,1997,44,1566.508009195328
6,1997,41,1533.971987783909
8,1997,44,1647.551989614964
10,1997,43,1692.521002292633
12,1997,43,1688.646002292633
14,1997,37,1568.387985289097
16,1997,37,1623.543981611729
18,1997,32,1512.955015540123
20,1997,35,1641.531013846397
22,1997,30,1555.387989044189
-11,1998,1,35.59999847412109
-10,1998,3,114.2000007629395
-9,1998,2,79.20000076293945
-8,1998,4,161.6870002746582
-7,1998,7,252.8810048103333
-6,1998,6,207.4720005989075
-5,1998,10,384.4959998130798
-4,1998,15,520.4550004005432
