event_time,cohort_group,estimation_observations,longitudinal_weight
0,1970,21,360.0999983549118
1,1970,21,360.0999983549118
2,1970,20,358.3999983072281
3,1970,21,360.0999983549118
4,1970,19,422.4999965429306
5,1970,21,431.5999964475632
7,1970,21,431.5999964475632
8,1970,20,396.6999949216843
9,1970,21,483.499996304512
10,1970,17,407.1999979019165
11,1970,19,444.3999954462051
15,1970,20,509.5000019073486
16,1970,19,470.5000019073486
17,1970,18,435.6000003814697
18,1970,19,470.5000019073486
19,1970,19,552.0000042915344
20,1970,19,552.0609962940216
21,1970,18,508.3319962024689
22,1970,19,554.8639976978302
23,1970,19,579.4539988040924
24,1970,18,565.309996843338
25,1970,20,613.753998041153
26,1970,19,556.7149965763092
27,1970,16,682.7109985351563
29,1970,15,677.7929983139038
31,1970,15,677.7929983139038
33,1970,15,695.1540012359619
35,1970,15,695.1540012359619
37,1970,14,657.7560029029846
39,1970,14,668.3270058631897
41,1970,13,662.3839926719666
43,1970,12,656.8379926681519
45,1970,10,619.7439951896667
47,1970,10,619.7439951896667
49,1970,10,595.4669995307922
-1,1971,16,373.9000028371811
0,1971,20,459.000003695488
1,1971,20,459.000003695488
2,1971,20,459.000003695488
3,1971,19,520.4999994039536
4,1971,18,491.200000166893
6,1971,16,464.0000009536743
7,1971,17,515.5999994277954
8,1971,18,560.5000002384186
9,1971,17,556.5000002384186
10,1971,18,560.5000002384186
14,1971,18,595.899998664856
15,1971,18,595.899998664856
16,1971,15,476.0999975204468
17,1971,16,510.2999982833862
18,1971,16,569.2999906539917
19,1971,15,531.4009971618652
20,1971,15,537.6809959411621
21,1971,14,499.5839958190918
22,1971,14,524.8069996833801
23,1971,13,518.1080002784729
24,1971,13,494.4269989728928
25,1971,12,454.2659996747971
26,1971,10,517.7110109329224
28,1971,10,517.6520128250122
30,1971,10,501.6610078811646
32,1971,10,517.9730072021484
34,1971,9,472.1670074462891
36,1971,7,376.1460037231445
38,1971,9,488.9530029296875
40,1971,8,476.8270044326782
42,1971,8,486.7890024185181
44,1971,7,470.709997177124
46,1971,7,470.709997177124
48,1971,7,503.4730043411255
-2,1972,16,397.1000027656555
-1,1972,17,422.0000023841858
0,1972,20,481.8000025749207
1,1972,20,483.1000037193298
2,1972,21,601.8000009059906
3,1972,20,571.1000001430511
5,1972,20,571.1000001430511
6,1972,20,571.1000001430511
7,1972,19,619.2999973297119
8,1972,20,627.4999971389771
9,1972,20,627.4999971389771
13,1972,19,641.1999988555908
14,1972,18,608.1999988555908
15,1972,18,608.1999988555908
16,1972,17,561.4999980926514
17,1972,16,588.4000005722046
18,1972,15,553.006000995636
19,1972,15,553.006000995636
20,1972,11,347.8120007514954
21,1972,12,402.7749991416931
22,1972,15,523.8400015830994
23,1972,15,525.2570013999939
24,1972,12,400.3709998130798
25,1972,9,431.6740036010742
27,1972,8,368.2750015258789
29,1972,10,506.4610023498535
31,1972,9,487.0219993591309
33,1972,9,487.0219993591309
35,1972,9,506.1269989013672
37,1972,7,379.4389991760254
39,1972,7,411.378002166748
41,1972,7,438.8920021057129
43,1972,7,506.4360008239746
45,1972,7,506.4360008239746
47,1972,6,465.1509971618652
-3,1973,13,275.4000010490417
-2,1973,16,359.6000018119812
-1,1973,18,371.9000020027161
0,1973,27,544.4000039100647
1,1973,26,645.2000060081482
2,1973,26,611.4000045061111
4,1973,26,611.4000045061111
5,1973,27,646.3000060319901
6,1973,26,673.799991607666
7,1973,25,636.4999923706055
8,1973,22,606.0999910831451
12,1973,25,713.2000023126602
13,1973,25,713.2000023126602
14,1973,24,711.6000022888184
15,1973,24,711.6000022888184
16,1973,23,765.8999946117401
17,1973,23,765.9530065059662
18,1973,21,731.584007024765
19,1973,20,701.3880078792572
20,1973,19,728.3390107154846
21,1973,19,677.7600092887878
22,1973,19,677.7600092887878
23,1973,16,555.4670100212097
24,1973,12,585.372998714447
26,1973,11,524.3309988975525
28,1973,14,694.0099997520447
30,1973,13,650.7320036888123
32,1973,11,599.2160034179688
34,1973,11,626.5519981384277
36,1973,10,578.9249954223633
38,1973,8,519.242000579834
40,1973,9,553.234001159668
42,1973,6,441.3899955749512
44,1973,6,441.3899955749512
46,1973,6,474.2009963989258
-4,1974,5,138.1000003814697
-3,1974,7,199.9000015258789
-2,1974,9,230.8000011444092
-1,1974,12,308.6000003814697
0,1974,14,368.4000017642975
1,1974,15,395.5000021457672
3,1974,15,395.5000021457672
4,1974,15,395.5000021457672
5,1974,15,433.0999903082848
6,1974,14,431.7999903559685
7,1974,13,368.4999918341637
11,1974,13,397.1000003218651
12,1974,12,396.3000003099442
13,1974,12,396.3000003099442
14,1974,12,396.3000003099442
15,1974,12,441.8000037670135
16,1974,12,441.7549966573715
17,1974,11,405.4219964742661
18,1974,11,405.4219964742661
19,1974,11,428.392998456955
20,1974,14,491.3929973244667
21,1974,12,444.7249973416328
22,1974,11,386.4969967007637
23,1974,10,421.431992650032
25,1974,9,404.9909906387329
27,1974,10,457.210991859436
29,1974,9,436.2729930877686
31,1974,10,474.1219921112061
33,1974,9,456.5519952774048
35,1974,9,435.5009927749634
37,1974,8,436.2569990158081
39,1974,9,498.919997215271
41,1974,9,575.2860059738159
43,1974,9,575.2860059738159
45,1974,9,612.3650045394897
-5,1975,5,138.8000011444092
-4,1975,6,161.6000003814697
-3,1975,7,199.7999992370605
-2,1975,12,260.5999984741211
-1,1975,19,485.2000029087067
0,1975,56,1228.00000500679
2,1975,50,1170.200004458427
3,1975,50,1131.600004196167
4,1975,51,1275.199992239475
5,1975,48,1234.999992072582
6,1975,51,1279.499992251396
10,1975,52,1427.299993515015
11,1975,51,1398.499994277954
12,1975,50,1334.899995803833
13,1975,50,1304.799996197224
14,1975,48,1439.299994826317
15,1975,47,1437.112009346485
16,1975,45,1413.917009711266
17,1975,44,1397.03700864315
18,1975,45,1477.048997879028
19,1975,48,1555.620995998383
20,1975,45,1508.128996372223
21,1975,45,1505.109996318817
22,1975,26,1214.265998721123
24,1975,25,1162.097995638847
26,1975,24,1102.292999148369
28,1975,24,1156.740003943443
30,1975,22,1019.401003241539
32,1975,22,1111.413995027542
34,1975,23,1112.693992137909
36,1975,21,1130.804001808167
38,1975,22,1213.05300617218
40,1975,19,1125.691011667252
42,1975,19,1125.691011667252
44,1975,18,1134.004000902176
-6,1976,4,108.7999992370605
-5,1976,4,108.7999992370605
-4,1976,3,83.89999961853027
-3,1976,6,107.3000001907349
-2,1976,10,218.600001335144
-1,1976,37,648.8999997377396
1,1976,35,626.499998986721
2,1976,33,592.5999993681908
3,1976,34,652.6999961137772
4,1976,31,576.8999977111816
5,1976,35,691.5999954342842
9,1976,34,732.899998664856
10,1976,33,731.899998664856
11,1976,33,730.5999989509583
12,1976,34,737.7999987602234
13,1976,30,737.2000006437302
14,1976,29,724.3010029792786
15,1976,29,740.8370025157928
16,1976,30,716.1620012521744
17,1976,30,760.8520015478134
18,1976,34,836.7840036153793
19,1976,31,823.9720041751862
20,1976,28,693.6870009899139
21,1976,17,725.4269971847534
23,1976,17,725.4269971847534
25,1976,17,725.4269971847534
27,1976,14,618.5430054664612
29,1976,15,664.8540062904358
31,1976,13,640.3129997253418
33,1976,13,577.6960000991821
35,1976,16,743.4189977645874
37,1976,15,706.5799970626831
39,1976,12,632.0139932632446
41,1976,14,668.4359941482544
43,1976,12,653.5279941558838
-7,1977,4,81.70000004768372
-6,1977,4,81.70000004768372
-5,1977,5,99.40000081062317
-4,1977,5,96.10000157356262
-3,1977,6,161.8000011444092
-2,1977,30,756.5000004768372
0,1977,53,1097.000000596046
1,1977,51,1055.100000977516
2,1977,48,1163.49999588728
3,1977,54,1227.100000083447
4,1977,52,1208.099997699261
8,1977,50,1271.999988257885
9,1977,51,1301.89999216795
10,1977,51,1301.89999216795
11,1977,51,1301.89999216795
12,1977,50,1444.200000524521
13,1977,50,1444.090008735657
14,1977,50,1444.090008735657
15,1977,47,1406.257009506226
16,1977,47,1473.540000796318
17,1977,46,1444.694000124931
18,1977,44,1382.507001757622
19,1977,41,1292.395999312401
20,1977,33,1368.976996421814
22,1977,33,1368.976996421814
24,1977,31,1289.983996391296
26,1977,32,1384.318002939224
28,1977,28,1177.115000009537
30,1977,26,1184.075002193451
32,1977,29,1323.748002529144
34,1977,30,1471.238000631332
36,1977,26,1315.733997106552
38,1977,26,1510.90101146698
40,1977,29,1695.4310131073
42,1977,27,1710.518992900848
-8,1978,2,30.79999971389771
-7,1978,2,30.79999971389771
-6,1978,2,30.79999971389771
-5,1978,3,55.90000009536743
-4,1978,5,124.4999990463257
-3,1978,27,599.5999997854233
-1,1978,43,951.0999962091446
0,1978,54,1165.699994683266
1,1978,56,1373.19998550415
2,1978,51,1232.799986839294
3,1978,51,1211.299987792969
7,1978,51,1375.399996876717
8,1978,51,1357.499995350838
9,1978,51,1326.699997067451
10,1978,51,1326.699997067451
11,1978,49,1460.200011968613
12,1978,48,1427.319990754128
13,1978,46,1373.564988732338
14,1978,45,1386.508990168571
15,1978,46,1418.270997285843
16,1978,49,1519.117993593216
17,1978,48,1514.517993688583
18,1978,49,1519.117993593216
19,1978,33,1526.801001787186
21,1978,32,1464.944998979568
23,1978,30,1439.331001520157
25,1978,31,1541.592007398605
27,1978,30,1437.896008253098
29,1978,29,1533.189996957779
31,1978,27,1407.938998222351
33,1978,25,1330.62700176239
35,1978,28,1611.247012138367
37,1978,28,1826.955996513367
39,1978,24,1631.389995574951
41,1978,24,1766.50098991394
-9,1979,4,102.5999984741211
-8,1979,3,75.19999885559082
-7,1979,5,129.9999980926514
-6,1979,8,192.199998497963
-5,1979,11,322.7999976873398
-4,1979,28,800.3999971151352
-2,1979,45,1199.599992156029
-1,1979,50,1227.399993538857
0,1979,67,1638.999979913235
1,1979,65,1615.599982976913
2,1979,64,1606.999983072281
6,1979,66,1813.399992406368
7,1979,62,1740.599993824959
8,1979,59,1615.49999153614
9,1979,58,1605.799990773201
10,1979,57,1776.799999713898
11,1979,57,1775.383012652397
12,1979,56,1724.859010577202
13,1979,58,1812.946013569832
14,1979,54,1770.430008709431
15,1979,58,1905.717007756233
16,1979,58,1883.914009213448
17,1979,55,1842.605010092258
18,1979,46,1894.772991120815
20,1979,45,1928.231991887093
22,1979,42,1831.315993905067
24,1979,36,1536.049005508423
26,1979,37,1658.743000507355
28,1979,37,1683.128988862038
30,1979,37,1752.170986771584
32,1979,34,1585.323995113373
34,1979,32,1693.94699716568
36,1979,31,1748.252003669739
38,1979,30,1896.952999949455
40,1979,27,1887.999004840851
-7,1980,2,61.10000038146973
-6,1980,5,141.6999998092651
-5,1980,22,521.6000001430511
-3,1980,35,783.8000005483627
-2,1980,42,879.900001168251
-1,1980,59,1194.999994397163
0,1980,69,1440.099993109703
1,1980,71,1478.599992394447
5,1980,66,1499.099987864494
6,1980,63,1504.799989461899
7,1980,65,1517.999988913536
8,1980,63,1489.299988150597
9,1980,59,1633.000005245209
10,1980,62,1593.63000357151
11,1980,63,1653.065004944801
12,1980,64,1690.381006836891
13,1980,64,1817.43799495697
14,1980,63,1787.783995568752
15,1980,62,1723.339997470379
16,1980,59,1648.631998240948
17,1980,37,1459.094005584717
19,1980,35,1426.674004077911
21,1980,37,1527.053005695343
23,1980,34,1409.946995377541
25,1980,34,1328.981991887093
27,1980,34,1366.621995329857
29,1980,30,1271.559994220734
31,1980,28,1138.332997083664
33,1980,28,1204.402992010117
35,1980,30,1463.512003064156
37,1980,27,1321.644000172615
39,1980,22,1148.034008145332
-10,1981,1,33.70000076293945
-9,1981,1,33.70000076293945
-8,1981,5,149.6000022888184
-7,1981,7,238.1000022888184
-6,1981,15,402.6000020503998
-4,1981,23,627.0000016689301
-3,1981,28,709.9000008106232
-2,1981,36,903.5999915599823
-1,1981,48,1096.499992251396
0,1981,56,1261.699992060661
4,1981,51,1283.80000191927
5,1981,49,1255.200001239777
6,1981,53,1288.300001263618
7,1981,50,1254.000001907349
8,1981,50,1434.199999570847
9,1981,48,1405.394009828568
10,1981,45,1364.0450091362
11,1981,48,1428.28601026535
12,1981,51,1550.794984936714
13,1981,53,1579.715987801552
14,1981,50,1538.740986227989
15,1981,50,1531.333988547325
16,1981,39,1569.513003587723
18,1981,39,1561.829003810883
20,1981,38,1512.840005397797
22,1981,38,1616.536999583244
24,1981,38,1615.798999667168
26,1981,35,1629.67300093174
28,1981,36,1537.55200111866
30,1981,35,1626.664006948471
32,1981,34,1465.716001749039
34,1981,34,1754.717993021011
36,1981,32,1690.346993684769
38,1981,32,1687.705991506577
-12,1982,2,54.79999923706055
-11,1982,3,85.19999885559082
-10,1982,3,85.19999885559082
-9,1982,5,114.3999996185303
-8,1982,5,164.3999996185303
-7,1982,10,280.3000018596649
-5,1982,22,567.1999995708466
