coefficient_name,relative_time,b,se,ci_lo,ci_hi
F7event,-7,-.29937282,.0843304086889815,-.4646604230766835,-.1340852210158762
F6event,-6,-.47638354,.1132110016151159,-.698277100219689,-.2544899738884348
F5event,-5,-.12730184,.1047746325965075,-.3326601218634131,.0780564379148962
F4event,-4,-.32083976,.0956691662231879,-.5083513284851314,-.1333281968902348
F3event,-3,.18269229,.0951322931283484,-.0037670051791458,.3691515838839798
F2event,-2,0,0,0,0
F1event,-1,.48149884,.0794679140713761,.3257417258911111,.6372559490509055
L0event,0,.44572833,.0670035858578078,.3144013035229722,.5770553600855788
L1event,1,1.014805,.0889873425940863,.8403897678127711,1.189220150781589
L2event,2,.72615957,.0803146909487257,.568742778341816,.8835763668608207
L3event,3,1.201745,.1025443893138914,1.000758030208933,1.402732036319387
L4event,4,.8311618,.0953111845848115,.6443518752604308,1.017971718832892
L5event,5,1.294239,.1108939379134986,1.076886925878996,1.51159116249991
L6event,6,.96468204,.1045706668159487,.7597235356394649,1.169640549557984
L7event,7,1.4002876,.1220506156289058,1.161068421541173,1.639506834806484
L8event,8,.9854399,.1161411179845522,.7578033053338348,1.21307648783328
L9event,9,1.4343187,.1337698066386662,1.172129840677973,1.696507482701544
L10event,10,1.0277562,.1278061525102432,.7772561552217689,1.278256273061922
L11event,11,1.051914,.1259922047447864,.8049692553695302,1.298858697969093
