matrix_index,cohort_index,cohort,event_index,event,stata_interaction_name,estimate,marginal_variance
1,1,1970,1,L0event,__00003K,       .1935164617285702,      .11206362241442561
2,2,1971,1,L0event,__00003L,    -.086799368523448397,       .3191034457116701
3,3,1972,1,L0event,__00003M,      .55838612250971909,      .17101484387930699
4,4,1973,1,L0event,__00003N,       1.347302740701581,      .33543818776779472
5,5,1974,1,L0event,__00003O,       1.284277448086482,      .28080661650673178
6,6,1975,1,L0event,__00003P,     -.50517507469101508,      .14945209012360591
7,7,1976,1,L0event,o.__00003Q,                       0,                       0
8,8,1977,1,L0event,__00003R,      .51307154869632254,     .094213806623911697
9,9,1978,1,L0event,__00003S,      1.4314122420625019,      .22351765396327841
10,10,1979,1,L0event,__00003T,     .096663713562936696,       .1006889236834333
11,11,1980,1,L0event,__00003U,       1.121110343361065,       .1241805789252183
12,12,1981,1,L0event,__00003V,      .55133911092461307,     .095502615124620105
13,13,1982,1,L0event,o.__00003W,                       0,                       0
14,14,1983,1,L0event,o.__00003X,                       0,                       0
15,15,1984,1,L0event,o.__00003Y,                       0,                       0
16,16,1985,1,L0event,__00003Z,      .44685013263727369,      .42052631366554433
17,17,1986,1,L0event,__000040,      .53399354460005366,      .50405322355627669
18,18,1987,1,L0event,__000041,      .31301650978002588,     .088167065947406101
19,19,1988,1,L0event,__000042,      .28895298152349902,      .13408666752915621
20,20,1989,1,L0event,__000043,      .25133697427550677,     .057374766938662801
21,21,1990,1,L0event,__000044,       1.002607863169297,      .19108424753874961
22,22,1991,1,L0event,__000045,      .65423526135037713,       .1359853098550802
23,23,1992,1,L0event,__000046,      .15967343071176451,       .1171641763184607
24,24,1993,1,L0event,__000047,      .42617809553138131,      .13484129797768241
25,25,1994,1,L0event,__000048,      .45575068850840639,     .080859781658727897
26,26,1995,1,L0event,__000049,      -.1156814153089418,      .18602509071816231
27,27,1996,1,L0event,__00004A,      .55796903508951501,      .15288446637906161
28,28,1997,1,L0event,__00004B,       .2076342394081428,      .13032407184128039
29,29,1998,1,L0event,o.__00004C,                       0,                       0
30,30,1999,1,L0event,__00004D,      .28720819216040261,     .082843424299474805
31,31,2000,1,L0event,o.__00004E,                       0,                       0
32,32,2001,1,L0event,__00004F,       .1184637715510974,       .1444725893574533
33,33,2002,1,L0event,o.__00004G,                       0,                       0
34,34,2003,1,L0event,__00004H,      .42645836401957649,      .14800181866142931
35,35,2004,1,L0event,o.__00004I,                       0,                       0
36,36,2005,1,L0event,__00004J,      -.1103285306669789,     .063750600529436999
37,37,2006,1,L0event,o.__00004K,                       0,                       0
38,38,2007,1,L0event,__00004L,     .072192333321447894,     .066224746023253706
39,39,2008,1,L0event,o.__00004M,                       0,                       0
