scenario,policy_case,period_from_2007,calendar_year,years_from_2023,psi_child,asset_price,asset_price_index,adult_population,population_index,population_index_2023,entry_flow_E,birth_children,birth_children_topcode_adjusted,topcode_adjusted_births_per_adult,effective_mature_entrant_flow_B,raw_state_scheduled_mature_entrant_flow_B,queue_B_over_current_E,outside_entry_flow_M,renewal_retention_rho,retained_mature_entrants,entrant_flow_next,adult_deaths,housing_demand,housing_demand_per_adult,housing_supply,relative_market_residual,mass_accounting_residual,owner_rate,dependent_child_owner_rate,parent_owner_rate,childless_owner_rate,birth_queue_scheduled_flows,birth_queue_raw_state_scheduled_flows,model_state_same_period_mature_flow_B,census_age_bridge_net_residual,census_age_bridge_maximum_target_gap,grid_resolution_fallback,feasibility_frontier_projection_mass,min_distribution_mass,nonfinite_distribution_count,adult_household_units,dependent_child_units,model_population_units,policy_label,supply_intercept_multiplier,dependent_child_ltv95,annual_property_tax_rate,housing_user_cost,property_tax_revenue_discarded,property_tax_revenue_discarded_per_adult,property_tax_lump_sum_transfer,purchase_grant
dependent-child-ltv95,dependent-child-ltv95,4,2023,0,-0.1203616292227872,0.719613378053062,1.1369912380746643,1.1292476712477628,1.129247671247763,1.0,0.014337122049139197,0.07862977727473347,0.0905967269833218,0.08022750835803531,0.06332099023519433,0.055094753651968136,4.416576075600621,0.0,1.0,0.06332099023519433,0.06332099023519433,0.04995973857292561,6.037073294822437,5.346102054079748,6.0369505231270715,2.0336707232440607e-05,0.0,0.4929577542140422,0.498512709181696,0.5005851088337051,0.46988647178538423,"[0.05558927528242164, 0.05060985784439143, 0.04613787462552684, 0.04314129856348657]","[0.04819352413900331, 0.043770635664997, 0.03996257865621993, 0.03744275108320641]",0.05626610438359303,0.0,0.0,False,0.0,0.0,0,1.1292476712477628,0.511792822713735,1.6410404939614978,5% down payment for dependent-child households,1.0,True,0.01,0.11924819024756649,0.17377434828964416,0.15388506234211458,0.0,False
dependent-child-ltv95,dependent-child-ltv95,5,2027,4,-0.1203616292227872,0.7221432688352798,1.1409884728960205,1.1426089229100314,1.1426089229100316,1.011831993992518,0.06332099023519433,0.07315729063546603,0.08360458231999611,0.07316990148043777,0.05558927528242164,0.04819352413900331,0.8778964933420239,0.0,1.0,0.05558927528242164,0.05558927528242164,0.06025178076131987,6.050131309035781,5.2950149326920375,6.050312742885521,2.9987515926845546e-05,-4.440892098500626e-16,0.48070639150845335,0.49392740513683114,0.49875040841715335,0.43175255107137606,"[0.05060985784439143, 0.04613787462552684, 0.04314129856348657, 0.03981170586666481]","[0.043770635664997, 0.03996257865621993, 0.03744275108320641, 0.03483680506450763]",0.05118411358181232,0.0,0.0,False,0.0,0.0,0,1.1426089229100314,0.4670200213205971,1.6096289442306284,5% down payment for dependent-child households,1.0,True,0.01,0.11966742216640558,0.1747624640155908,0.15295037568103836,0.0,False
dependent-child-ltv95,dependent-child-ltv95,6,2031,8,-0.1203616292227872,0.7162803968582587,1.1317251180569794,1.1379464174311327,1.137946417431133,1.0077031340465445,0.055589275282421656,0.06705029259697917,0.07557249773955863,0.06641129721218371,0.05060985784439143,0.043770635664997,0.9104248542055592,0.0,1.0,0.05060985784439143,0.05060985784439143,0.07156101430304565,6.019256639872547,5.2895782680706285,6.019320026104564,1.0530463863371051e-05,0.0,0.4801496131630386,0.4926587070790261,0.4983620236976198,0.4344009579921611,"[0.04613787462552684, 0.04314129856348657, 0.03981170586666481, 0.035986903685504106]","[0.03996257865621993, 0.03744275108320641, 0.03483680506450763, 0.03192871076046627]",0.04644726009402813,0.0,0.0,False,0.0,0.0,0,1.1379464174311327,0.42533908766962714,1.56328550510076,5% down payment for dependent-child households,1.0,True,0.01,0.11869587703642971,0.1724590213919847,0.151552848842663,0.0,False
dependent-child-ltv95,dependent-child-ltv95,7,2035,12,-0.1203616292227872,0.7018755921346296,1.1089654845420294,1.1169952609724785,1.1169952609724787,0.9891499353177802,0.050609857844391454,0.06118950107741943,0.06770441697424111,0.06061298497837519,0.04613787462552684,0.03996257865621993,0.9116380995849765,0.0,1.0,0.04613787462552684,0.04613787462552684,0.07749801848550768,5.9427928392262235,5.320338453407858,5.9427709365040355,3.6856076772872226e-06,0.0,0.48115132416058215,0.49248299112338817,0.49844177401627004,0.44047428796344384,"[0.04314129856348657, 0.03981170586666481, 0.035986903685504106, 0.03224019855916243]","[0.03744275108320641, 0.03483680506450763, 0.03192871076046627, 0.029137857655914014]",0.04206458994688046,0.0,0.0,False,0.0,0.0,0,1.1169952609724785,0.38632032173557906,1.5033155827080575,5% down payment for dependent-child households,1.0,True,0.01,0.11630883567984766,0.1668440497186137,0.14936862809369458,0.0,False
dependent-child-ltv95,dependent-child-ltv95,8,2039,16,-0.1203616292227872,0.6826372118947106,1.0785687876007954,1.0856351171124976,1.0856351171124978,0.9613791064212907,0.04613787462552684,0.05615141612580506,0.06091481152603438,0.056109838900616694,0.04314129856348657,0.03744275108320641,0.935051709980972,0.0,1.0,0.04314129856348657,0.04314129856348657,0.08162579930943001,5.839683797345396,5.379048360997579,5.839622545450582,1.0489016085757803e-05,6.661338147750939e-16,0.4823306031625686,0.49247633984084244,0.4985945776745239,0.44629513059849507,"[0.03981170586666481, 0.035986903685504106, 0.03224019855916243, 0.02900705310763542]","[0.03483680506450763, 0.03192871076046627, 0.029137857655914014, 0.026738769583716696]",0.03806680768111254,0.0,0.0,False,0.0,0.0,0,1.0856351171124976,0.3506035457539424,1.43623866286644,5% down payment for dependent-child households,1.0,True,0.01,0.11312081542220355,0.1594554186306631,0.14687754303193296,0.0,False
dependent-child-ltv95,dependent-child-ltv95,9,2043,20,-0.1203616292227872,0.6599093790072932,1.0426587452898346,1.047150616366555,1.0471506163665552,0.9272993365658264,0.043141298563486585,0.05341907087147839,0.05722958272190503,0.05465267539113191,0.03981170586666481,0.03483680506450763,0.922821222177122,0.0,1.0,0.03981170586666481,0.03981170586666481,0.08556713191852762,5.716312997139974,5.4589214844514595,5.716368430204361,9.697251859032128e-06,-1.1102230246251565e-15,0.48308620510158784,0.49226961122332313,0.49865640662826227,0.45062934586146575,"[0.035986903685504106, 0.03224019855916243, 0.02900705310763542, 0.027252182248526203]","[0.03192871076046627, 0.029137857655914014, 0.026738769583716696, 0.025437652795942088]",0.03463553352983734,0.0,0.0,False,0.0,0.0,0,1.047150616366555,0.3198867246391868,1.3670373410057417,5% down payment for dependent-child households,1.0,True,0.01,0.1093545528390838,0.1508899424061584,0.14409573947416504,0.0,False
dependent-child-ltv95,dependent-child-ltv95,10,2047,24,-0.1203616292227872,0.6328755516595201,0.9999452191611212,1.001395190314691,1.0013951903146912,0.8867808327717858,0.03981170586666481,0.05358818437896926,0.057651675732227084,0.0575713527384827,0.035986903685504106,0.03192871076046627,0.9039276992055923,0.0,1.0,0.035986903685504106,0.035986903685504106,0.08369577221250947,5.567842518229963,5.560085141291975,5.5676976539833545,2.6018698501805127e-05,1.2212453270876722e-15,0.48385851407778874,0.49219497371396603,0.4987021940740233,0.4547718590855128,"[0.03224019855916243, 0.02900705310763542, 0.027252182248526203, 0.027453178920108134]","[0.029137857655914014, 0.026738769583716696, 0.025437652795942088, 0.02551818303760441]",0.03201404002797518,0.0,0.0,False,3.0535646311623325e-08,0.0,0,1.001395190314691,0.2960369190876979,1.2974321094023888,5% down payment for dependent-child households,1.0,True,0.01,0.10487473758688681,0.14095005621112477,0.14075367804276723,0.0,False
dependent-child-ltv95,dependent-child-ltv95,11,2051,28,-0.1203616292227872,0.6050636377682327,0.9560023140222049,0.9536863217876868,0.953686321787687,0.8445324671193791,0.03598690368550411,0.05619114632468739,0.06149702857068879,0.06448349647650654,0.03224019855916243,0.029137857655914014,0.8958869826900141,0.0,1.0,0.03224019855916243,0.03224019855916243,0.07899439375243039,5.412094702154931,5.67492117535035,5.412273896702849,3.310892082284452e-05,2.220446049250313e-16,0.4847497117695303,0.49243202877639214,0.4987829993617231,0.45868673511686386,"[0.02900705310763542, 0.027252182248526203, 0.027453178920108134, 0.029284299319375613]","[0.026738769583716696, 0.025437652795942088, 0.02551818303760441, 0.026757688726041614]",0.030322742650873737,0.0,0.0,False,2.4561958034912715e-11,0.0,0,0.9536863217876868,0.2802894265204215,1.2339757483081082,5% down payment for dependent-child households,1.0,True,0.01,0.10026598447027558,0.13098646833728173,0.13734753801622218,0.0,False
dependent-child-ltv95,dependent-child-ltv95,12,2055,32,-0.1203616292227872,0.5790147347982386,0.9148449712856495,0.9069321265944189,0.9069321265944191,0.8031295079779122,0.03224019855916243,0.05127922161248131,0.0560828305245731,0.0618379577479158,0.02900705310763542,0.026738769583716696,0.8997169497702062,0.0,1.0,0.02900705310763542,0.02900705310763542,0.08024809606981043,5.264534884260286,5.804772738649043,5.264287027415878,4.708269954068673e-05,2.220446049250313e-16,0.48585050632742177,0.49282861555847357,0.4989725565938414,0.4626991590934569,"[0.027252182248526203, 0.027453178920108134, 0.029284299319375613, 0.026706109773606237]","[0.025437652795942088, 0.02551818303760441, 0.026757688726041614, 0.02441867695832443]",0.028480524394104895,0.0,0.0,False,1.2480979988767963e-09,0.0,0,0.9069321265944189,0.26353842016858026,1.1704705467629992,5% down payment for dependent-child households,1.0,True,0.01,0.09594938248392784,0.12192973079384181,0.13444195791332375,0.0,False
dependent-child-ltv95,dependent-child-ltv95,13,2059,36,-0.1203616292227872,0.5486532630053226,0.8668737572192939,0.8556910836322441,0.8556910836322443,0.757753241754971,0.02900705310763542,0.04703654959030384,0.051467293861533356,0.06014704938032612,0.027252182248526203,0.025437652795942088,0.9395019255283368,0.0,1.0,0.027252182248526203,0.027252182248526203,0.07739275692905973,5.088535123175501,5.946696442804625,5.088652817874974,2.312885230823949e-05,-9.992007221626409e-16,0.48676936820906125,0.4932201739466026,0.49913767688427196,0.4660893354800491,"[0.027453178920108134, 0.029284299319375613, 0.026706109773606237, 0.02450823517215874]","[0.02551818303760441, 0.026757688726041614, 0.02441867695832443, 0.02239835694776373]",0.026638118552578322,0.0,0.0,False,1.1846569951243503e-09,0.0,0,0.8556910836322441,0.2464002203490336,1.1020913039812776,5% down payment for dependent-child households,1.0,True,0.01,0.0909181383812219,0.11167365596989721,0.13050697629788324,0.0,False
