evaluation,price,psi_child,transfer,residual_housing,residual_fertility_gap,residual_rebate
1,0.7931310188535463,0.1489153145785918,0.18660898018995767,0.06649987948135355,-0.07225054275884135,0.04076985282304968
2,0.809153328251174,0.1489153145785918,0.18660898018995767,0.015790329090572236,-0.08535545253138377,0.046779530223094216
3,0.7931310188535463,0.1689153145785918,0.18660898018995767,0.06987814963494637,0.04035617027797711,0.043798738474883386
4,0.7931310188535463,0.1489153145785918,0.19617662719790857,0.06931781057313315,-0.06551946486664217,-0.005720589485993802
5,0.8160176085737433,0.16373242551205636,0.19724954342179923,0.00043091750338425155,0.0016835954002587528,0.0004492349519690584
6,0.8325022577523616,0.16373242551205636,0.19724954342179923,-0.04642590089090787,-0.010987522639168912,0.007452458680347343
7,0.8160176085737433,0.18373242551205635,0.19724954342179923,0.003439527796922681,0.10703044417940832,0.0034461855776262307
8,0.8160176085737433,0.16373242551205636,0.20736274377270505,0.0032699357653506946,0.008758173515853507,-0.04564245024011578
9,0.8161613227408909,0.16342045269502525,0.1973488850837547,-1.2514932908340062e-05,-8.39680978415025e-05,-1.3233633959666945e-05
10,0.8326488751382665,0.16342045269502525,0.1973488850837547,-0.04684918334216637,-0.012765289232970378,0.0069925853694837005
11,0.8161613227408909,0.18342045269502524,0.1973488850837547,0.0030000602378363033,0.1054414820440499,0.0029903702364374595
12,0.8161613227408909,0.16342045269502525,0.20746717879058477,0.0028230558101573215,0.0069906496757581316,-0.04608588733380099
13,0.8161575180104517,0.16343617072156794,0.19734620666038757,3.5627720276352823e-07,3.0551549197177508e-06,3.8987063242432936e-07
