measurement,own_rate_2534,interpretation
production_whole_nodes,0.402181642154968,unchanged model age_to_index aggregation
cells_start_at_node,0.350573081263079,diagnostic uniform density within each four-year cell
cells_centered_at_node,0.4029516715084798,diagnostic uniform density within each four-year cell
