"outcome","event_age","status","n_usable","n_households","n_instrument_positive","rf_coef","rf_se","rf_ci_lower","rf_ci_upper","fs_coef","fs_se","first_stage_F","n_warnings","rf_error","fs_error"
"ROOMS_out",0,"full_fit",120739,120720,60252,-0.00855121920149448,0.0119921341675496,-0.0320553702676639,0.0149529318646749,0.000942484887442212,0.000984871091714517,0.915777586577081,0,NA,NA
"ROOMS_out",1,"full_fit",119153,119120,60314,-0.0148888573384356,0.0120886520274003,-0.0385821799337774,0.00880446525690615,0.0119994835102795,0.00200870971444658,35.6854145912814,0,NA,NA
"ROOMS_out",2,"full_fit",115894,115880,58351,-0.0455189577217839,0.0121910444115814,-0.0694129657024117,-0.0216249497411561,0.0309801248656835,0.00297059681514372,108.762430842954,0,NA,NA
"ROOMS_out",3,"full_fit",108847,108825,54561,-0.0508175440518241,0.0123994991351354,-0.0751201157830251,-0.0265149723206232,0.0466667909755226,0.00354142568743985,173.64393120171,0,NA,NA
"ROOMS_out",4,"full_fit",100106,100092,50295,-0.060670945672898,0.0128817648920173,-0.0859187409185645,-0.0354231504272316,0.0557577801215823,0.00388388931551556,206.099652900152,0,NA,NA
"ROOMS_out",5,"full_fit",92246,92229,46201,-0.0528088276580654,0.0134431444288879,-0.0791569065776559,-0.026460748738475,0.0604237092739366,0.00413498676689191,213.533744645885,0,NA,NA
"OWNERSHP_out",0,"full_fit",120739,120720,60252,-0.00202830778363038,0.0034106631190353,-0.00871308466033861,0.00465646909307785,0.000942484887442212,0.000984871091714517,0.915777586577081,0,NA,NA
"OWNERSHP_out",1,"full_fit",119153,119120,60314,0.000434602682418017,0.00345677938567802,-0.00634056041601139,0.00720976578084742,0.0119994835102795,0.00200870971444658,35.6854145912814,0,NA,NA
"OWNERSHP_out",2,"full_fit",115894,115880,58351,-0.00586289765562037,0.00350192196429752,-0.0127265385823133,0.00100074327107253,0.0309801248656835,0.00297059681514372,108.762430842954,0,NA,NA
"OWNERSHP_out",3,"full_fit",108847,108825,54561,-0.00527699544479827,0.00362993828455184,-0.012391543748623,0.00183755285902645,0.0466667909755226,0.00354142568743985,173.64393120171,0,NA,NA
"OWNERSHP_out",4,"full_fit",100106,100092,50295,0.00186866770044294,0.0037847221618626,-0.00554925142829834,0.00928658682918422,0.0557577801215823,0.00388388931551556,206.099652900152,0,NA,NA
"OWNERSHP_out",5,"full_fit",92247,92230,46201,-0.00326721361752704,0.00397765472834918,-0.0110632736280269,0.0045288463929728,0.0604277997390074,0.00413496450292025,213.564956323741,0,NA,NA
"BEDROOMS_out",0,"full_fit",120739,120720,60252,-0.00370416892796205,0.00656908219787551,-0.0165793334472813,0.00917099559135717,0.000942484887442212,0.000984871091714517,0.915777586577081,0,NA,NA
"BEDROOMS_out",1,"full_fit",119153,119120,60314,-0.027785653521094,0.00658640845515523,-0.0406947768806683,-0.0148765301615196,0.0119994835102795,0.00200870971444658,35.6854145912814,0,NA,NA
"BEDROOMS_out",2,"full_fit",115894,115880,58351,-0.0403159823016177,0.00663713556638173,-0.0533245289722357,-0.0273074356309996,0.0309801248656835,0.00297059681514372,108.762430842954,0,NA,NA
"BEDROOMS_out",3,"full_fit",108847,108825,54561,-0.0399306774478018,0.00678399627671964,-0.0532270658214261,-0.0266342890741775,0.0466667909755226,0.00354142568743985,173.64393120171,0,NA,NA
"BEDROOMS_out",4,"full_fit",100106,100092,50295,-0.0535433019867892,0.00705769704201511,-0.0673761340029336,-0.0397104699706447,0.0557577801215823,0.00388388931551556,206.099652900152,0,NA,NA
"BEDROOMS_out",5,"full_fit",92247,92230,46201,-0.0450331488404781,0.00734694033847595,-0.0594328873004555,-0.0306334103805007,0.0604277997390074,0.00413496450292025,213.564956323741,0,NA,NA
