candidate,period,calendar_year,status,origin_period,destination_period,origin_price,destination_price,origin_mass,destination_mass,survival_loss,treated_feasibility_projection_mass,control_feasibility_projection_mass,treated_continuation_births,treated_mean_housing,control_mean_housing,housing_response,census_age_bridge_applied
task_001,0,2007.0,same_policy_one_period_diagnostic_no_prior_date,,0,,,,,,,,,,,0.3565614091217144,False
task_001,1,2011.0,complete_one_period_dated_matched_branch_did,0,1,0.645471974253413,0.6703201238872699,0.04182080519118399,0.04182080519118399,0.0,0.0,0.0,0.012499061988310358,5.00829178511286,4.643237297141033,0.36505448797182716,False
task_001,2,2015.0,complete_one_period_dated_matched_branch_did,1,2,0.6703201238872699,0.6969496381838853,0.03787340764286976,0.037873407642869755,0.0,0.0,0.0,0.011043985802787225,4.944033457585495,4.561853227762898,0.38218022982259736,False
task_001,3,2019.0,complete_one_period_dated_matched_branch_did,2,3,0.6969496381838853,0.7170413894721551,0.03650919984647978,0.03650919984647977,0.0,0.0,0.0,0.010362664758922505,4.862702041626746,4.489298724599172,0.37340331702757457,False
task_001,4,2023.0,complete_one_period_dated_matched_branch_did,3,4,0.7170413894721551,0.7268096779322495,0.03653812666181144,0.036538126661811436,0.0,0.0,0.0,0.010107348373728352,4.757990610782574,4.405682598613801,0.3523080121687734,False
