moment,stored,repaired,diff
tfr,1.8479620866993223,1.8479620866993223,0.0
childless_rate,0.03762208666480075,0.03762208666480074,-6.938893903907228e-18
own_rate,0.5428991466212674,0.5428991466212674,0.0
own_family_gap,0.07046418050628867,0.07046418050628867,0.0
housing_increment_0to1,0.7149279661364288,0.7149279661364278,-9.992007221626409e-16
prime30_55_childless_renter_mean_rooms,4.078270644219611,4.078270644219611,0.0
prime30_55_childless_owner_share_rooms_ge6,0.6624223683950455,0.6624223683950455,0.0
young_childless_renter_liquid_wealth_to_annual_gross_income_2535,0.35824243735114614,0.7979232222731633,0.4396807849220171
prime30_55_childless_owner_minus_renter_mean_rooms,2.320770877211971,2.320770877211971,0.0
own_rate_2534,0.35185140569645396,0.35185140569645396,0.0
prime30_55_parent_3plus_minus_1to2_mean_rooms,0.5249808340004671,0.5249808340004662,-8.881784197001252e-16
old_total_estate_wealth_to_annual_income_median_7684,6.487586330955221,6.385947493865673,-0.10163883708954824
old_nonhousing_ge_1x_income_share_6575,0.6049026283163649,0.6049026283163655,6.661338147750939e-16
old_age_own_rate,0.7357599678689745,0.7357599678689745,0.0
aggregate_mean_occupied_rooms_18_85,5.606467842582184,5.606467842582185,8.881784197001252e-16
