coefficient,estimate,standard_error
Dm7,.0416224362274612,.22019641
Dm5,.1004550390185397,.18143769
Dm1,.0967559876323492,.14269362
Dp1,.5450782864807997,.15752372
Dp3,.7078339925471775,.16939154
Dleft,.534002105502435,.26136553
Dright,.7714382615413631,.18862848
