f_c_y,lastcohort,bin,rows,supported
1968,0,2,86,0
1968,0,3,167,0
1968,0,4,166,0
1968,0,6,258,0
1968,0,7,265,0
1968,0,8,277,0
1968,0,9,284,0
1968,0,10,279,0
1968,0,11,250,0
1968,0,12,318,0
1968,0,13,376,0
1968,0,14,386,0
1968,0,15,229,0
1968,0,16,96,0
1968,0,17,96,0
1968,0,18,98,0
1968,0,19,95,0
1968,0,20,93,0
1968,0,21,90,0
1968,0,22,89,0
1968,0,23,85,0
1968,0,24,84,0
1968,0,25,80,0
1968,0,26,75,0
1969,0,2,198,0
1969,0,3,197,0
1969,0,4,96,0
1969,0,5,179,0
1969,0,6,369,0
1969,0,7,377,0
1969,0,8,386,0
1969,0,9,382,0
1969,0,10,376,0
1969,0,11,362,0
1969,0,12,464,0
1969,0,13,464,0
1969,0,14,438,0
1969,0,15,306,0
1969,0,16,151,0
1969,0,17,142,0
1969,0,18,136,0
1969,0,19,133,0
1969,0,20,125,0
1969,0,21,127,0
1969,0,22,123,0
1969,0,23,107,0
1969,0,24,96,0
1969,0,25,92,0
1970,0,1,66,0
1970,0,2,137,0
1970,0,3,140,0
1970,0,5,374,0
1970,0,6,395,0
1970,0,7,401,0
1970,0,8,404,0
1970,0,9,398,0
1970,0,10,391,0
1970,0,11,445,0
1970,0,12,473,0
1970,0,13,492,0
1970,0,14,349,0
1970,0,15,159,0
1970,0,16,158,0
1970,0,17,152,0
1970,0,18,144,0
1970,0,19,142,0
1970,0,20,132,0
1970,0,21,128,0
1970,0,22,120,0
1970,0,23,109,0
1970,0,24,107,0
1970,0,25,100,0
1971,0,1,113,0
1971,0,2,127,0
1971,0,3,63,0
1971,0,4,194,0
1971,0,5,401,0
1971,0,6,423,0
1971,0,7,439,0
1971,0,8,460,0
1971,0,9,439,0
1971,0,10,408,0
1971,0,11,524,0
1971,0,12,533,0
1971,0,13,491,0
1971,0,14,295,0
1971,0,15,144,0
1971,0,16,140,0
1971,0,17,131,0
1971,0,18,130,0
1971,0,19,124,0
1971,0,20,123,0
1971,0,21,118,0
1971,0,22,109,0
1971,0,23,103,0
1971,0,24,102,0
1972,0,0,48,0
1972,0,1,129,0
1972,0,2,142,0
1972,0,4,466,0
1972,0,5,478,0
1972,0,6,481,0
1972,0,7,484,0
1972,0,8,474,0
1972,0,9,442,0
1972,0,10,487,0
1972,0,11,539,0
1972,0,12,572,0
1972,0,13,380,0
1972,0,14,164,0
1972,0,15,165,0
1972,0,16,160,0
1972,0,17,150,0
1972,0,18,153,0
1972,0,19,146,0
1972,0,20,141,0
1972,0,21,131,0
1972,0,22,125,0
1972,0,23,120,0
1972,0,24,111,0
1973,0,0,106,0
1973,0,1,156,0
1973,0,2,85,0
1973,0,3,234,0
1973,0,4,484,0
1973,0,5,491,0
1973,0,6,496,0
1973,0,7,493,0
1973,0,8,475,0
1973,0,9,459,0
1973,0,10,556,0
1973,0,11,553,0
1973,0,12,553,0
1973,0,13,320,0
1973,0,14,160,0
1973,0,15,156,0
1973,0,16,155,0
1973,0,17,146,0
1973,0,18,142,0
1973,0,19,140,0
1973,0,20,129,0
1973,0,21,122,0
1973,0,22,110,0
1973,0,23,102,0
1974,0,-1,32,0
1974,0,0,95,0
1974,0,1,127,0
1974,0,3,522,0
1974,0,4,550,0
1974,0,5,544,0
1974,0,6,552,0
1974,0,7,522,0
1974,0,8,487,0
1974,0,9,557,0
1974,0,10,598,0
1974,0,11,630,0
1974,0,12,435,0
1974,0,13,177,0
1974,0,14,176,0
1974,0,15,169,0
1974,0,16,164,0
1974,0,17,157,0
1974,0,18,146,0
1974,0,19,139,0
1974,0,20,139,0
1974,0,21,126,0
1974,0,22,115,0
1974,0,23,117,0
1975,0,-1,48,0
1975,0,0,90,0
1975,0,1,54,0
1975,0,2,231,0
1975,0,3,491,0
1975,0,4,510,0
1975,0,5,528,0
1975,0,6,531,0
1975,0,7,507,0
1975,0,8,477,0
1975,0,9,634,0
1975,0,10,603,0
1975,0,11,557,0
1975,0,12,358,0
1975,0,13,181,0
1975,0,14,185,0
1975,0,15,170,0
