moment,target,model,gap,weight,loss_contribution
initial_normalization,2.1,2.100000280320048,2.8032004806277655e-07,,
cps_childlessness,0.19827875100684264,0.1585614289748885,-0.03971732203195413,35532.3042455214,56.05099010162875
cps_exactly_one,0.21365532522014702,0.2523049227711459,0.03864959755099889,26952.820824310795,40.26189170659072
nchs_mean_age,25.976263860992496,26.295680008649203,0.3194161476567068,139.82806784479274,14.26619288755178
nchs_share30,0.2492780130410667,0.24199628465841666,-0.007281728382650038,13866.065434728798,0.7352282667804989
wealth_earnings,6.92658379107299,7.292422900448229,0.3658391093752389,7.595098472533724,1.01651471813059
bequest_wealth,0.007291023472616158,0.006707136887611311,-0.0005838865850048471,5165289.256198346,1.7609687197759425
old_dispersion,3.51593508651872,2.834892077357221,-0.681043009161499,10.616361531535473,4.924076350164448
mean_rooms,5.607885960068579,6.488847092429944,0.8809611323613655,128.02070205233477,99.35590884951968
ownership_30_55,0.6762604168538028,0.4186214253589944,-0.2576389914948084,2339.3623724673616,155.28184451132287
first_birth_rooms,1.465,1.0534671262388589,-0.4115328737611412,137.5652749002964,23.29795951241478
family_rooms,0.38509964969278165,0.30554864381424984,-0.07955100587853181,280.52808370152104,1.7752834152728658
recent_parent_ownership,0.12760836356692162,0.1572803233028479,0.02967195973592629,27055.822957508266,23.820628191627346
