scenario,period,years_from_start,age,adult_mass,adult_share
task_001,0,0.0,18.0,0.01662266202182008,0.01662266202182002
task_001,0,0.0,22.0,0.04529676719571173,0.045296767195711574
task_001,0,0.0,26.0,0.0635969478209916,0.06359694782099137
task_001,0,0.0,30.0,0.06696559869635463,0.06696559869635439
task_001,0,0.0,34.0,0.07884514768615913,0.07884514768615886
task_001,0,0.0,38.0,0.08072893564675271,0.08072893564675242
task_001,0,0.0,42.0,0.08968295548613275,0.08968295548613243
task_001,0,0.0,46.0,0.09115500500154572,0.0911550050015454
task_001,0,0.0,50.0,0.08684345526254396,0.08684345526254365
task_001,0,0.0,54.0,0.07812470544072889,0.07812470544072861
task_001,0,0.0,58.0,0.07104778040230704,0.07104778040230679
task_001,0,0.0,62.0,0.056616964469680585,0.056616964469680384
task_001,0,0.0,66.0,0.04505232136554881,0.04505232136554865
task_001,0,0.0,70.0,0.03889108604181315,0.03889108604181301
task_001,0,0.0,74.0,0.03548381308904308,0.035483813089042957
task_001,0,0.0,78.0,0.03128817505209693,0.03128817505209682
task_001,0,0.0,82.0,0.02375767932077315,0.023757679320773068
task_001,1,4.0,18.0,0.014657928626055701,0.014236400578706312
task_001,1,4.0,22.0,0.041344960635082695,0.04015597541289626
task_001,1,4.0,26.0,0.06120234802615772,0.05944231037589894
task_001,1,4.0,30.0,0.07031966961099557,0.06829743892768562
task_001,1,4.0,34.0,0.07175728257680894,0.0696937094772693
task_001,1,4.0,38.0,0.08005868898083203,0.077756386677391
task_001,1,4.0,42.0,0.08096598004711436,0.07863758615588462
task_001,1,4.0,46.0,0.08846233054004159,0.08591835898663704
task_001,1,4.0,50.0,0.09159218889089447,0.0889582098669412
task_001,1,4.0,54.0,0.08716677923891605,0.08466006473759141
task_001,1,4.0,58.0,0.07859687693173668,0.07633661295406236
task_001,1,4.0,62.0,0.07182458799978668,0.0697590793523093
task_001,1,4.0,66.0,0.05526612180335846,0.053676796257937795
task_001,1,4.0,70.0,0.044597284354252795,0.04331476984142342
task_001,1,4.0,74.0,0.03620940802925427,0.0351681093947994
task_001,1,4.0,78.0,0.030875476226270925,0.029987569105376134
task_001,1,4.0,82.0,0.02471126046257423,0.024000621897189565
task_001,2,8.0,18.0,0.01321820844832785,0.012378269659692588
task_001,2,8.0,22.0,0.04111858412245242,0.03850574185466545
task_001,2,8.0,26.0,0.06090989552549987,0.05703943274201572
task_001,2,8.0,30.0,0.0726317603020141,0.06801644249983206
task_001,2,8.0,34.0,0.07587591337913718,0.07105444888041922
task_001,2,8.0,38.0,0.07473196898050478,0.06998319536695552
task_001,2,8.0,42.0,0.08151652078379303,0.07633662912233555
task_001,2,8.0,46.0,0.08157800380281577,0.07639420525997406
task_001,2,8.0,50.0,0.08986228817884528,0.0841520724735936
task_001,2,8.0,54.0,0.0906056552031629,0.08484820293023583
task_001,2,8.0,58.0,0.08649200299459107,0.08099594893356554
task_001,2,8.0,62.0,0.078195435013281,0.07322657866496314
task_001,2,8.0,66.0,0.06976211327371287,0.0653291445287563
task_001,2,8.0,70.0,0.05370836035354242,0.050295512439145415
task_001,2,8.0,74.0,0.04098976874855926,0.03838511193415868
task_001,2,8.0,78.0,0.032030851686754,0.029995480942685324
task_001,2,8.0,82.0,0.024628582163955425,0.023063581767005743
task_001,3,12.0,18.0,0.013264906903257502,0.012043862126207096
task_001,3,12.0,22.0,0.040447008654222565,0.03672383072129469
task_001,3,12.0,26.0,0.06510089738007488,0.059108310224584626
task_001,3,12.0,30.0,0.07409617669954431,0.06727556723592536
task_001,3,12.0,34.0,0.07834517066626562,0.07113343807388127
task_001,3,12.0,38.0,0.07850247317205823,0.07127626076428462
task_001,3,12.0,42.0,0.07519972009672685,0.06827752862343338
task_001,3,12.0,46.0,0.0804058851453715,0.07300446221666927
task_001,3,12.0,50.0,0.0803896697234655,0.07298973943669211
task_001,3,12.0,54.0,0.0867619154619674,0.07877541510471966
task_001,3,12.0,58.0,0.0899960896625147,0.0817118811084096
task_001,3,12.0,62.0,0.08634760128610265,0.07839923886409916
task_001,3,12.0,66.0,0.07477231736358982,0.0678894686371999
task_001,3,12.0,70.0,0.06653563016232791,0.060410974762182074
task_001,3,12.0,74.0,0.04941729150420117,0.04486839220718732
task_001,3,12.0,78.0,0.03624539729406046,0.03290898088489885
task_001,3,12.0,82.0,0.025555006839105596,0.023202649008330738
task_001,4,16.0,18.0,0.014337122049139249,0.012696171454838952
task_001,4,16.0,22.0,0.044741228127869036,0.03962038556026603
task_001,4,16.0,26.0,0.06510271539527188,0.05765140549135373
task_001,4,16.0,30.0,0.07781168019051318,0.06890576989592982
task_001,4,16.0,34.0,0.081564351850264,0.0722289307536399
task_001,4,16.0,38.0,0.08281187458056494,0.07333366867966322
task_001,4,16.0,42.0,0.08147983007378458,0.07215408288932149
task_001,4,16.0,46.0,0.07516298442006619,0.06656022972977628
task_001,4,16.0,50.0,0.08066019718385643,0.07142826081255556
task_001,4,16.0,54.0,0.07858640289692338,0.06959182196947908
task_001,4,16.0,58.0,0.0864610253579313,0.0765651571035749
task_001,4,16.0,62.0,0.08806977795656365,0.07798978045201603
task_001,4,16.0,66.0,0.08000900833913695,0.07085160357313884
task_001,4,16.0,70.0,0.06962757948607581,0.061658377749090755
task_001,4,16.0,74.0,0.057175494945479494,0.05063149245400102
task_001,4,16.0,78.0,0.0395276883253809,0.03500355974319136
task_001,4,16.0,82.0,0.02611871006894539,0.023129301688163264
