parameter,estimate,lower,upper,transform,near_bound,status,interpretation,structural_coordinate
beta_annual,0.9824066125504731,0.94,0.9995,discount,False,diagnostic candidate; not a certified estimate,structural coordinate,True
kappa_fert,0.2284234720667638,0.02,50.0,log,True,diagnostic candidate; not a certified estimate,structural coordinate,True
kappa_fert_continuation,0.4853082171721909,0.02,50.0,log,True,diagnostic candidate; not a certified estimate,structural coordinate,True
chi,0.956065186900775,0.1,5.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,True
H0,8.749016538842872,0.2,80.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,True
theta0,0.03335518125799189,0.0,8.0,softzero,True,diagnostic candidate; not a certified estimate,structural coordinate,True
theta1,0.09156279299609446,0.02,16.0,log,True,diagnostic candidate; not a certified estimate,structural coordinate,True
first_birth_fixed_cost,0.3344582700811967,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,True
h_P,2.149261308379245,0.1,2.3,log,False,diagnostic candidate; not a certified estimate,mapped first-child requirement,True
hbar_child_rooms,0.0,,,,False,zero restriction,,False
psi_child,0.13706916720706708,,,,False,normalized to 2.1,,False
payroll_tax,0.179,,,,False,externally fixed,,False
pension_period,2.0463613896121218,,,,False,budget derived,,False
housing_supply_elasticity,0.63,,,,False,externally fixed,,False
tenure_choice_kappa,0.005,,,,False,externally fixed,,False
alpha_cons,0.733,,,,False,externally fixed,,False
sigma,2.0,,,,False,externally fixed,,False
