case,group,initial_tenure,wealth_quartile,initial_mass,current_mass,birth_flow,firstbirth_flow,firstbirth_rate,firstbirth_26_38,mean_rooms,ownership_rate,owner_mass,rooms_total,mass_renting_ge6_rooms,mass_owning_ge6_rooms,response_difference_baseline,firstbirth_rate_difference_baseline,aggregate_response_contribution
baseline,renter_q1,renter,1,0.043007313393672246,0.04300731339367188,0.00999570077873042,0.009995700778730424,0.23241862813502578,0.003141330205185663,3.9030552086288712,0.0,0.0,0.16785991855030524,0.009960182946425297,0.0,0.0,0.0,0.0
baseline,renter_q2,renter,2,0.04475943105227061,0.04475943105227061,0.006422600969977639,0.00642260096997764,0.14349156856969986,0.0023531199488782233,3.085250244104654,0.0,0.0,0.13809404558000332,0.004491133176147851,0.0,0.0,0.0,0.0
baseline,renter_q3,renter,3,0.0570839078996531,0.05708390789965045,0.01265825288389758,0.012658252883897575,0.22174818350119474,0.004148936946019827,3.922672018198994,0.0005463872229313912,3.118991791136131e-05,0.2239214482074073,0.013072042810439567,0.0,0.0,0.0,0.0
baseline,renter_q4,renter,4,0.05344665748001636,0.05344665748001058,0.018199093293962194,0.018199093293962215,0.3405094752794753,0.007980576894970877,5.664705106243716,0.27537972857464377,0.014718126030067268,0.30275955353867484,0.01026810281174929,0.014397220280084291,0.0,0.0,0.0
baseline,owner_q1,owner,1,0.005203920162799011,0.005203920162756803,0.002395023593400395,0.0023950235934003953,0.46023449985293274,0.0018283480928204033,8.249181933733253,0.9838313066148628,0.005119779573244455,0.04292808419120363,3.22232283760419e-05,0.004667079728309634,0.0,0.0,0.0
baseline,owner_q2,owner,2,0.00010956861525856459,0.00010956861520152754,4.8004119970631584e-05,4.8004119970631584e-05,0.43811925392457923,2.6323939784579623e-05,8.261545312854375,0.9500428572933851,0.00010409488025573866,0.0009052060793541245,1.546816184165257e-06,9.644101937499386e-05,0.0,0.0,0.0
baseline,owner_q3,owner,3,0.0003252894130914464,0.00032528941302915925,0.00015215190756905878,0.00015215190756905872,0.4677431894356958,0.00012341270644084432,8.621749920477429,0.9661758277288967,0.0003142867678848949,0.002804563970916303,4.4380526343236486e-06,0.00030005330826653604,0.0,0.0,0.0
baseline,owner_q4,owner,4,0.0014798979648055677,0.0014798979647701526,0.00077900630850452,0.0007790063085045197,0.5263919047330181,0.0005279241612206912,9.510608552663955,0.9875233776438923,0.001461433836738143,0.014074730240812995,1.7072096290186814e-05,0.0014542982357812488,0.0,0.0,0.0
mortgage_only,renter_q1,renter,1,0.043007313393672246,0.04300731339367188,0.010046017932541658,0.010046017932541666,0.23358859551593747,0.0031624841382432625,3.9053020154634424,0.0,0.0,0.16795654767597468,0.01000876793842065,0.0,5.031715381124263e-05,0.001169967380911685,0.0002449524732498565
mortgage_only,renter_q2,renter,2,0.04475943105227061,0.044759431052261794,0.006533802331890837,0.0065338023318908325,0.14597599161304303,0.002385065807924601,3.1988935693232166,0.24981931576848607,0.01118177043966277,0.14318065615964615,0.0029460910486232028,0.00206223783005939,0.00011120136191319213,0.0024844230433431758,0.0005413471662481562
mortgage_only,renter_q3,renter,3,0.0570839078996531,0.05708390789964779,0.012893525411716785,0.012893525411716775,0.22586970454759508,0.004202969287646102,4.26461640572027,0.2358666751056382,0.0134641915583264,0.24344097013146287,0.006674424294722068,0.0070743658562371515,0.00023527252781919972,0.004121521046400345,0.0011453467299293453
